participant,domain,xai,testing cases,model family,k,locked feature,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_19vxEDR7cSM6KtE,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.05,nan,nan,1,0,0.36640800645371285,0.4414738078589977,0.17428982076642355,0.8,0.99483264541674,0.37765800645371284,0.4414738078589977,0.19678982076642354,0.8,0.9948326454167399,1
R_19vxEDR7cSM6KtE,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,2.0,0.0,1,0,0.4262790858377781,0.2788865373835262,0.1314447090590823,0.8,1.7049568172028322,0.428523545934872,0.2739509226932869,0.13099801456303095,0.8,1.7342576086775536,0
R_1EuK2V9UeTSvnUv,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.5,1.0,0.25,nan,nan,1,0,0.27049975728641723,0.5970671995011331,0.13806671407396756,1.0,0.8097110980922849,0.30138148371938034,0.514922319070782,0.11768528650954253,1.0,1.0036278080917522,1
R_1EuK2V9UeTSvnUv,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.5,nan,0.1,6.0,0.0,1,0,0.44473463916645495,0.35868466789777903,0.24815394623068893,0.8,1.2939855717608386,0.4553952985347395,0.3408122891970463,0.25160288626652527,0.8,1.3875562583255445,0
R_1PS5HhdXTd7lZpJ,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,1.0,0.1,nan,nan,1,0,0.37283479016077525,0.36153356664135045,0.10720314696290101,1.0,1.1081443766875796,0.39241391188530284,0.3226757503152809,0.10750357408588654,1.0,1.2684421814884137,0
R_1PS5HhdXTd7lZpJ,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.5,nan,0.15,6.0,1.0,1,0,0.35767205185119105,0.3888563113338394,0.10420041503622157,0.95,1.0856445715382779,0.3657552406896809,0.38104095923083414,0.11255144061019588,0.95,1.1065906324193482,1
R_1R2ijkLW5InLFPz,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.5,1.0,0.25,nan,nan,1,0,0.26263125279231847,0.594951278903499,0.12021378448813588,0.95,0.8361494043627731,0.3130657716832044,0.5063287543274935,0.13246029769390216,0.95,1.1026375119086373,1
R_1R2ijkLW5InLFPz,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.1,6.0,0.0,1,0,0.45965174540063203,0.2664240150933736,0.18572750589463755,0.8,1.700053787648055,0.4780643586231516,0.24500707501393792,0.20113579226024117,0.8,1.8030062800686508,0
R_1WCsP4MTfRGSZ0t,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,1.0,0.1,nan,nan,1,0,0.4016006689217493,0.37721938326528975,0.18042072110878843,1.0,0.9904965348545707,0.4016006689217493,0.37721938326528975,0.18042072110878843,1.0,0.9904965348545707,0
R_1WCsP4MTfRGSZ0t,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,1.0,nan,0.05,6.0,1.0,1,0,0.3027675247391972,0.4118751123877469,0.01741016186614131,1.0,0.9577608964289693,0.3043897460915771,0.4089924228248794,0.017771915008033542,1.0,0.9672999158569269,1
R_1uYq1TbMDjqBOoN,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.15,nan,nan,1,0,0.4476414501431775,0.345475842217369,0.24075874250372414,0.9,1.3569627371504265,0.504676638294361,0.2388686924457919,0.24822196903451405,0.9,1.5959301267697545,1
R_1uYq1TbMDjqBOoN,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.15,0.0,0.0,1,0,0.454040623653606,0.23996085264272096,0.148042099949933,0.95,1.7577743214792818,0.4565406236536059,0.239960852642721,0.153042099949933,0.95,1.7577743214792818,0
R_1y8SUpfid4hFd78,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,0.5,0.05,nan,nan,1,0,0.32480567667470495,0.47226456845984366,0.1218759218092537,1.0,0.9568685641231692,0.35401192275308024,0.42801142070965154,0.13603526621581188,1.0,1.09842709063968,1
R_1y8SUpfid4hFd78,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,6.0,1.0,1,0,0.37635278781656767,0.3656970085824245,0.11840258421555985,0.9,1.209419020849026,0.40072389350410226,0.3176484293416696,0.11909621634987413,0.9,1.398348115328611,0
R_30cGYmvQmqK1yBb,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,0.5,0.3,nan,nan,1,0,0.24241864454829418,0.6245637454664273,0.10940103456301567,1.0,0.6010862963982306,0.24241864454829418,0.6245637454664272,0.10940103456301567,1.0,0.6010862963982306,1
R_30cGYmvQmqK1yBb,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.5,nan,0.15,6.0,0.0,1,0,0.3617261889212239,0.4295744998136345,0.15302687765608236,0.9,1.0864547624388776,0.37173593209541367,0.4295744998136346,0.17304636400446188,0.9,1.0864547624388776,0
R_3AbQNpoJALUO8Vz,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.15,nan,nan,1,0,0.4110745178086931,0.3039092871465582,0.12605832276394432,1.0,1.4336601202364512,0.44010685584707526,0.24621957749508053,0.12643328918923122,0.95,1.6710260849481642,1
R_3AbQNpoJALUO8Vz,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,0.0,1,0,0.4471373924375296,0.24269032930562218,0.13696511418068144,0.85,1.8763303322836151,0.4521373924375296,0.24269032930562226,0.14696511418068145,0.85,1.8763303322836151,0
R_3GWkluTOGFc2gV5,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.4852945341516336,0.3007048947628092,0.2712939630660765,0.5,1.2511004551328317,0.4852945341516337,0.30070489476280915,0.2712939630660764,0.5,1.251100455132832,1
R_3GWkluTOGFc2gV5,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.0,6.0,0.0,1,0,0.4731970320495019,0.24135331466637017,0.18774737876537406,0.6,1.8878432862076107,0.4837606683448478,0.21372519222601624,0.18124652891571197,0.6,1.9746716574440668,0
R_3NlZuMtyMx8GIVO,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.1,nan,nan,1,0,0.355717632997452,0.4291635208867001,0.14059878688160404,1.0,1.1240652254259096,0.38641046762417697,0.3677643552390445,0.14058529048739848,1.0,1.252152979404647,1
R_3NlZuMtyMx8GIVO,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,6.0,0.0,1,0,0.4595549486487795,0.22765993056744643,0.14676982786500536,0.75,2.028152682925608,0.4641236681392121,0.22340933343716624,0.1516566697155904,0.75,2.0460214464690516,0
R_3Y6DxLHpTdEq7Kh,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,0.0,0.0,nan,nan,1,0,0.4713124798461994,0.27550024702922327,0.21812520672162203,0.5,1.6048269980118384,0.5269624758408403,0.19745766396236103,0.2513826156440415,0.3,1.9843158474332678,1
R_3Y6DxLHpTdEq7Kh,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,1.0,1,0,0.4679604738074662,0.24225467835880404,0.17817562597373662,0.25,1.707839962300477,0.49680533776781777,0.16578821526509413,0.1593988908007297,0.35,2.1737664304431172,0
R_3akpeiY5qAXqHJo,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,0.5,0.3,nan,nan,1,0,0.22610675751883808,0.7023235508695029,0.154537065907179,1.0,0.36628564502472877,0.22610675751883808,0.7023235508695029,0.15453706590717903,1.0,0.36628564502472877,1
R_3akpeiY5qAXqHJo,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.0,nan,0.25,6.0,0.0,1,0,0.3460624579439098,0.40064457657391034,0.09276949246172997,0.95,1.1844058977512542,0.3634955919214429,0.38846408128475324,0.11545526512763897,0.95,1.2244122511023572,0
R_3dnoIyf6ByhM7Jf,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.2,nan,nan,1,0,0.318571044882761,0.5043915865495263,0.14153367631504832,1.0,0.8094777588446395,0.333571044882761,0.5043915865495262,0.17153367631504832,1.0,0.8094777588446395,1
R_3dnoIyf6ByhM7Jf,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,0.0,0.0,1,0,0.42694690749720604,0.2550887731470374,0.10898258814144957,0.9,1.8053992819036366,0.4347324200911439,0.2514939417708618,0.12095878195314964,0.9,1.8276637228475028,0
R_3iWRB9ySGSqtvml,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,0.5,0.2,nan,nan,1,0,0.38237416819162107,0.4086617966352789,0.173410133018521,0.9,1.0868847963039419,0.38487416819162107,0.4086617966352789,0.17841013301852104,0.9,1.0868847963039416,1
R_3iWRB9ySGSqtvml,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.2,2.0,1.0,1,0,0.42547738860160866,0.2900087587855578,0.14096353598877523,0.8,1.3717262753525896,0.43280207343965094,0.27423094736645004,0.13983509424575194,0.8,1.4434667115291397,0
R_3j0utxuxkNQAl6B,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,1.0,1.0,0.0,nan,nan,1,0,0.5273474651561387,0.3106947343348607,0.3653896646471383,0.55,1.233995039462903,0.5411053041152842,0.30321347252061714,0.38542408075118556,0.55,1.2599116987759884,0
R_3j0utxuxkNQAl6B,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.1,6.0,1.0,1,0,0.430726296805046,0.4195440494574555,0.2809966430675476,0.55,0.9901117756557097,0.4404611278871875,0.4195440494574555,0.3004663052318305,0.55,0.9901117756557095,1
R_3qfLJqm5RZmyABk,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.5,0.15,nan,nan,1,0,0.41159406091941947,0.3996589852570004,0.22284710709583933,1.0,1.2349640007375495,0.4687642579279433,0.30114578147060167,0.2386742973264881,1.0,1.4459054473890467,1
R_3qfLJqm5RZmyABk,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.15,0.0,0.0,1,0,0.5060309730851242,0.24422952503315432,0.2562914712034028,0.8,1.8575921501858619,0.5314945864596797,0.2442295250331544,0.3072186979525138,0.8,1.8575921501858619,0
R_3rONzvm8h505G8I,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.5,0.5,0.0,nan,nan,1,0,0.4059540036609418,0.3906767126199123,0.20258471994179583,0.8,1.1973132138211542,0.4584535465969455,0.30914639751854783,0.2260534907124388,0.75,1.431503780109744,0
