variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
base_exemplar,base,exemplar,0.01,0.0,0.0,0.05,0.0,1,0.1,1.3543305218244137,0.30443001958354404,0.4,0.4,0.0,0.15443661141868031,0.8,0.30514930803040496,1.4447486123424227,0.2955763495088962,0.35,0.35,0.0,0.1635575254180249,0.8,0.305149308030405,R_19vxEDR7cSM6KtE,none,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.05,0.0,1,0.1,1.3543305218244137,0.30443001958354404,0.4,0.4,0.0,0.15443661141868031,0.8,0.30514930803040496,1.4278963689559192,0.29919753261987186,0.4,0.4,0.0,0.16573738175404634,0.8,0.305149308030405,R_19vxEDR7cSM6KtE,none,20,1
additive_exemplar,additive,exemplar,0.01,0.25,24.0,0.025,0.0,0,0.4,1.9371414700837057,0.19465087586148414,0.2,0.2,0.0,0.21213812115403696,0.85,0.41277548437695,2.0105264805291454,0.1778530500389568,0.15,0.15,0.0,0.22072064783793408,0.85,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,0,0.3,2.3213534782257605,0.10113807900926393,0.0,0.0,0.0,0.22630755001947608,0.8,0.41277548437695,2.3213534782257605,0.10113807900926393,0.0,0.0,0.0,0.23926877508267613,0.8,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,0
base_exemplar,base,exemplar,0.01,0.0,12.0,0.05,0.0,1,0.3,1.3061448539016998,0.325661668464927,0.35,0.35,0.0,0.2503106930530145,0.85,0.41277548437695,1.3157755249369223,0.3222048231937929,0.35,0.35,0.0,0.28120520601168114,0.8,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,1
base_prototype,base,prototype,0.01,0.0,nan,0.05,0.0,1,0.2,1.3249878263482489,0.31423190552466707,0.4,0.4,0.0,0.26060495781955284,0.8,0.41277548437695,1.3249878263482486,0.31423190552466707,0.4,0.4,0.0,0.28060495781955286,0.8,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,0
additive_exemplar,additive,exemplar,0.01,0.0,12.0,0.025,0.0,0,0.1,1.4192701757932629,0.29742442212655795,0.3,0.3,0.0,0.1539182333218505,0.85,0.24371113257413501,1.4979692508090043,0.28153693177281913,0.25,0.25,0.0,0.17405554125343087,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,0,0.05,1.4741680700520303,0.27482535205740033,0.3,0.3,0.0,0.16682357853103774,0.8,0.24371113257413501,1.4741680700520303,0.27482535205740033,0.3,0.3,0.0,0.17682357853103775,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0
base_exemplar,base,exemplar,0.01,0.0,0.0,0.05,0.0,0,0.0,1.243598887932373,0.3424768948623994,0.5,0.5,0.0,0.13589383822556494,0.8,0.24371113257413501,1.306788260922793,0.3424952830360343,0.5,0.5,0.0,0.14046375563460728,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.05,0.0,0,0.0,1.243598887932373,0.3424768948623994,0.5,0.5,0.0,0.13589383822556494,0.8,0.24371113257413501,1.2709315149970706,0.3460060858339425,0.5,0.5,0.0,0.14089383822556498,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,1
counterfactual_exemplar,counterfactual,exemplar,0.01,0.0,24.0,0.025,0.75,0,0.1,1.432646557807098,0.27050047913442166,0.4,0.4,0.0,0.08735313487675636,0.95,0.24371113257413501,1.4801409861786128,0.26310944027965916,0.4,0.4,0.0,0.08562717718712118,0.95,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0
counterfactual_prototype,counterfactual,prototype,0.01,0.0,nan,0.025,0.75,0,0.1,1.5121204951065654,0.2408189742611208,0.2,0.2,0.0,0.08221856749239209,0.95,0.24371113257413501,1.5121204951065654,0.24081897426112087,0.2,0.2,0.0,0.08221856749239208,0.95,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0
