variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
base_exemplar,base,exemplar,0.4,0.5,6.0,8.0,0.0,1,0.1,1.2144031326459541,0.3071614615905479,0.35,0.35,0.0,0.16408949068302128,0.8,0.30514930803040496,1.3784043498240481,0.2915322883248077,0.3,0.3,0.0,0.17485798389635893,0.8,0.305149308030405,R_19vxEDR7cSM6KtE,none,20,0,glucose,1
base_prototype,base,prototype,0.4,0.5,nan,8.0,0.0,1,0.1,1.2252297345184915,0.30292986376347464,0.35,0.35,0.0,0.17031210393701685,0.8,0.30514930803040496,1.2558785066075606,0.30029370103356834,0.4,0.4,0.0,0.1953961679632102,0.8,0.305149308030405,R_19vxEDR7cSM6KtE,none,20,1,glucose,1
additive_exemplar,additive,exemplar,0.4,0.25,24.0,0.025,0.0,1,0.4,1.390751756024836,0.249027081464338,0.2,0.2,0.0,0.21213812115403696,0.85,0.41277548437695,1.3943935874643802,0.24810440642915607,0.15,0.15,0.0,0.22072064783793408,0.85,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.4,0.0,nan,0.025,0.0,1,0.3,1.4096042324390186,0.24423992626798424,0.0,0.0,0.0,0.22630755001947608,0.8,0.41277548437695,1.4096042324390183,0.24423992626798424,0.0,0.0,0.0,0.23926877508267613,0.8,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.0,24.0,8.0,0.0,1,0.3,1.1386881280481511,0.3368205062901308,0.25,0.25,0.0,0.26122334931586616,0.85,0.41277548437695,1.1567934154297281,0.3331276908522235,0.25,0.25,0.0,0.2614541030320173,0.85,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,1,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,4.0,0.0,1,0.2,1.2268821468081423,0.31972124002343255,0.4,0.4,0.0,0.26060495781955284,0.8,0.41277548437695,1.3022507209099898,0.29400247379028344,0.4,0.4,0.0,0.28060495781955286,0.8,0.4127754843769499,R_1EuK2V9UeTSvnUv,attribution,20,0,glucose,1
additive_exemplar,additive,exemplar,0.4,0.5,24.0,8.0,0.0,1,0.1,1.06374846389304,0.43497964737060474,0.35,0.35,0.0,0.15843581388050706,0.85,0.24371113257413501,1.2576144723363993,0.3772894229521594,0.35,0.35,0.0,0.1745793539701579,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.4,0.0,nan,1.0,0.0,1,0.05,1.180081725876017,0.33767554374611103,0.35,0.35,0.0,0.16682357853103774,0.8,0.24371113257413501,1.3007614920731247,0.3262028185544759,0.35,0.35,0.0,0.17682357853103775,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.5,24.0,8.0,0.0,1,0.05,1.1176440849785778,0.3505278495616219,0.15,0.15,0.0,0.1405154857799002,0.85,0.24371113257413501,1.1176440849785778,0.3505278495616219,0.15,0.15,0.0,0.1455154857799002,0.85,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,1,glucose,1
base_prototype,base,prototype,0.4,0.0,nan,2.0,0.0,1,0.0,1.1862011207265488,0.333307585525905,0.45,0.45,0.0,0.13589383822556494,0.8,0.24371113257413501,1.2995202026344006,0.295547816156296,0.35,0.35,0.0,0.14468484733610953,0.8,0.24371113257413496,R_1PS5HhdXTd7lZpJ,counterfactual,20,0,glucose,1
