participant,domain,xai,first training block,phase,original label,target label,trial number,instance id,training response,training correct (0/1),participant training accuracy,response time (seconds),log(time),participant median time,attribute values before and after,explanation,sparsity,dist user CF from orig,user CF label,successful CF,distance to closest minimal counterfactual,confidence for target label original,confidence for target label user CF,delta confidence of target label,user CF increase target label confidence?,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change,attribute changed,amount changed,delta confidence/change amount,confidence of counterfactual - 50%,close to boundary old,distance to boundary,CRT-2 score (0-4),successful counterfactual (continuous),actionability (0/1),patient can change - Blood Pressure,patient can change - Insulin,patient can change - BMI,patient can change - Age,plausibility,abs dist original to boundary,abs dist user CF to boundary,sign dist user CF to boundary,boundary dist change (user - original),plausibility (subset),participant level correct direction change,% x4_changed > 50,cognitive model v0.1 family,explanation reliance (η),global relevance reliance (α),additive change margin (ρ),exemplar locality (λ),remembered-change reliance (β),age treated as actionable (0/1),mean participant CF dist to orig,Norm(proximity),changed in training cf direction,dist to nearest training instance (L1 normalized),cognitive model v0.2 revision,cognitive model v0.2 family,cognitive model v0.2 representation,cognitive model v0.2 scope,cognitive model v0.2 global feature lapse,cognitive model v0.2 memory decay,cognitive model v0.2 exemplar distance sensitivity,cognitive model v0.2 selection spread,cognitive model v0.2 counterfactual edit blend,cognitive model v0.2 age actionable (0/1),cognitive model v0.2 edit margin,cognitive model v0.2 CV subset NLL,cognitive model v0.2 CV expected selection F1,cognitive model v0.2 CV MAP selection F1,cognitive model v0.2 CV exact-subset accuracy,cognitive model v0.2 CV cardinality MAE,cognitive model v0.2 CV conditional amount MAE,cognitive model v0.2 CV conditional direction accuracy,case,x_1_change,x_2_change,x_3_change,x_4_change,x_5_change
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,Diabetes,,1,130100,Diabetes,1,0.833333333333,11.409,2.43440251761,11.095,"""Glucose"" - 145(0.599727937426)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 130(0.193846407655)
""BMI"" - 37.9(0.614638943523)
""Age"" - 40(0.513513513514)","""Glucose"" - -56% toward Diabetes
""BMI"" - -44% toward Diabetes",,,,,,,,,,-0.153035198096,0,0,-0.165074459118,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,Diabetes,,2,130101,Diabetes,1,0.833333333333,11.661,2.45624994054,11.095,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 150(0.235090324177)
""BMI"" - 42.3(0.769176735038)
""Age"" - 48(0.72972972973)","""Age"" - -50% toward Diabetes
""BMI"" - -50% toward Diabetes",,,,,,,,,,-0.153035198096,0,0,-0.15102556898,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,Diabetes,,3,130102,No Diabetes,0,0.833333333333,10.285,2.3306865231,11.095,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)","""BMI"" - -52% toward Diabetes
""Age"" - -48% toward Diabetes",,,,,,,,,,-0.153035198096,0,0,-0.154537791514,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,No Diabetes,,4,130103,No Diabetes,1,0.833333333333,9.84,2.28645571106,11.095,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 72(0.521739130435)
""Insulin"" - 126(0.18559762435)
""BMI"" - 31.3(0.382832256252)
""Age"" - 37(0.432432432432)","""Glucose"" - -53% toward Diabetes
""Age"" - -47% toward Diabetes",,,,,,,,,,0.153035198096,0,0,0.15102556898,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,No Diabetes,,5,130104,No Diabetes,1,0.833333333333,10.781,2.37778532556,11.095,"""Glucose"" - 158(0.710253358272)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 245(0.430998927658)
""BMI"" - 31.6(0.393368923855)
""Age"" - 28(0.189189189189)","""Glucose"" - -70% toward Diabetes
""Insulin"" - -30% toward Diabetes",,,,,,,,,,0.153035198096,0,0,0.158050014049,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,No Diabetes,,6,130105,No Diabetes,1,0.833333333333,10.154,2.31786771653,11.095,"""Glucose"" - 123(0.412684917531)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 94(0.119607357915)
""BMI"" - 33.1(0.446052261871)
""Age"" - 40(0.513513513514)","""Age"" - -90% toward Diabetes
""Insulin"" - +10% toward No Diabetes",,,,,,,,,,0.153035198096,0,0,0.154537791514,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,Diabetes,,7,130106,No Diabetes,0,0.833333333333,10.655,2.36602926555,11.095,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 200(0.338200115483)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)","""Age"" - -52% toward Diabetes
""BMI"" - -48% toward Diabetes",,,,,,,,,,0,-0.152173913043,-0.154664686959,0,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,Diabetes,,8,130107,Diabetes,1,0.833333333333,10.054,2.30797056527,11.095,"""Glucose"" - 153(0.667743581024)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 485(0.925925925926)
""BMI"" - 40.6(0.709468951953)
""Age"" - 23(0.0540540540541)","""Glucose"" - -55% toward Diabetes
""BMI"" - -45% toward Diabetes",,,,,,,,,,0,-0.152173913043,-0.158789078611,0,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,Diabetes,,9,130108,Diabetes,1,0.833333333333,16.313,2.79196233595,11.095,"""Glucose"" - 173(0.837782690019)
""Blood Pressure"" - 84(0.782608695652)
""Insulin"" - 474(0.903241771839)
""BMI"" - 35.7(0.537370047766)
""Age"" - 22(0.027027027027)","""Glucose"" - -67% toward Diabetes
""Insulin"" - -33% toward Diabetes",,,,,,,,,,0,-0.152173913043,-0.152602491133,0,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
R_11MYgqPu0zSIDEu,diabetes,attribution,Blood Pressure + Insulin,training,No Diabetes,,10,130109,No Diabetes,1,0.833333333333,11.537,2.44555926195,11.095,"""Glucose"" - 129(0.46369665023)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 122(0.177348841046)
""BMI"" - 35.9(0.544394492835)
""Age"" - 39(0.486486486486)","""Age"" - -92% toward Diabetes
""BMI"" - +8% toward No Diabetes",,,,,,,,,,0,0.152173913043,0.156726882785,0,0,,,,,,,0,,,10,10,10,1,,,,,,,1,1,,,,,,,,0.667246728887,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
