participant,domain,xai,testing cases,model family,k,locked feature,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_11MYgqPu0zSIDEu,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,0.5,0.3,nan,nan,1,0,0.3057638198621494,0.6515482645882563,0.2630759043125551,1.0,0.5095224188301254,0.3057638198621494,0.6515482645882563,0.26307590431255506,1.0,0.5095224188301254,1
R_11MYgqPu0zSIDEu,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.3,6.0,0.0,1,0,0.4196794606748506,0.3648405304182929,0.20419945176799406,0.9,1.2701354873780457,0.4196794606748506,0.36484053041829284,0.20419945176799406,0.9,1.270135487378046,0
R_1FkRVpzN8pSRcyz,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.5,1.0,0.15,nan,nan,1,0,0.4306392274314111,0.38390907017527265,0.24518752503809454,0.75,1.4143796642835809,0.5267355755539171,0.2375341124965718,0.29100526360440593,0.7,1.756946310615311,0
R_1FkRVpzN8pSRcyz,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.0,nan,0.05,0.0,0.0,1,0,0.41129361983284546,0.3372569587138875,0.15984419837957828,0.85,1.5178891334127609,0.425096708824925,0.3141251279116716,0.16431854556152162,0.85,1.6226553157204733,1
R_1LAMsFgZY1QImRg,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,1.0,1.0,0.0,nan,nan,1,0,0.5617839191661875,0.31320108733573615,0.4367689256681113,0.45,1.110321901135919,0.5752656707253992,0.31320108733573615,0.46373242878653487,0.45,1.110321901135919,0
R_1LAMsFgZY1QImRg,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,1.0,1,0,0.5236913135346629,0.31397028981244235,0.3613529168817682,0.45,1.1092233810810685,0.5236913135346629,0.31397028981244235,0.36135291688176824,0.45,1.109223381081068,1
R_1OjmG5nvdTRtewc,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,1.0,0.05,nan,nan,1,0,0.5193794618901646,0.33746965851950733,0.3762285822998366,0.5,0.9899978639790277,0.5281294618901645,0.33746965851950733,0.39372858229983654,0.5,0.9899978639790274,1
R_1OjmG5nvdTRtewc,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.05,6.0,0.0,1,0,0.5164341703974407,0.28209505839303006,0.31496339918791116,0.55,1.6374612240070021,0.5364341703974406,0.28209505839303006,0.35496339918791125,0.55,1.6374612240070021,0
R_1PwbPFGEhHmTJ93,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,1.0,0.05,nan,nan,1,0,0.5155685174559977,0.2855945854419314,0.3167316203539267,0.55,1.4531346217090804,0.5469839058484487,0.22674770880253625,0.3207155204994335,0.55,1.8512673847354222,0
R_1PwbPFGEhHmTJ93,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.0,6.0,0.0,1,0,0.484780458711173,0.282994414412092,0.2525553318344378,0.65,1.7275082317111905,0.49576660995333893,0.25187527018580963,0.24340849009248763,0.65,1.8365543554206822,1
R_1TwJkRL8eUlAzCN,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.5386075623892456,0.245788236208118,0.3230033609866091,0.35,1.6801285503854277,0.5597593548635124,0.18771135798984762,0.30723006771687233,0.3,1.9861968002098624,0
