variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
additive_exemplar,additive,exemplar,0.5,1.0,24.0,0.025,0.0,1,0.4,1.395058948455471,0.2478733190865016,0.1,0.1,0.0,0.26527084264647055,0.9,0.6672467288868501,1.4003315481349534,0.246540495920868,0.05,0.05,0.0,0.2696496678943943,0.9,0.66724672888685,R_11MYgqPu0zSIDEu,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.5,4.0,nan,0.025,0.0,1,0.4,1.3971333811661553,0.2473430212090991,0.1,0.1,0.0,0.2555292907875467,0.9,0.6672467288868501,1.397133381166155,0.24734302120909907,0.1,0.1,0.0,0.2555292907875467,0.9,0.66724672888685,R_11MYgqPu0zSIDEu,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.5,0.0,24.0,8.0,0.0,1,0.4,1.2725822677543854,0.29754581484522025,0.2,0.2,0.0,0.20033445373606185,0.95,0.6672467288868501,1.2725822677543857,0.2975458148452203,0.2,0.2,0.0,0.20033445373606185,0.95,0.66724672888685,R_11MYgqPu0zSIDEu,attribution,20,1,glucose,1
base_prototype,base,prototype,0.5,0.0,nan,0.5,0.0,1,0.4,1.3514270769897474,0.2676824483233745,0.35,0.35,0.0,0.2062941384334927,0.9,0.6672467288868501,1.4124379376239837,0.2583281757530361,0.35,0.35,0.0,0.2062941384334927,0.9,0.66724672888685,R_11MYgqPu0zSIDEu,attribution,20,0,glucose,1
additive_exemplar,additive,exemplar,0.5,0.25,24.0,0.025,0.0,1,0.3,1.3885704125286602,0.24951667693228696,0.25,0.25,0.0,0.19355016070595904,0.8,0.31813102638786506,1.3955207850824158,0.24782503413798357,0.25,0.25,0.0,0.21016649692034334,0.8,0.31813102638786506,R_1FkRVpzN8pSRcyz,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.5,0.0,nan,0.025,0.0,1,0.2,1.3996515560675404,0.24670798827044443,0.05,0.05,0.0,0.1816867913176412,0.85,0.31813102638786506,1.3996515560675404,0.24670798827044438,0.05,0.05,0.0,0.20168679131764122,0.85,0.31813102638786506,R_1FkRVpzN8pSRcyz,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.5,0.0,0.0,2.0,0.0,1,0.1,1.2305556245818914,0.3156225774783643,0.55,0.55,0.0,0.18215853844854674,0.85,0.31813102638786506,1.239453587849011,0.3140643138722158,0.55,0.55,0.0,0.1919831106522991,0.85,0.31813102638786506,R_1FkRVpzN8pSRcyz,attribution,20,0,glucose,1
base_prototype,base,prototype,0.5,0.0,nan,2.0,0.0,1,0.1,1.2305556245818914,0.3156225774783643,0.55,0.55,0.0,0.18215853844854674,0.85,0.31813102638786506,1.239453587849011,0.3140643138722158,0.55,0.55,0.0,0.1919831106522991,0.85,0.31813102638786506,R_1FkRVpzN8pSRcyz,attribution,20,1,glucose,1
additive_exemplar,additive,exemplar,0.5,2.0,0.0,8.0,0.0,1,0.0,1.1030913207872959,0.37861395387006386,0.45,0.45,0.0,0.28266440921496916,0.75,0.3579947890629,1.157344052417845,0.3641497565614715,0.45,0.45,0.0,0.2851714917357365,0.7,0.35799478906289994,R_1LAMsFgZY1QImRg,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.5,2.0,nan,8.0,0.0,1,0.0,1.1030913207872959,0.37861395387006386,0.45,0.45,0.0,0.28266440921496916,0.75,0.3579947890629,1.157344052417845,0.3641497565614715,0.45,0.45,0.0,0.2851714917357365,0.7,0.35799478906289994,R_1LAMsFgZY1QImRg,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.5,1.0,0.0,4.0,0.0,1,0.0,1.1432513660772803,0.32942399436824754,0.35,0.35,0.0,0.31508653708344914,0.5,0.3579947890629,1.2067749181612977,0.3066545990135755,0.4,0.4,0.0,0.3486903552360723,0.5,0.35799478906289994,R_1LAMsFgZY1QImRg,counterfactual,20,0,glucose,1
base_prototype,base,prototype,0.5,1.0,nan,4.0,0.0,1,0.0,1.1432513660772803,0.32942399436824754,0.35,0.35,0.0,0.31508653708344914,0.5,0.3579947890629,1.1902144640800407,0.3119607231468021,0.35,0.35,0.0,0.3350865370834492,0.5,0.35799478906289994,R_1LAMsFgZY1QImRg,counterfactual,20,0,glucose,1
counterfactual_exemplar,counterfactual,exemplar,0.5,2.0,2.0,8.0,0.0,1,0.2,1.0561605012801278,0.35477502408554,0.3,0.3,0.0,0.18541770199407948,0.8,0.3579947890629,1.1867499350321615,0.33265194934702896,0.2,0.2,0.0,0.2212802301420423,0.75,0.35799478906289994,R_1LAMsFgZY1QImRg,counterfactual,20,0,glucose,1
counterfactual_prototype,counterfactual,prototype,0.5,2.0,nan,8.0,0.0,1,0.2,1.068685631420345,0.35480186680426407,0.3,0.3,0.0,0.1891026444561399,0.8,0.3579947890629,1.1374570021349206,0.33866227039771457,0.3,0.3,0.0,0.1794176953419139,0.8,0.35799478906289994,R_1LAMsFgZY1QImRg,counterfactual,20,1,glucose,1
additive_exemplar,additive,exemplar,0.5,0.0,0.0,0.25,0.0,1,0.0,1.3617893360405149,0.2647466144619063,0.35,0.35,0.0,0.3100697992951854,0.45,0.38542719733265,1.4411050420576796,0.2417024472540003,0.35,0.35,0.0,0.3500697992951854,0.45,0.38542719733264996,R_1OjmG5nvdTRtewc,attribution,20,0,glucose,1
