phase,instance id,cluster,original label,counterfactual changed features,normalized L1,actionability-weighted L1,target-class 3NN Gower,smallest normalized changed amount,objective,target probability,nearest training profile distance,copied training feature,copied raw delta,copied boundary progress,copied edit crosses boundary,source
training,180100,1,Diabetes,Glucose + BMI,0.30757298961003204,0.2843923208828615,0.06606339216744161,0.15303519809556193,0.307514508141466,0.6120220331092328,,,,,,train:37
training,180101,1,Diabetes,Glucose + BMI,0.31810965721329126,0.2933484883456319,0.060309539700058576,0.15303519809556193,0.3144568272406524,0.5862415305412978,,,,,,test:10
training,180102,1,Diabetes,Glucose + BMI,0.30406076707561225,0.28140693172860465,0.08708009890491693,0.1510255689800503,0.3118849663453256,0.5454614673540876,,,,,,test:47
training,180103,1,No Diabetes,Glucose + BMI,0.31108521214445184,0.2873777100371184,0.05248644073598724,0.15303519809556193,0.3057479642947139,0.5492711283407591,,,,,,train:14
training,180104,1,No Diabetes,Glucose + BMI,0.30757298961003204,0.2843923208828615,0.07377255059122025,0.15303519809556193,0.3102127135897886,0.5619502866903494,,,,,,train:92
training,180105,1,No Diabetes,Glucose + BMI,0.30406076707561236,0.28140693172860476,0.07280434752083989,0.1510255689800504,0.3068884533608987,0.6082506585497902,,,,,,dev:20
training,180106,2,Diabetes,Blood Pressure + Insulin,0.31096299165438285,0.34966798647199504,0.09944382611255992,0.15217391304347827,0.384473325611391,0.5155644530932652,,,,,,train:73
training,180107,2,Diabetes,Blood Pressure + Insulin,0.3047764041760359,0.3428627402458134,0.14883557541192716,0.15217391304347827,0.39495519163998793,0.5046292157452985,,,,,,train:211
training,180108,2,Diabetes,Blood Pressure + Insulin,0.3068386000021516,0.3451311556545406,0.07177091376330612,0.15217391304347827,0.3702509754716978,0.5005218238787111,,,,,,test:7
training,180109,2,No Diabetes,Blood Pressure + Insulin,0.3089007958282672,0.3473995710632678,0.07990119003234128,0.15217391304347827,0.37536498757458725,0.5006262423995249,,,,,,train:132
training,180110,2,No Diabetes,Blood Pressure + Insulin,0.3171495791327298,0.35647323269817666,0.05982721469242477,0.15217391304347827,0.3774127578405253,0.5015777485579601,,,,,,train:141
training,180111,2,No Diabetes,Blood Pressure + Insulin,0.3068386000021516,0.3451311556545406,0.08131674774941891,0.15217391304347827,0.3735920173668372,0.5028532602184341,,,,,,train:169
testing,180200,1,Diabetes,BMI,0.11165004214666972,0.09490253582466926,0.06474465071844526,0.11165004214666972,0.1175631635761251,0.5007293659539547,0.10499981825282767,bmi,-4.699999999999996,1.5125786649760635,1,train:41
testing,180201,1,Diabetes,BMI,0.1098222815397575,0.09334893930879387,0.09650398442900923,0.1098222815397575,0.1271253338589471,0.5004366672268564,0.14248764879775414,bmi,-4.699999999999996,1.521842676561239,1,train:93
testing,180202,1,Diabetes,BMI,0.1000878055633602,0.08507463472885617,0.07267741097999059,0.1000878055633602,0.11051172857185287,0.5220511973662216,0.13318977673777796,bmi,-4.699999999999996,6.55956870989772,1,train:255
testing,180203,1,Diabetes,BMI,0.15128336611407653,0.12859086119696506,0.10627953786873298,0.15128336611407653,0.1657886994510216,0.5011584971783988,0.112570489449067,bmi,-4.699999999999996,1.1226384928150934,1,test:13
