participant,xai,model family,eta,alpha,rho,lambda,beta,k,in-sample combined loss,in-sample selection F1,in-sample amount MAE,in-sample direction accuracy,5-fold CV combined loss,5-fold CV selection F1,5-fold CV amount MAE,5-fold CV direction accuracy,selected family by CV
R_10u9fEU6tjcCgkp,none,feature contribution,0.0,0.5,0.5,nan,nan,observed per instance,0.34836947907435045,0.4375,0.13423895814870096,0.45555555555555555,0.3797687426257024,0.3708333333333333,0.1303708185847381,0.48888888888888893,0
R_10u9fEU6tjcCgkp,none,weighted examples,0.0,nan,0.5,2.0,0.0,observed per instance,0.3116055272218296,0.5208333333333333,0.14404438777699252,0.6041666666666666,0.3191999070443122,0.5041666666666667,0.14256648075529108,0.6083333333333334,1
R_1CWrMhp5nGpISLk,counterfactual,feature contribution,0.5,1.0,0.5,nan,nan,observed per instance,0.35552014146695654,0.45,0.16104028293391304,0.7857142857142857,0.35552014146695654,0.45,0.161040282933913,0.8,1
R_1CWrMhp5nGpISLk,counterfactual,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.37359507462584723,0.41666666666666663,0.16385681591836113,0.7051282051282051,0.39248314906448944,0.37499999999999994,0.159966298128979,0.75,0
R_1Gjl0Vj3LRbQDQL,counterfactual,feature contribution,1.0,1.0,0.5,nan,nan,observed per instance,0.31056227666516345,0.5291666666666666,0.1502912199969934,0.7395833333333333,0.31056227666516345,0.5291666666666666,0.1502912199969934,0.7416666666666668,0
R_1Gjl0Vj3LRbQDQL,counterfactual,weighted examples,0.0,nan,1.5,6.0,0.5,observed per instance,0.26415871716142664,0.6124999999999999,0.14081743432285326,0.9215686274509803,0.26893167558236086,0.6124999999999998,0.15036335116472166,0.9111111111111111,1
R_1LqFEhCUBdcfUxb,attribution,feature contribution,1.0,1.0,0.5,nan,nan,observed per instance,0.38569372187250184,0.4416666666666667,0.21305411041167047,0.6538461538461539,0.4045676323594517,0.4416666666666666,0.25080193138556994,0.575,1
R_1LqFEhCUBdcfUxb,attribution,weighted examples,1.0,nan,0.5,6.0,0.0,observed per instance,0.42813301218655136,0.38333333333333336,0.23959935770643606,1.0,0.4421677081760552,0.3583333333333333,0.2426687496854437,1.0,0
R_1hM8ZPOQNryYfzQ,counterfactual,feature contribution,1.0,0.0,0.5,nan,nan,observed per instance,0.4068379009247741,0.3583333333333333,0.17200913518288158,0.7272727272727273,0.4365992019520955,0.295,0.168198403904191,0.9666666666666668,0
R_1hM8ZPOQNryYfzQ,counterfactual,weighted examples,0.5,nan,1.0,6.0,0.5,observed per instance,0.2920419218483503,0.5833333333333333,0.16741717703003395,0.8333333333333334,0.2949116401554578,0.5833333333333333,0.173156613644249,0.8333333333333333,1
R_1pGdgoCSR9w8u5j,counterfactual,feature contribution,0.0,0.5,0.5,nan,nan,observed per instance,0.3264073623482273,0.575,0.22781472469645458,0.7592592592592592,0.3394185231756418,0.5499999999999999,0.2288370463512835,0.7888888888888889,0
R_1pGdgoCSR9w8u5j,counterfactual,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.2953083358517189,0.6375,0.2281166717034376,0.7696078431372548,0.3006455094397733,0.625,0.2262910188795466,0.8166666666666667,1
R_3MG8uGwV5hZBvNL,attribution,feature contribution,1.0,0.5,0.5,nan,nan,observed per instance,0.3882132765659767,0.4,0.1764265531319534,0.7727272727272727,0.4509870685670423,0.275,0.17697413713408466,0.9166666666666666,0
R_3MG8uGwV5hZBvNL,attribution,weighted examples,1.0,nan,0.5,6.0,0.0,observed per instance,0.27679101178365634,0.6,0.1535820235673126,1.0,0.30371099526321177,0.55,0.15742199052642353,1.0,1
R_3Rqq1nU9dD98bDb,attribution,feature contribution,0.0,0.5,0.5,nan,nan,observed per instance,0.37726974987606543,0.4125,0.167039499752131,0.3222222222222222,0.4075350806736783,0.3458333333333333,0.16090349468068987,0.25,0
R_3Rqq1nU9dD98bDb,attribution,weighted examples,0.5,nan,0.5,6.0,0.0,observed per instance,0.33474159243074275,0.5125,0.18198318486148554,0.6354166666666666,0.34845977279730694,0.4875,0.18441954559461388,0.6444444444444445,1
R_3pV2gsUjgx4OTvP,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.47063900113075813,0.24166666666666664,0.18294466892818284,0.8333333333333334,0.5135011249792718,0.16666666666666666,0.19366891662521027,0.8333333333333334,0
