participant,xai,model family,5-fold CV selection F1,chance F1,adjusted F1,eta,alpha,rho,lambda,beta
R_1LqFEhCUBdcfUxb,attribution,feature contribution,0.4416666666666666,0.32999999999999996,0.1666666666666666,1.0,1.0,0.5,,
R_3MG8uGwV5hZBvNL,attribution,weighted examples,0.55,0.31,0.34782608695652184,1.0,,0.5,6.0,0.0
R_3Rqq1nU9dD98bDb,attribution,weighted examples,0.4875,0.45,0.06818181818181814,0.5,,0.5,6.0,0.0
R_53dL26t7L3fRn0z,attribution,feature contribution,0.6378571428571429,0.58,0.1377551020408165,0.5,1.0,1.0,,
R_61HsCAx45Al1wLV,attribution,weighted examples,0.6416666666666666,0.64,0.004629629629629428,0.0,,0.5,2.0,0.0
R_6a94wM1ITk1h1po,attribution,feature contribution,0.425,0.42000000000000004,0.008620689655172327,1.0,1.0,0.5,,
R_7wiYsAy6cA2mUR1,attribution,feature contribution,0.3866666666666666,0.37,0.02645502645502636,1.0,1.0,0.5,,
R_1CWrMhp5nGpISLk,counterfactual,feature contribution,0.45,0.38,0.11290322580645162,0.5,1.0,0.5,,
R_1Gjl0Vj3LRbQDQL,counterfactual,weighted examples,0.6124999999999998,0.49000000000000005,0.2401960784313721,0.0,,1.5,6.0,0.5
R_1hM8ZPOQNryYfzQ,counterfactual,weighted examples,0.5833333333333333,0.43,0.26900584795321625,0.5,,1.0,6.0,0.5
R_1pGdgoCSR9w8u5j,counterfactual,weighted examples,0.625,0.62,0.013157894736842117,0.0,,0.5,6.0,0.0
R_52rQ67BFIWPT81l,counterfactual,weighted examples,0.6541666666666666,0.5900000000000001,0.15650406504064998,1.0,,1.0,6.0,0.5
R_5Qg3F8vwXGPLT2w,counterfactual,feature contribution,0.5208333333333333,0.44000000000000006,0.1443452380952379,0.0,0.0,0.5,,
R_61FqPsVQ8CmSH4d,counterfactual,feature contribution,0.65,0.2,0.5625,1.0,0.5,1.5,,
R_6SHQ1D1ZGzH7pWU,counterfactual,feature contribution,0.8352380952380953,0.62,0.5664160401002509,0.5,1.0,1.5,,
R_6g7evPfeN1c1uOR,counterfactual,weighted examples,0.3916666666666666,0.32999999999999996,0.09203980099502485,1.0,,0.5,6.0,1.0
R_7ezzz3LznpZsi4S,counterfactual,weighted examples,0.5791666666666666,0.61,-0.07905982905982918,1.0,,0.5,6.0,0.0
R_7rpfPxPpvihQdSp,counterfactual,weighted examples,0.4833333333333333,0.39,0.1530054644808742,1.0,,1.0,2.0,0.5
R_10u9fEU6tjcCgkp,none,weighted examples,0.5041666666666667,0.45,0.09848484848484843,0.0,,0.5,2.0,0.0
R_3pV2gsUjgx4OTvP,none,weighted examples,0.3833333333333333,0.33999999999999997,0.06565656565656565,0.0,,0.5,0.0,0.0
R_4hswOSBSOzoVrXW,none,feature contribution,0.5166666666666666,0.31,0.29951690821256033,0.0,1.0,0.5,,
R_52iijMB6msPiDJ9,none,weighted examples,0.425,0.27,0.21232876712328763,0.0,,0.5,6.0,0.0
R_5IirXiajB47ue8i,none,weighted examples,0.5125,0.42000000000000004,0.15948275862068953,0.0,,0.5,0.0,0.0
R_5cuMJZcXnXdkcTS,none,weighted examples,0.5791666666666666,0.49000000000000005,0.17483660130718934,0.0,,0.5,0.0,0.0
R_6cUF1Fm2Jhe3Mu6,none,weighted examples,0.2,0.2,0.0,0.0,,0.5,6.0,0.0
R_6glWsdr4qttHZT3,none,weighted examples,0.5,0.32,0.2647058823529412,0.0,,0.5,6.0,0.0
R_6je4Jj1MX2gnjbr,none,weighted examples,0.4666666666666666,0.45999999999999996,0.012345679012345654,0.0,,0.5,6.0,0.0
R_7B5Jtq7sogkM7FU,none,weighted examples,0.6166666666666665,0.55,0.14814814814814764,0.0,,0.5,2.0,0.0
R_7O03wKSKIbtilNG,none,weighted examples,0.3375,0.32999999999999996,0.01119402985074636,0.0,,0.5,2.0,0.0
R_7mjEPKd4gNiFctJ,none,weighted examples,0.4,0.2,0.25,0.0,,0.5,0.0,0.0
