participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_17kEVqhzQ2qsxRj,none,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.3242140384947395,0.5302217109576101,0.178649787947089,0.5533139012136699,1.8163396546113932,0.3242140384947395,0.53022171095761,0.17864978794708897,0.5540060859226602,1.816339654611393,1
R_17kEVqhzQ2qsxRj,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.30256143954158193,0.541957821833969,0.14708070091713285,0.7877830574890805,1.8919458116926209,0.30256143954158193,0.5419578218339691,0.14708070091713288,0.7877830574890806,1.8919458116926209,0
R_1CkJOzM85nYSCk1,attribution,feature contribution,observed per instance,1.0,1.0,1.0,nan,nan,1,0.3267009719373902,0.5324831558565256,0.185885099731306,0.9878579294969508,1.6400774259240918,0.337328835882206,0.5137613521317169,0.18841902389612902,0.9694615341639861,2.776474940670391,1
R_1CkJOzM85nYSCk1,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.42044660593580063,0.36264343757309814,0.20353664944469935,0.9507777376297005,2.2175594266266607,0.42373115156483837,0.35691193952947287,0.20437424265914972,0.9496373840286785,3.4705310679892873,0
R_1FwylBEbSuK0oNf,counterfactual,feature contribution,observed per instance,0.5,1.0,0.5,nan,nan,1,0.3125085726032752,0.4569046120828305,0.08192175728938081,1.0,1.2933765957646064,0.3201305082443395,0.44032468670315,0.08058570319182892,1.0,1.4784689769705202,1
R_1FwylBEbSuK0oNf,counterfactual,weighted examples,observed per instance,0.0,nan,0.5,6.0,1.0,1,0.27102776231520564,0.5047482160452996,0.046803740675710866,0.7964945067548572,1.4650630930533444,0.27238745115046914,0.501867954990472,0.046642857291410274,0.8002108409775041,1.4836708638662244,0
R_1LdrH2cHZN4yUZH,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,0,0.42900536989686466,0.35007620057643074,0.20808694037016004,0.5263157894736842,1.577664125662114,0.45319906628657913,0.2982357415987597,0.20463387417191797,0.5333333333333333,1.8918467247524453,0
R_1LdrH2cHZN4yUZH,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.37487505395643883,0.44605394874816423,0.19580405666104211,0.9,1.3330676250137299,0.38138282058779227,0.4328264846676486,0.19559212584323316,0.9,1.4426342536686387,1
R_1QAMxqJ6UaP9XPc,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.4277256745489898,0.387112025136649,0.2425633742346284,0.5,1.9200627670130004,0.4277256745489897,0.387112025136649,0.2425633742346284,0.5,1.9200627670130008,1
R_1QAMxqJ6UaP9XPc,none,weighted examples,observed per instance,0.0,nan,0.5,6.0,0.0,0,0.44074879072447415,0.34249093551119,0.22398851696013825,0.752936810470603,2.219648342594447,0.44684474206457575,0.3317064469333869,0.22539593106253833,0.752936810470603,2.3083402520500504,0
R_1beGb3seoyBqBAl,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.221832540847134,0.769814054569122,0.21347913626339002,0.8531417955676505,0.8514497230397137,0.2260796304964269,0.7698140545691221,0.2219733155619758,0.8531417955676505,0.8514497230397137,1
R_1beGb3seoyBqBAl,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,2.0,1.0,0,0.2602216286567672,0.697592905864559,0.2180361631780933,0.7221886783706781,1.1815417915387225,0.26104607241009753,0.6966859261731828,0.2187780709933777,0.7217958509132163,1.1880101388183069,0
R_1eygULWOJvBHm3R,attribution,feature contribution,observed per instance,1.0,0.0,1.0,nan,nan,1,0.4488166460905448,0.3803327971878407,0.2779660893689303,0.55,2.469909156216887,0.457608672022179,0.37545145815447184,0.29066880219882973,0.55,2.517920302367821,0
R_1eygULWOJvBHm3R,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.46105527540422175,0.37582011831008333,0.2979306691185267,0.7965079233253171,2.4566788154514225,0.4706361432800117,0.3758201183100833,0.3170924048701066,0.7965079233253171,2.456678815451422,1
