participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_10u9fEU6tjcCgkp,none,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,0.2667672958650838,0.6438416644556086,0.17737625618577607,0.6166666666666666,1.4396650058902305,0.2776651199177846,0.6220460163502068,0.17737625618577604,0.6166666666666666,1.583129247875109,1
R_10u9fEU6tjcCgkp,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.25536482833743684,0.6217540705478684,0.13248372722274204,0.6125,1.577581992227061,0.26225880375159527,0.6114522466559802,0.1359698541591708,0.6125,1.6667384908738252,0
R_1CWrMhp5nGpISLk,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,1,0.339804901261673,0.4429474923534631,0.12255729487680911,0.775,2.198100510422443,0.3535655838059641,0.41542612726488093,0.12255729487680911,0.775,2.3512985786873974,1
R_1CWrMhp5nGpISLk,counterfactual,weighted examples,observed per instance,0.5,nan,1.0,6.0,0.0,1,0.39783088109015113,0.36542314658998354,0.16108490877028575,0.675,2.70307490833184,0.4143700854444661,0.3392567619896279,0.16799693287856002,0.6249999999999999,3.0314436749635414,0
R_1Gjl0Vj3LRbQDQL,counterfactual,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.34851020216673045,0.4752899418990627,0.1723103462325236,0.575,2.5235789209824118,0.36413382876247774,0.48572899795817026,0.2139966554831257,0.5638888888888889,3.58066678209308,0
R_1Gjl0Vj3LRbQDQL,counterfactual,weighted examples,observed per instance,0.5,nan,1.0,6.0,0.0,1,0.27557236508275046,0.5719502061711477,0.12309493633664839,0.8208333333333332,2.0432741940139554,0.28944611145425797,0.5859515890557618,0.16484381196427786,0.8444444444444444,3.0835321561795674,1
R_1LqFEhCUBdcfUxb,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.460104045394623,0.3490320810697338,0.2692401718589799,0.6083333333333333,2.0275725096995862,0.48270774497307406,0.3511810106359795,0.3165965005821275,0.5833333333333333,3.272073376349206,1
R_1LqFEhCUBdcfUxb,attribution,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,0.4168928770340054,0.35155897098540406,0.18534472505341487,0.7583333333333333,2.540305494550993,0.4229426000646003,0.3732054123355315,0.21909061246473205,0.775,3.7668060704680046,0
R_1hM8ZPOQNryYfzQ,counterfactual,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.4045509510518655,0.3601125371859807,0.16921443928971167,0.6416666666666666,3.093888477080612,0.43318715290828613,0.3170428114429038,0.18341711725947618,0.6416666666666666,3.6740823902210975,0
R_1hM8ZPOQNryYfzQ,counterfactual,weighted examples,observed per instance,1.0,nan,1.0,2.0,0.0,1,0.34034872346877226,0.4840569545725176,0.16475440151006218,0.75,2.3447310900147085,0.3432981374700637,0.4794318576337613,0.1660281325738886,0.75,2.3693612785030114,1
R_1pGdgoCSR9w8u5j,counterfactual,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.24961087370222215,0.7710399050762627,0.27026165248070705,0.6416666666666667,1.1252763778105384,0.24961087370222215,0.7710399050762626,0.270261652480707,0.6416666666666666,1.1252763778105386,1
R_1pGdgoCSR9w8u5j,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.0,0,0.2392043067511543,0.7516406708395988,0.23004928434190744,0.7333333333333333,1.3683502884020966,0.28641316995052923,0.6941690888442964,0.26699542874535476,0.6208333333333333,1.7252091634533095,0
R_3MG8uGwV5hZBvNL,attribution,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,0.3625265452061162,0.4957289384704401,0.22078202888267273,0.65,1.527299723468393,0.3791164926763085,0.46254904353005594,0.22078202888267265,0.65,1.7223795052747497,0
R_3MG8uGwV5hZBvNL,attribution,weighted examples,observed per instance,0.0,nan,1.0,2.0,0.0,0,0.277338716341539,0.5718644007050213,0.12654183338809938,0.85,1.2004053246493398,0.3021895846932071,0.5453005595587219,0.14967972894513623,0.825,1.378448568034811,1
