participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_10ZHzHEdKnH9gjk,housing,counterfactual,20,feature contribution,observed per instance,0.0,0.5,1.5,nan,nan,1,-1,0.3473612873690692,0.629359032178672,0.32408160691681037,0.7083333333333333,2.292938188356126,0.3640573820453283,0.610468080931146,0.3385828450218024,0.7083333333333333,2.39796483584777,0
R_10ZHzHEdKnH9gjk,housing,counterfactual,20,weighted examples,observed per instance,0.5,nan,1.5,6.0,0.5,1,-1,0.30901291322894797,0.6117787454704968,0.2298045719283927,0.975,2.3047448562319603,0.31052980777994027,0.6066982097129381,0.2277578252728188,0.975,2.3598008841636404,1
R_12bqooCAAJESsRr,safelimit,attribution,10,feature contribution,observed per instance,0.5,0.5,1.0,nan,nan,0,3,0.32511954953142713,0.5402601714416525,0.1904992705045069,1.0,0.666070772040046,0.3538185498560778,0.4804436733092567,0.18808077302141224,1.0,0.8624931727768997,1
R_12bqooCAAJESsRr,safelimit,attribution,10,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,0,3,0.3766560641153219,0.3508506590027384,0.1041627872333821,1.0,1.259428160975194,0.4103383099850639,0.3508506590027384,0.1715272789728662,1.0,1.259428160975194,0
R_12qUeHEbPUo2PTn,housing,none,10,feature contribution,observed per instance,0.0,0.5,1.5,nan,nan,1,-1,0.3234894162266974,0.6513135856031335,0.2982924180565283,0.6366666666666667,1.7116307095849979,0.33337809466473345,0.6315362287270613,0.29829241805652834,0.6366666666666666,2.0215290212494827,1
R_12qUeHEbPUo2PTn,housing,none,10,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.0,1,-1,0.28241565132175367,0.6242688793726063,0.18910018201611373,0.95,2.4837252211069996,0.27893160423500707,0.6235515749195637,0.18141478338957792,0.95,2.548163713821688,0
R_17kEVqhzQ2qsxRj,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,4,0.33823343922935656,0.5302217109576101,0.20668858941632315,0.4916666666666666,1.8163396546113932,0.33823343922935656,0.53022171095761,0.20668858941632315,0.4916666666666666,1.816339654611393,1
R_17kEVqhzQ2qsxRj,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.29567332190587287,0.541957821833969,0.13330446564571483,0.8,1.8919458116926209,0.2987215752261277,0.5419578218339691,0.13940097228622444,0.8,1.8919458116926209,0
R_1CkJOzM85nYSCk1,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,1.0,nan,nan,1,4,0.3141779341641264,0.5324831558565256,0.1608390241847784,0.925,1.6400774259240918,0.34698277578376524,0.5137613521317169,0.20772690369924737,0.9166666666666667,2.776474940670391,1
R_1CkJOzM85nYSCk1,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,4,0.3765136204129212,0.362643437573098,0.11567067839894044,0.925,2.2175594266266607,0.4044192081496843,0.35691193952947287,0.1657503558288415,0.925,3.4705310679892873,0
R_1FwylBEbSuK0oNf,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,1.0,0.5,nan,nan,1,4,0.31376232827905515,0.4569046120828305,0.08442926864094072,1.0,1.2933765957646064,0.3208201307911364,0.44032468670315,0.08196494828542293,1.0,1.4784689769705202,1
R_1FwylBEbSuK0oNf,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.5,6.0,1.0,1,4,0.27773248466886213,0.5047482160452995,0.060213185383023914,0.7368421052631579,1.4650630930533444,0.2789456983592498,0.501867954990472,0.05975935170897153,0.7333333333333333,1.4836708638662244,0
R_1J8ShU0r192gzAd,safelimit,none,10,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,3,0.25673209819778736,0.6326748727780336,0.14613906917360828,1.0,0.45779861789320603,0.2567320981977873,0.6326748727780336,0.14613906917360828,1.0,0.45779861789320603,1
R_1J8ShU0r192gzAd,safelimit,none,10,weighted examples,observed per instance,0.0,nan,0.5,2.0,0.0,0,3,0.4138581487195391,0.24906551666560683,0.07678181410468506,1.0,1.6488766811776376,0.4161535678410967,0.24636152694473218,0.07866866262692572,1.0,1.678568415698754,0
R_1LdrH2cHZN4yUZH,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,0,4,0.4590473447812804,0.35007620057643074,0.26817089013899154,0.5,1.577664125662114,0.4880586666096439,0.29823574159875965,0.2743530748180476,0.5,1.8918467247524453,0
R_1LdrH2cHZN4yUZH,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.3645909466572522,0.44605394874816423,0.17523584206266857,0.9,1.3330676250137299,0.3740869511372664,0.4328264846676486,0.18100038694218154,0.9,1.4426342536686387,1
R_1QAMxqJ6UaP9XPc,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,4,0.4599332740080765,0.38711202513664894,0.30697857315280186,0.5,1.9200627670130004,0.45993327400807643,0.38711202513664894,0.3069785731528018,0.5,1.9200627670130008,1
R_1QAMxqJ6UaP9XPc,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,0,4,0.4274265185050365,0.34249093551119,0.19734397252126304,0.75,2.219648342594447,0.4395832503409066,0.3317064469333869,0.2108729476152001,0.75,2.3083402520500504,0
R_1beGb3seoyBqBAl,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,4,0.23643176586073356,0.769814054569122,0.24267758629058914,0.8416666666666666,0.8514497230397137,0.2408219692589651,0.7698140545691221,0.2514579930870522,0.8416666666666666,0.8514497230397137,1
R_1beGb3seoyBqBAl,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,2.0,1.0,0,4,0.27429359876483267,0.697592905864559,0.24618010339422422,0.5708333333333333,1.1815417915387225,0.27537662815910896,0.6966859261731827,0.24743918249140076,0.5708333333333333,1.1880101388183069,0
R_1eUSbs1pQPimBTZ,housing,attribution,10,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,-1,0.534112536813075,0.36040593715581076,0.428631010781961,0.6,2.455028513606805,0.549182519329473,0.3604059371558107,0.4587709758147566,0.6,2.4550285136068046,1
R_1eUSbs1pQPimBTZ,housing,attribution,10,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,1,-1,0.5293474320798305,0.27637732781730356,0.3350721919769644,0.9,3.121241423252303,0.5461503256988791,0.27020000530885385,0.3625006567066119,0.9,3.1737949957547986,0
R_1eygULWOJvBHm3R,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,1.5,nan,nan,1,4,0.4756625080495363,0.38033279718784063,0.33165781328691324,0.55,2.469909156216887,0.47595668645615075,0.3754514581544718,0.32736483106677333,0.55,2.517920302367821,0
R_1eygULWOJvBHm3R,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,4,0.43222668568226047,0.37582011831008333,0.2402734896746042,0.725,2.4566788154514225,0.4373862701342934,0.3758201183100833,0.25059265857866997,0.725,2.456678815451422,1
R_1fpKwE5dFxzF6vi,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,0,4,0.3544242723102566,0.4585166976772709,0.16736524229778407,0.5789473684210527,1.5328021600813933,0.35442427231025664,0.4585166976772709,0.1673652422977841,0.5833333333333333,1.5328021600813933,1
R_1fpKwE5dFxzF6vi,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.5,2.0,0.0,0,4,0.3813030290263418,0.38556838565221596,0.14817444370489946,0.6403508771929824,1.8433675262043572,0.38910152470101556,0.3697292462879989,0.14793229569002994,0.625,1.9476136553453387,0
R_1iD8KQ66I3AExYs,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,4,0.5619845244011945,0.2027933637883815,0.3267624125907703,0.35,2.613458978129608,0.5619845244011944,0.2027933637883815,0.3267624125907703,0.35,2.613458978129608,0
R_1iD8KQ66I3AExYs,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,4,0.4520093018090102,0.30339361189151126,0.20741221550953162,0.775,2.1060195392433494,0.46393066521440185,0.29915982397446234,0.22702115440326615,0.775,2.1296144422031658,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,10,feature contribution,observed per instance,0.0,0.5,1.0,nan,nan,1,3,0.44493067673713427,0.4560226573427489,0.34588401081701736,0.8,1.6829446844133678,0.5519646585416023,0.37857849189709336,0.4825078089802979,0.8,4.678729954895277,0
R_1knCAqvmyTwFTer,safelimit,counterfactual,10,weighted examples,observed per instance,1.0,nan,1.5,6.0,1.0,1,3,0.37579291261751735,0.4726231656090031,0.22420899084403775,0.85,1.7206030178690432,0.3888466637744735,0.5107949203479999,0.28848824789694677,0.9,4.186268919489733,1
R_1tEUS0XkXyE4GbH,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,4,0.3428479212382809,0.4618229137861672,0.14751875626272895,0.475,1.8014871835128043,0.34385119533322417,0.4598163655962808,0.14751875626272898,0.475,1.8227835409218702,0
R_1tEUS0XkXyE4GbH,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,4,0.2816951582549182,0.5044480572016647,0.06783837371150096,0.7583333333333333,1.4417951599860415,0.2816951582549181,0.5044480572016647,0.06783837371150099,0.7583333333333333,1.4417951599860412,1
R_2wBl4JWxZiMKmQY,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,1,4,0.3455135237896005,0.6336322416013751,0.32465928918057607,0.6133333333333333,1.8455367754262806,0.36157485049507965,0.6057880327733969,0.3289377337635561,0.6133333333333333,2.051607848042191,1
R_2wBl4JWxZiMKmQY,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,2.0,0.5,1,4,0.31450707231142616,0.6141520395044192,0.24316618412727137,0.7783333333333332,2.04707278383725,0.33951350721921286,0.587510528008744,0.26653754244716976,0.6399999999999999,2.277142508573639,0
R_31GpbVwSgVHpLam,safelimit,counterfactual,10,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,3,0.5788506163862963,0.27855305666317387,0.43625428943576655,0.7,1.9197166241893666,0.6310718369923475,0.21119366310392668,0.47333733708862163,0.7,2.2770934781978367,1
R_31GpbVwSgVHpLam,safelimit,counterfactual,10,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,1,3,0.586671659605852,0.1580121645043555,0.33135548371605966,0.9,2.3179247178585975,0.6204162520006811,0.12046238820402336,0.36129489220538547,0.9,2.774336806141897,0
R_322r5wcn8EpZV6e,housing,attribution,20,feature contribution,observed per instance,0.0,0.5,1.5,nan,nan,1,-1,0.2933947977682043,0.7855786771881192,0.372368272724528,0.7408333333333333,1.0911619781657445,0.29700462985118303,0.7754767641709415,0.3694860238733076,0.7408333333333335,1.2581480412721349,1
R_322r5wcn8EpZV6e,housing,attribution,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,1,-1,0.24509922265830064,0.7772933441317356,0.2674917894483368,0.9191666666666667,1.705410548165298,0.24607566868648595,0.7749853738806369,0.26713671125360894,0.9191666666666667,1.7259216047964714,0
R_322vaHesZ9mABo8,housing,attribution,10,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,-1,0.5135379705138681,0.318613336500749,0.34568927752848533,0.6,1.1946992136701828,0.5135379705138682,0.318613336500749,0.3456892775284854,0.6,1.194699213670183,1
R_322vaHesZ9mABo8,housing,attribution,10,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,-1,0.5249574134088181,0.2918162338456973,0.34173106066333336,0.7,1.677465578035467,0.5249574134088181,0.2918162338456973,0.34173106066333336,0.7,1.677465578035467,0
R_32YjhrSOKPpEfJf,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,4,0.3751102243919806,0.4070838188376994,0.15730426762166067,0.3916666666666666,2.8711138690884903,0.37511022439198055,0.4070838188376995,0.1573042676216606,0.39166666666666666,2.8711138690884903,1
R_32YjhrSOKPpEfJf,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,4,0.37193948375286295,0.37885267781676896,0.12273164532249489,0.7708333333333333,3.3383489103545996,0.3769232092123945,0.37167134717764727,0.12551776560243633,0.7333333333333332,3.407123307194117,0
R_39eI4Ru6gkJHOk9,housing,attribution,20,feature contribution,observed per instance,1.0,1.0,1.0,nan,nan,1,-1,0.4064053278365309,0.37144070858616657,0.18425136425922822,0.9,0.9913665813900032,0.4090633520028974,0.37144070858616657,0.1895674125919613,0.9,0.991366581390003,1
R_39eI4Ru6gkJHOk9,housing,attribution,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,1,-1,0.45861136993764984,0.1485912157918397,0.06581395566713952,0.9,2.271453955638472,0.4586113699376499,0.1485912157918397,0.06581395566713952,0.9,2.271453955638472,0
R_3B7CxgDgEzWSvrb,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,4,0.4249384678146903,0.3731310832920598,0.22300801892144043,0.5833333333333333,2.35263566544794,0.45942543800202795,0.3436398531293201,0.262490729133376,0.575,3.8800377605718332,0
R_3B7CxgDgEzWSvrb,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.5,1,4,0.36109501989061216,0.44647399768027274,0.16866403746149702,0.7,1.829068907024777,0.3914480602467939,0.4384438182163475,0.22133993870993524,0.675,3.2127506766904332,1
R_3FJQV7viaHYDHi3,housing,none,10,feature contribution,observed per instance,0.0,0.5,1.0,nan,nan,1,-1,0.28882856838129883,0.6877199561247214,0.2653770928873188,0.695,1.4319664724195313,0.29841769278884084,0.6751593643551603,0.27199474993284206,0.6950000000000001,1.5532303183943126,1
R_3FJQV7viaHYDHi3,housing,none,10,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,-1,0.2556746894032764,0.6854600277853966,0.19680940659194948,0.9166666666666666,2.1731547573245575,0.26342361617065013,0.6854600277853966,0.21230726012669693,0.9166666666666666,2.173154757324557,0
R_3L5KFiVFwyHWfy9,housing,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,-1,0.5547232953440473,0.19524981366284935,0.3046964043509438,0.4166666666666667,2.3422890735642774,0.5547232953440473,0.1952498136628493,0.3046964043509438,0.41666666666666663,2.3422890735642774,0
R_3L5KFiVFwyHWfy9,housing,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.5,1,-1,0.3942126799965481,0.35994474733781295,0.1483701073309091,1.0,1.9744149301551315,0.3942126799965481,0.359944747337813,0.1483701073309091,1.0,1.9744149301551315,1
R_3MQqO18M5uhCVdT,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,4,0.28446857679171006,0.5670661665061865,0.1360033200896065,0.9875,1.12780905888741,0.2836810803831395,0.5605295580454339,0.12789171881171285,0.9875,1.182869799537151,1
R_3MQqO18M5uhCVdT,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,1.0,0,4,0.32103659369953025,0.4949807153464095,0.13705390274547008,0.7,1.5131206624667255,0.3426778434120371,0.456667836813224,0.14202352363729823,0.675,1.6877897852100907,0
R_3OLJbpwtIN5r62B,safelimit,attribution,10,feature contribution,observed per instance,0.5,0.5,0.5,nan,nan,0,3,0.22272793840180985,0.8315636698363994,0.2770195466400192,0.9666666666666666,0.6687958631981451,0.22942409441353956,0.821290522502192,0.2801387113292712,0.9666666666666666,0.7410731408272662,0
R_3OLJbpwtIN5r62B,safelimit,attribution,10,weighted examples,observed per instance,0.0,nan,0.5,6.0,0.0,0,3,0.21239026457960852,0.8082506255327676,0.23303115469198468,0.9666666666666666,0.6973423268815377,0.22627254696293023,0.8082506255327676,0.26079571945862806,0.9666666666666666,0.6973423268815377,1
R_3OZ3Mh6AZsBTXup,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.5,nan,nan,0,4,0.375963700972222,0.44324839666095783,0.195175798605402,0.6916666666666667,1.4802269055217239,0.3895328440607993,0.4184675786190858,0.1975332667406842,0.6916666666666667,1.5412144613357746,0
R_3OZ3Mh6AZsBTXup,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.3531519873129932,0.41145963331821916,0.11776360794420551,0.8416666666666666,1.4573443405890647,0.35315198731299324,0.41145963331821916,0.11776360794420551,0.8416666666666668,1.457344340589065,1
R_3RUOoa2ojaPNwoF,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,1.5,nan,nan,0,4,0.34016241581300805,0.639190408837659,0.319515240463675,0.5333333333333333,1.6628554872750556,0.36755611501910657,0.6066713555241965,0.3417835855624096,0.5333333333333333,1.9714451047434558,0
R_3RUOoa2ojaPNwoF,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,0,4,0.27825606044167783,0.6518254592952072,0.20833758017856305,0.7583333333333333,1.6255516457385777,0.27825606044167783,0.6518254592952073,0.20833758017856302,0.7583333333333334,1.6255516457385781,1
R_3cKOdqKWicLMTCx,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,0,4,0.25204612302555385,0.6635011053915228,0.16759335144263054,0.6708333333333333,1.6031870883443866,0.26853365419413283,0.6302598456291049,0.16732715401737042,0.6708333333333333,1.842787176949156,0
R_3cKOdqKWicLMTCx,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,4,0.20274617753487365,0.7367419942283933,0.1422343492981405,0.8208333333333332,1.0736258090250155,0.21031880339238002,0.7367419942283931,0.15737960101315318,0.8208333333333332,1.0736258090250153,1
R_3da8jwTxaAuNxsI,housing,none,10,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,1,-1,0.33957209271302113,0.634385731131335,0.31352991655737716,0.6233333333333333,0.9389989862851046,0.3469727969240627,0.6343857311313349,0.32833132497946027,0.6233333333333333,0.9389989862851044,1
R_3da8jwTxaAuNxsI,housing,none,10,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,-1,0.3031606610515608,0.6136135895144844,0.21993491161760606,0.95,1.6078882108814763,0.3031606610515608,0.6136135895144845,0.21993491161760606,0.95,1.6078882108814763,0
R_3dnediamQ206QWR,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,1.0,nan,nan,1,4,0.3230545810468376,0.5799131581439363,0.22602232023761148,0.631578947368421,1.4571727979011824,0.32981687365229534,0.5799131581439363,0.239546905448527,0.6333333333333333,1.4571727979011821,1
R_3dnediamQ206QWR,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.5,2.0,0.0,1,4,0.3765007078134398,0.4832428059380264,0.23624422156490596,0.5842105263157894,1.9365552881514294,0.3842503867500794,0.46830986028517546,0.23681063378533435,0.5383333333333333,2.0661703106780664,0
R_3dxYvw8kqqJYsmL,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,4,0.1864408284517623,0.7349466614871701,0.10782831839069469,1.0,1.060121405321124,0.19036350766461746,0.7271013030614597,0.10782831839069469,1.0,1.1014240478070685,1
R_3dxYvw8kqqJYsmL,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,4,0.19859187514974247,0.6715168626262538,0.06870061292573865,0.875,1.4992908945696966,0.19859187514974247,0.6715168626262538,0.06870061292573865,0.875,1.4992908945696963,0
R_3fTrP1eNSLr6OFA,housing,attribution,10,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,1,-1,0.5097774095010099,0.28443034769926856,0.30398516670128833,0.6833333333333333,2.0592646150833875,0.5679042083993139,0.24135983656156176,0.37716825336018955,0.6833333333333333,2.191360388164758,0
R_3fTrP1eNSLr6OFA,housing,attribution,10,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,-1,0.42530539432732406,0.3318828983553519,0.18249368700999996,1.0,1.9216582031651506,0.42530539432732406,0.33188289835535195,0.18249368701,1.0,1.9216582031651506,1
R_3irfiuQFDddFGoo,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,0,4,0.3471400410821182,0.5784618030185105,0.2727418851827468,0.8041666666666668,1.7782872711845166,0.3568038099108685,0.5693565349739143,0.2829641547956512,0.8041666666666666,1.8541335686459035,0
R_3irfiuQFDddFGoo,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.30903386778960884,0.6511228561634587,0.26919059174267634,0.6791666666666666,1.5617560997866344,0.3267262619889156,0.6139585951717104,0.2674111191495415,0.7124999999999999,1.728327643865493,1
R_3nxy8fTXACyezRw,housing,counterfactual,20,feature contribution,observed per instance,0.5,1.0,1.5,nan,nan,1,-1,0.48071396250786347,0.36055143819921576,0.3219793632149427,0.7,1.9831376945289072,0.48424247192617875,0.35090734635178533,0.3193922902041428,0.7,2.246321079406486,0
R_3nxy8fTXACyezRw,housing,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.5,1,-1,0.37587371623527044,0.4375362049353474,0.18928363740588836,0.95,2.025604581230959,0.3850175467232996,0.4047455263959985,0.17478061984259763,0.95,2.1597595618742083,1
R_3oGxWzvzrZAX87o,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,0.5,nan,nan,1,4,0.37112992458668354,0.5113427866143071,0.25360263578767406,0.8833333333333332,2.2601933718071576,0.4037455460121328,0.5212514878458617,0.32874257987012745,0.8777777777777779,3.4667925639895643,1
R_3oGxWzvzrZAX87o,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.5,1,4,0.35372672479925327,0.5006756747152122,0.20812912431371866,0.7833333333333333,2.2308626006253993,0.38883372878313205,0.4777132391066975,0.25538069667296154,0.7916666666666666,3.644991668508493,0
R_3obc8KIkN9SGl0t,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.5,1.0,nan,nan,1,4,0.40726801735692364,0.422258563983746,0.23679459869759345,0.8083333333333332,2.565254585033389,0.4046861318263604,0.44182693989698285,0.2511992035497035,0.825,3.6879534004234515,0
R_3obc8KIkN9SGl0t,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,4,0.43296946985533324,0.4238309035085385,0.289769843219205,0.5583333333333333,2.4890714484055034,0.4449467217710906,0.4365497148451277,0.32644315838730914,0.5194444444444444,3.650666779723443,1
