participant,domain,xai,direction,case,instance,valid,margin_pp,change_l1,n_changed
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,1,2447,0,-44.8116,1.000000,2
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,2,1751,0,-46.7547,0.666667,1
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,3,553,0,-40.5025,0.666667,1
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,4,172,1,36.8594,1.333333,1
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,5,2728,0,-14.8272,1.333333,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,1,3174,1,30.9168,1.000000,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,2,2275,1,29.1162,0.132102,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,3,675,0,-41.8153,1.000000,2
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,4,102,0,-16.4951,0.666667,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,5,577,0,-16.8392,0.666667,1
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,1,2447,1,21.6851,1.871856,5
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,2,1751,0,-39.5690,1.427841,4
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,3,553,0,-15.1471,1.676364,4
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,4,172,1,36.8594,1.333333,1
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,5,2728,1,22.3003,1.618561,3
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,1,3174,1,49.1270,1.172633,3
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,2,2275,1,16.3978,0.617424,2
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,3,675,1,45.9857,2.497254,5
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,4,102,0,-8.0771,1.233939,3
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,5,577,1,25.9643,1.037121,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,1,87,0,-49.9990,1.202319,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,2,203,1,49.9999,0.312045,2
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,3,106,1,46.0333,1.518225,4
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,4,143,1,50.0000,1.214203,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,5,300,1,50.0000,0.372899,2
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,1,98,0,-48.3344,0.412891,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,1.434563,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,3,4,1,50.0000,1.149725,2
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,1.332402,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,5,245,0,-49.9971,1.493511,3
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,1,3174,1,22.9596,0.259091,1
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,2,2275,1,17.7985,0.333333,1
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,3,675,0,-22.4276,2.107197,5
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,4,102,1,36.6770,0.866667,2
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,5,577,1,45.9456,1.066667,2
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,1,2447,0,-39.0949,1.489091,3
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,2,1751,0,-38.4032,0.866667,2
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,3,553,1,0.1310,1.066667,2
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,4,172,1,25.2696,1.042121,3
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,5,2728,1,28.6594,0.866667,2
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,1,87,1,50.0000,0.580025,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,2,203,0,-49.9941,0.125187,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,3,106,0,-50.0000,0.249875,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,4,143,1,50.0000,0.345112,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,5,300,1,47.5962,0.249875,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,1,98,0,-50.0000,0.169650,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,2,261,0,-50.0000,0.314563,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,3,4,0,-50.0000,0.059725,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,4,209,0,-50.0000,0.119675,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,5,245,0,-50.0000,0.124938,1
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,1,3174,1,48.4491,1.213636,2
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,2,2275,1,37.7233,0.257955,1
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,3,675,0,-19.4170,1.780682,5
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,4,102,0,-26.4972,1.167121,3
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,5,577,0,-25.2270,1.030303,2
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,1,2447,0,-1.9766,1.320701,4
