participant,domain,xai,direction,case,instance,valid,margin_pp,boundary_progress_pp,change_l1,n_changed
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,1,2447,0,-44.8116,-14.6328,1.000000,2
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,2,1751,0,-46.7547,-2.0044,0.666667,1
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,3,553,0,-40.5025,0.1957,0.666667,1
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_5DSzaEugkyhB8He,housing,none,Expensive to Cheap,5,2728,0,-14.8272,25.0101,1.333333,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,1,3174,1,30.9168,40.3672,1.000000,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,2,2275,1,29.1162,30.4698,0.132102,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,3,675,0,-41.8153,1.6813,1.000000,2
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,4,102,0,-16.4951,5.9216,0.666667,1
R_5DSzaEugkyhB8He,housing,none,Cheap to Expensive,5,577,0,-16.8392,-1.4954,0.666667,1
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,1,2447,1,21.6851,51.8639,1.871856,5
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,2,1751,0,-39.5690,5.1812,1.427841,4
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,3,553,0,-15.1471,25.5510,1.676364,4
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,4,172,1,36.8594,61.2026,1.333333,1
R_3FJQV7viaHYDHi3,housing,none,Expensive to Cheap,5,2728,1,22.3003,62.1375,1.618561,3
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,1,3174,1,49.1270,58.5774,1.172633,3
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,2,2275,1,16.3978,17.7514,0.617424,2
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,3,675,1,45.9857,89.4823,2.497254,5
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,4,102,0,-8.0771,14.3396,1.233939,3
R_3FJQV7viaHYDHi3,housing,none,Cheap to Expensive,5,577,1,25.9643,41.3081,1.037121,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,1,87,0,-49.9990,0.0010,1.202319,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,2,203,1,49.9999,99.9999,0.312045,2
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,3,106,1,46.0333,96.0333,1.518225,4
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,4,143,1,50.0000,100.0000,1.214203,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Above Limit to Below Limit,5,300,1,50.0000,100.0000,0.372899,2
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,1,98,0,-48.3344,1.6656,0.412891,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,1.434563,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,3,4,1,50.0000,100.0000,1.149725,2
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,1.332402,3
R_3OLJbpwtIN5r62B,safelimit,attribution,Below Limit to Above Limit,5,245,0,-49.9971,0.0029,1.493511,3
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,1,3174,1,22.9596,32.4100,0.259091,1
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,2,2275,1,17.7985,19.1521,0.333333,1
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,3,675,0,-22.4276,21.0689,2.107197,5
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,4,102,1,36.6770,59.0937,0.866667,2
R_5JrAewWP4QfNMDy,housing,attribution,Cheap to Expensive,5,577,1,45.9456,61.2894,1.066667,2
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,1,2447,0,-39.0949,-8.9161,1.489091,3
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,2,1751,0,-38.4032,6.3471,0.866667,2
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,3,553,1,0.1310,40.8292,1.066667,2
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,4,172,1,25.2696,49.6127,1.042121,3
R_5JrAewWP4QfNMDy,housing,attribution,Expensive to Cheap,5,2728,1,28.6594,68.4966,0.866667,2
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,1,87,1,50.0000,100.0000,0.580025,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,2,203,0,-49.9941,0.0059,0.125187,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,3,106,0,-50.0000,0.0000,0.249875,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,4,143,1,50.0000,100.0000,0.345112,1
R_1J8ShU0r192gzAd,safelimit,none,Above Limit to Below Limit,5,300,1,47.5962,97.5962,0.249875,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,1,98,0,-50.0000,0.0000,0.169650,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.314563,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,3,4,0,-50.0000,0.0000,0.059725,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.119675,1
R_1J8ShU0r192gzAd,safelimit,none,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.124938,1
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,1,3174,1,48.4491,57.8995,1.213636,2
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,2,2275,1,37.7233,39.0769,0.257955,1
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,3,675,0,-19.4170,24.0795,1.780682,5
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,4,102,0,-26.4972,-4.0806,1.167121,3
R_7CymkLq1W5EbO9c,housing,attribution,Cheap to Expensive,5,577,0,-25.2270,-9.8832,1.030303,2
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,1,2447,0,-1.9766,28.2022,1.320701,4
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,2,1751,0,-8.5887,36.1616,1.006345,3
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,3,553,0,-22.4834,18.2147,1.171061,4
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,4,172,1,25.2696,49.6127,1.042121,3
R_7CymkLq1W5EbO9c,housing,attribution,Expensive to Cheap,5,2728,0,-7.1020,32.7352,1.510682,5
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,1,3174,1,39.9990,49.4494,0.479091,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,2,2275,1,38.8921,40.2457,0.350852,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,3,675,0,-23.2182,20.2784,1.066667,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,4,102,0,-15.0564,7.3603,1.233939,2
R_1eUSbs1pQPimBTZ,housing,attribution,Cheap to Expensive,5,577,0,-16.8392,-1.4954,0.666667,1
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,1,2447,1,12.0322,42.2110,0.968371,2
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,2,1751,0,-44.6336,0.1167,0.605455,2
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,3,553,0,-42.1563,-1.4582,0.636364,1
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,4,172,1,15.3448,39.6880,0.545455,1
R_1eUSbs1pQPimBTZ,housing,attribution,Expensive to Cheap,5,2728,0,-28.9799,10.8573,1.212121,2
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,1,87,1,50.0000,100.0000,0.780025,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,2,203,1,49.9980,99.9980,0.225187,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,3,106,0,-49.9966,0.0034,0.374813,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,4,143,1,50.0000,100.0000,0.305112,1
R_12bqooCAAJESsRr,safelimit,attribution,Above Limit to Below Limit,5,300,1,50.0000,100.0000,0.374813,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,1,98,0,-6.4238,43.5762,0.569604,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.705455,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,3,4,1,49.9593,99.9593,0.249725,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.723636,1
R_12bqooCAAJESsRr,safelimit,attribution,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.516364,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,1,98,0,-50.0000,-0.0000,1.000000,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-49.9988,0.0012,0.644563,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.360000,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-49.4661,0.5339,1.379675,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,2.000000,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,1,87,1,49.9888,99.9888,0.460025,1
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,2,203,1,50.0000,100.0000,0.662045,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,3,106,0,-49.9999,0.0001,0.469526,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,100.0000,1.315112,2
R_1knCAqvmyTwFTer,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,47.5962,97.5962,0.249875,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,1,87,0,-50.0000,0.0000,1.000000,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,2,203,0,-50.0000,0.0000,0.106857,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,3,106,0,-50.0000,0.0000,0.600000,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,4,143,0,-45.3240,4.6760,0.341818,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Above Limit to Below Limit,5,300,0,-50.0000,0.0000,0.372210,2
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,1,98,0,-50.0000,-0.0000,0.170350,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.694545,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.380275,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.796364,1
R_7oigZfUmLeZhBs7,safelimit,attribution,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.374813,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,1,87,0,-43.6671,6.3329,1.582319,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,2,203,1,50.0000,100.0000,0.881136,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,3,106,1,50.0000,100.0000,2.624464,4
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,100.0000,1.618687,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,50.0000,100.0000,0.943291,3
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,1,98,1,50.0000,100.0000,1.009255,2
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-50.0000,0.0000,0.095437,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,-0.0000,0.180275,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.0000,0.160325,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.0000,0.160896,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,1,87,1,50.0000,100.0000,1.690025,2
