participant,domain,xai,phase,explanation,original label,target label,case,instance id,response time (seconds),attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_5DSzaEugkyhB8He,housing,none,training,Neither,Cheap,,1,14693,18.399,"""Living Area"" - 1190(0.110795454545)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1(0)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,1
R_5DSzaEugkyhB8He,housing,none,training,Neither,Expensive,,2,13350,14.437,"""Living Area"" - 2610(0.514204545455)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.75(0.636363636364)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,1
R_5DSzaEugkyhB8He,housing,none,training,Neither,Expensive,,3,2968,9.014,"""Living Area"" - 1090(0.0823863636364)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.5(0.181818181818)
""Floors"" - 1.5(0.333333333333)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,0
R_5DSzaEugkyhB8He,housing,none,training,Neither,Expensive,,4,15034,16.921,"""Living Area"" - 2210(0.400568181818)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.25(0.454545454545)
""Floors"" - 1(0)
""Construction Grade"" - 8(0.4)",,,,,,,,,Expensive,1
R_5DSzaEugkyhB8He,housing,none,training,Neither,Expensive,,5,4666,7.832,"""Living Area"" - 1600(0.227272727273)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.75(0.272727272727)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,0
R_5DSzaEugkyhB8He,housing,none,training,Neither,Expensive,,6,8187,8.453,"""Living Area"" - 1680(0.25)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.5(0.181818181818)
""Floors"" - 1.5(0.333333333333)
""Construction Grade"" - 7(0.2)",,,,,,,,,Cheap,0
R_5DSzaEugkyhB8He,housing,none,training,Neither,Cheap,,7,6557,4.515,"""Living Area"" - 1300(0.142045454545)
""Bedrooms"" - 2(0)
""Bathrooms"" - 1.5(0.181818181818)
""Floors"" - 1(0)
""Construction Grade"" - 6(0)",,,,,,,,,Cheap,1
R_5DSzaEugkyhB8He,housing,none,training,Neither,Cheap,,8,2898,3.597,"""Living Area"" - 2350(0.440340909091)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 3.5(0.909090909091)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,0
R_5DSzaEugkyhB8He,housing,none,training,Neither,Cheap,,9,2864,5.429,"""Living Area"" - 1530(0.207386363636)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.25(0.454545454545)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,0
R_5DSzaEugkyhB8He,housing,none,training,Neither,Cheap,,10,12633,4.132,"""Living Area"" - 1530(0.207386363636)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 1.75(0.272727272727)
""Floors"" - 1(0)
""Construction Grade"" - 7(0.2)",,,,,,,,,Expensive,0
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Cheap,Expensive,1,3174,10.859,"""Living Area"" - 1100(0.0852272727273)
""Bedrooms"" - 1(0) -> 4(0.666666666667)
""Bathrooms"" - 1.25(0.0909090909091)
""Floors"" - 3(1)
""Construction Grade"" - 9(0.6)",1,0.666666666667,Expensive,1,0.866950757576,0.405495881814,0.809168056988,0.403672175174,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Cheap,Expensive,2,2275,20.224,"""Living Area"" - 1530(0.207386363636) -> 1995(0.339488636364)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 3.25(0.818181818182)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 8(0.4)",1,0.132102272727,Expensive,1,0.423011363636,0.486463617766,0.791161977137,0.304698359372,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Cheap,Expensive,3,675,19.297,"""Living Area"" - 920(0.0340909090909)
""Bedrooms"" - 2(0) -> 3(0.333333333333)
""Bathrooms"" - 1(0)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 6(0)",2,1,Cheap,0,1.49346590909,0.0650342540676,0.0818474013758,0.0168131473083,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Cheap,Expensive,4,102,4.005,"""Living Area"" - 1700(0.255681818182)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 1.75(0.272727272727)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2)",1,0.666666666667,Cheap,0,0.533333333333,0.275833056192,0.33504939741,0.0592163412177,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Cheap,Expensive,5,577,3.119,"""Living Area"" - 1930(0.321022727273)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2(0.363636363636)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2)",1,0.666666666667,Cheap,0,0.533333333333,0.346561897239,0.331608292755,-0.0149536044848,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Expensive,Cheap,6,2447,35.538,"""Living Area"" - 3190(0.678977272727)
""Bedrooms"" - 5(1) -> 4(0.666666666667)
""Bathrooms"" - 3.5(0.909090909091)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 8(0.4)",2,1,Expensive,0,1.20028409091,0.19821191858,0.0518841645019,-0.146327754079,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Expensive,Cheap,7,1751,5.767,"""Living Area"" - 3600(0.795454545455)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6)",1,0.666666666667,Expensive,0,1.47348484848,0.0524975827183,0.0324533313946,-0.0200442513237,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Expensive,Cheap,8,553,3.865,"""Living Area"" - 3040(0.636363636364)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2.75(0.636363636364)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6)",1,0.666666666667,Expensive,0,1.14251893939,0.0930185614867,0.0949753779673,0.00195681648061,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Expensive,Cheap,9,172,4.714,"""Living Area"" - 1290(0.139204545455)
""Bedrooms"" - 2(0)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 1(0)
""Construction Grade"" - 8(0.4)",1,1,Cheap,1,1.00028409091,0.256568711116,0.868594360054,0.612025648938,,
R_5DSzaEugkyhB8He,housing,none,testing,Neither,Expensive,Cheap,10,2728,4.722,"""Living Area"" - 2160(0.386363636364)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 1(0)
""Construction Grade"" - 8(0.4)",1,1,Expensive,0,1.20028409091,0.101627349659,0.351728423595,0.250101073936,,
