participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_17kEVqhzQ2qsxRj,none,1,42,feature contribution,0.4890568256905696,0.5,1.0,0.112379123146029,0.078594664,1.0,0.0911412253,0.9478381122,0.0,0.0,0.9391619719395756,0.9388236297515031,0.10294653717714508,0.0006702468942351159
R_17kEVqhzQ2qsxRj,none,2,56,feature contribution,0.4890568256905696,0.5,0.0,0.22559620155548346,0.16364619275,1.0,0.0853831388,0.9444033797,0.0,0.0,0.9236530167948209,0.9441380573329636,0.054669195296660644,0.1197463886539187
R_17kEVqhzQ2qsxRj,none,3,26,feature contribution,0.4890568256905696,0.5,0.5,0.15454180769771364,0.18076512666666666,1.0,0.0674638591,0.9755793905,0.0,1.0,0.9513084577376749,0.9406391560588501,0.06144434097615825,0.03306564511590465
R_17kEVqhzQ2qsxRj,none,4,53,feature contribution,0.4890568256905696,0.5,0.5,0.16148776326206374,0.26063323566666663,0.0,0.0942672556,0.9229688592,1.0,0.0,0.941561815816246,0.9449924457738775,0.04624362569505802,0.07020935569562506
R_17kEVqhzQ2qsxRj,none,5,33,feature contribution,0.45306497868835927,0.6666666666666666,0.4,0.09571391120936577,0.1321570533,1.0,0.0887931601,0.9383243166,1.0,1.0,0.940755811071505,0.9351277160483601,0.16377450942642563,0.14802266642767076
R_17kEVqhzQ2qsxRj,none,6,7,feature contribution,0.4890568256905696,0.5,0.5,0.2084453310082384,0.10930557499999999,0.0,0.0233069063,0.915182125,0.0,0.0,0.9424979612622671,0.9423396406935721,0.09731447356153133,0.13179170831563822
R_17kEVqhzQ2qsxRj,none,7,32,feature contribution,0.4890568256905696,0.5,1.0,0.20859519345302066,0.22068758100000002,1.0,0.1751543515,0.93734892,0.0,1.0,0.9284949482609409,0.942019943603606,0.04106668389018464,0.019677559921170998
R_17kEVqhzQ2qsxRj,none,8,35,feature contribution,0.45306497868835927,0.6666666666666666,0.6666666666666666,0.23273221352639745,0.2750870353923913,0.0,0.2661618748,0.8945804877,0.0,0.0,0.8789205018942201,0.8654052806755738,0.35323597334343604,0.5079280187075761
R_17kEVqhzQ2qsxRj,none,9,14,feature contribution,0.4890568256905696,0.5,0.0,0.11426595582734785,0.17282091175,1.0,0.0616971327,0.8923234534,1.0,0.0,0.9284030179293661,0.9403374297198187,0.06445879740845628,0.2545813930247104
R_17kEVqhzQ2qsxRj,none,10,30,feature contribution,0.4890568256905696,0.5,0.5,0.14397011692481204,0.14321980999999998,0.0,2.0907e-05,0.9337793102,0.0,0.0,0.885706212395234,0.9084953910396059,0.23950284109121084,0.13452070523865026
