participant,xai,selected model family,observed validity,model validity,baseline validity,observed boundary distance,model boundary distance,baseline boundary distance,observed plausibility,model plausibility,baseline plausibility,model selection F1,baseline selection F1,model amount MAE,baseline amount MAE
R_17kEVqhzQ2qsxRj,none,feature contribution,0.3,0.2,0.2,0.142091632685,0.11534645989897611,0.1172361301802585,0.9350709754249997,0.9258014179378161,0.9274312834893689,0.4916666666666666,0.4533333333333333,0.17871104084315015,0.1908738050037862
R_1CkJOzM85nYSCk1,attribution,feature contribution,0.55,0.3,0.2,0.12278833877999999,0.11505908465493149,0.1355110334797383,0.921528394455,0.9196302452240126,0.920523694089036,0.7083333333333333,0.25,0.1600625980338099,0.20040385022457516
R_1FwylBEbSuK0oNf,counterfactual,feature contribution,0.0,0.15,0.25,0.15736943726499997,0.107423400900392,0.11582144586067264,0.9209580389450001,0.9203555148549615,0.9293438347280262,0.75,0.2,0.09325206301649311,0.06045778613484233
R_1LdrH2cHZN4yUZH,attribution,weighted examples,0.4,0.4,0.3,0.11373608506999999,0.07684342421437558,0.11092611877262348,0.9341543089800002,0.9333924641204124,0.9273500399021352,0.45,0.45,0.1905975653656424,0.25840788110833335
R_1QAMxqJ6UaP9XPc,none,feature contribution,0.4,0.2,0.25,0.21401753512,0.11212795146467522,0.11887001683059106,0.9211088344949999,0.9241005330720886,0.9262265936994802,0.375,0.375,0.2432018481484144,0.25422341381865937
R_1beGb3seoyBqBAl,counterfactual,feature contribution,0.6,0.1,0.4,0.115454246175,0.12052748607185797,0.1123987974277509,0.9283624186899997,0.9254525573974638,0.9228577134681064,0.8345238095238094,0.6678571428571427,0.2102938480221567,0.2128746695312524
R_1eygULWOJvBHm3R,attribution,weighted examples,0.55,0.4,0.4,0.18403088095000003,0.06914558342065677,0.12964524152316814,0.9266553390600001,0.9360220386592915,0.9248174085275906,0.4,0.25,0.2971451334581222,0.30374324820500564
R_1fpKwE5dFxzF6vi,attribution,feature contribution,0.25,0.15,0.25,0.172276677215,0.10634425467477604,0.14290524473957697,0.9220006536749998,0.9222100220120497,0.9274052069488716,0.47333333333333333,0.3833333333333333,0.12313881647654375,0.13290432050187292
R_1iD8KQ66I3AExYs,none,weighted examples,0.3,0.35,0.35,0.14364730501,0.07422484775558032,0.13025872879612266,0.92514935926,0.9362549368707624,0.9225366349813117,0.325,0.175,0.26328515377286454,0.26499847279583333
R_1tEUS0XkXyE4GbH,none,weighted examples,0.3,0.3,0.2,0.13768703764,0.08109794849238199,0.11895776348984036,0.9421565382700002,0.9369071580143323,0.9260843268576819,0.5666666666666667,0.3416666666666667,0.09289507403892146,0.13016003563292333
