participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_10u9fEU6tjcCgkp,none,1,130202,feature contribution,0.46484400191534764,1.0,0.0,0.2711508567548796,0.16391898723375,1.0,0.0208139398434,0.933399612799,0.0,0.0,0.9189736560116387,0.9427192410473946,0.03039840017773504,0.24282410201025809
R_10u9fEU6tjcCgkp,none,2,130209,feature contribution,0.5011399325527274,0.6666666666666666,0.6666666666666666,0.11778481975550396,0.13499202245926106,0.0,0.0603146419659,0.924982296808,0.0,0.0,0.997384520020108,0.9509263383650912,0.11120597835788164,0.11569738734712792
R_10u9fEU6tjcCgkp,none,3,130204,feature contribution,0.5112457494929165,0.5,0.5,0.12158477760971192,0.11213956021499998,0.0,0.020671436003,0.938177134002,0.0,0.0,0.9871650245319151,0.96,0.0749332967354287,0.07244895648956687
R_10u9fEU6tjcCgkp,none,4,130208,feature contribution,0.6234682729344941,0.0,0.5,0.08957365051644593,0.06890991681089999,0.0,0.0757947357396,0.978249356834,0.0,0.0,0.9500917227527832,0.96,0.04234908271622456,0.13424234296755733
R_10u9fEU6tjcCgkp,none,5,130206,feature contribution,0.43994118467689425,1.0,0.0,0.06484568020407427,0.118499885408525,0.0,0.0763935824123,0.945200091673,0.0,0.0,0.9477730288322073,0.96,0.04663188979854754,0.04561378810726863
R_10u9fEU6tjcCgkp,none,6,130205,feature contribution,0.5930357751656626,1.0,0.5,0.048268469802870195,0.14270821880433335,1.0,0.0640057768301,0.957057802541,0.0,1.0,0.9378132355510599,0.9244605525334773,0.00026491430046909903,0.08273716789453062
R_10u9fEU6tjcCgkp,none,7,130200,feature contribution,0.42570512714427833,1.0,0.5,0.17822272652745424,0.223635341392,1.0,0.0235954664617,0.927752687451,1.0,0.0,0.9208983195515751,0.9135707876050002,0.06079065228588609,0.07203548773039248
R_10u9fEU6tjcCgkp,none,8,130201,feature contribution,0.6549486250827877,0.6666666666666666,0.6666666666666666,0.0983889741420909,0.07345396668350002,0.0,0.00377392809949,0.929359082468,0.0,1.0,0.9270979295667945,0.9128672416905145,0.08773043835908934,0.0858294673038883
R_10u9fEU6tjcCgkp,none,9,130203,feature contribution,0.5582069523091719,1.0,0.5,0.12842660712635612,0.15099905326266666,0.0,0.046214693197,0.95150217317,0.0,0.0,0.9420514441330324,0.9167317501534071,0.036573970110904186,0.04973343348706822
R_10u9fEU6tjcCgkp,none,10,130207,feature contribution,0.5425001472835733,0.0,0.0,0.17567745270638824,0.152023465397,1.0,0.0224958093333,0.959190613841,0.0,0.0,0.9705384050762447,0.98,0.12101587540905406,0.0969169805923906
R_10u9fEU6tjcCgkp,none,11,130302,feature contribution,0.6136129847631919,1.0,0.0,0.540830637984365,0.19497330710850003,0.0,0.369100896435,0.956120289504,0.0,0.0,0.9732552093198394,0.98,0.22651777825543562,0.18273623140735307
R_10u9fEU6tjcCgkp,none,12,130303,feature contribution,0.41830273081363434,0.5,0.0,0.15973825779601009,0.13011865614725,1.0,0.0224973343931,0.97149263743,0.0,0.0,0.9736661020882487,0.9429356715718652,0.005865028182240023,0.081988935511003
R_10u9fEU6tjcCgkp,none,13,130301,feature contribution,0.5952493749663053,1.0,1.0,0.26318002586344064,0.23252317302449999,0.0,0.203149917866,0.94090962555,0.0,1.0,0.975563611352066,0.9878263524876423,0.024434557627866726,0.036725754779634745
R_10u9fEU6tjcCgkp,none,14,130300,feature contribution,0.43885198620075927,0.6666666666666666,0.6666666666666666,0.13805510443760577,0.155221852354325,0.0,0.0331449386913,0.939849223521,1.0,1.0,0.9779059174995373,0.9515077951704988,0.07508002975797973,0.07218626085648211
R_10u9fEU6tjcCgkp,none,15,130308,feature contribution,1.0,1.0,1.0,0.13692815388836532,0.105736994952775,0.0,0.169960260959,0.932209719059,0.0,0.0,0.9487864729109227,0.9279854124822245,0.05934613488996876,0.04819390668492474
