participant,xai,selected model family,observed validity,model validity,baseline validity,observed boundary distance,model boundary distance,baseline boundary distance,observed plausibility,model plausibility,baseline plausibility,model selection F1,baseline selection F1,model amount MAE,baseline amount MAE
R_10u9fEU6tjcCgkp,none,feature contribution,0.35,0.15,0.25,0.0853428537402045,0.07428140680837982,0.08450948224655692,0.9413074697326997,0.9554141763723134,0.9443928546295111,0.7166666666666666,0.4916666666666666,0.1680894277682426,0.14098307530395554
R_1CWrMhp5nGpISLk,counterfactual,feature contribution,0.25,0.1,0.3,0.09947841350295801,0.08850237185724782,0.09235698236294909,0.94195234751295,0.9501096278534847,0.9521338039893953,0.39166666666666666,0.2833333333333333,0.16004581285751543,0.16112667759357135
R_1Gjl0Vj3LRbQDQL,counterfactual,weighted examples,0.35,0.35,0.15,0.100982407071374,0.07765054664042652,0.06986018255405098,0.93303358410635,0.9480319652106417,0.9486482001063236,0.5958333333333332,0.4625,0.16375029611506092,0.16185382733765113
R_1LqFEhCUBdcfUxb,attribution,feature contribution,0.25,0.2,0.15,0.105445186464178,0.06836351175819769,0.05385685536056221,0.9436902923975999,0.9533397077262877,0.9534030303065357,0.4416666666666667,0.375,0.2120981333533245,0.22575066768297652
R_1hM8ZPOQNryYfzQ,counterfactual,weighted examples,0.5,0.45,0.1,0.10956760672585752,0.09805973236961707,0.08465562312707428,0.9279717809627502,0.9433050257051556,0.9453218871796423,0.5083333333333333,0.3783333333333333,0.19242172657730144,0.1801633274372021
R_1pGdgoCSR9w8u5j,counterfactual,feature contribution,0.5,0.2,0.35,0.25970452509905495,0.0779167044625508,0.08694982213239362,0.9515830039064499,0.949125796919291,0.9377303438216537,0.7523809523809523,0.8440476190476189,0.258747071916543,0.27931661079585973
R_3MG8uGwV5hZBvNL,attribution,weighted examples,0.5,0.25,0.15,0.078372825922678,0.05452136772456012,0.08565711926665823,0.9488525998736002,0.9489785627647598,0.9547006484057053,0.7,0.375,0.15034080273050904,0.20046620353173764
R_3Rqq1nU9dD98bDb,attribution,weighted examples,0.4,0.25,0.3,0.07436020303333199,0.0653276392333905,0.07894325724420544,0.93333552787405,0.9568701238784495,0.941908166144434,0.4875,0.33749999999999997,0.18435730053722413,0.1745560954398313
R_3pV2gsUjgx4OTvP,none,weighted examples,0.45,0.3,0.25,0.057719841876838006,0.0551310721775368,0.08886215884842631,0.9513304723409497,0.9473425072725365,0.9517674268316971,0.475,0.45,0.16684818137696603,0.20053522934447318
R_4hswOSBSOzoVrXW,none,feature contribution,0.2,0.3,0.1,0.12172359244791349,0.09403445720455184,0.09929798197414977,0.9439245019181,0.9548046128581174,0.9557465654282031,0.475,0.2666666666666667,0.15545102714529332,0.14773868772918458
