participant,domain,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_10ZHzHEdKnH9gjk,housing,counterfactual,1,614,weighted examples,0.3253669407838695,0.5,0.5,0.3407349800197061,0.377979798,0.0,0.1385377327,0.9923409091,1.0,0.0,0.9770849273936418,0.96,0.03594501415281287,0.008274170728976321
R_10ZHzHEdKnH9gjk,housing,counterfactual,2,102,weighted examples,0.36385502520984514,0.6666666666666666,0.3333333333333333,0.244638070705479,0.3287878788,1.0,0.0209793991,0.9869318182,1.0,0.0,0.9856243236970291,0.9780681818181818,0.294024076396747,0.08957744293095415
R_10ZHzHEdKnH9gjk,housing,counterfactual,3,1760,weighted examples,0.3276417029194826,0.5,0.5,0.2146878170667342,0.2538825757666667,1.0,0.3857655718,0.9998295455,1.0,0.0,0.9619851582541167,0.9796590909090909,0.026740275059443208,0.10448117132687773
R_10ZHzHEdKnH9gjk,housing,counterfactual,4,577,weighted examples,0.32745506892103415,0.6666666666666666,0.6666666666666666,0.23708041795670504,0.382575757575,1.0,0.1754639694,0.9863636364,1.0,0.0,0.9892476676993034,0.9581818181818182,0.3385544201883942,0.0592224426913196
R_10ZHzHEdKnH9gjk,housing,counterfactual,5,2275,weighted examples,0.29200365712214926,0.0,0.0,0.31367821185416866,0.247230113625,1.0,0.6499508575,0.9965340909,1.0,0.0,0.9661385846670787,0.9781818181818182,0.0024569978347053767,0.06603888395520496
R_10ZHzHEdKnH9gjk,housing,counterfactual,6,675,weighted examples,0.4350582612282403,0.3333333333333333,0.4,0.4529277907330725,0.357575757575,0.0,0.2785606507,1.0,1.0,0.0,0.9591934213875335,0.9798863636363636,0.29140860700051036,0.22627552265197742
R_10ZHzHEdKnH9gjk,housing,counterfactual,7,3174,weighted examples,0.40821542990080245,0.0,0.0,0.405533448455306,0.203882575769697,1.0,0.580793925,0.8611931818,1.0,1.0,0.9166805466357599,0.9230681818181818,0.3484240338233925,0.056286733310353526
R_10ZHzHEdKnH9gjk,housing,counterfactual,8,2987,weighted examples,0.29276139108694516,0.0,1.0,0.3310542078932507,0.4037784091,1.0,0.1358835324,0.9663295455,1.0,1.0,0.9593573912647934,0.96875,0.15101315190546555,0.16430979287149533
R_10ZHzHEdKnH9gjk,housing,counterfactual,9,692,weighted examples,0.4601421436788307,0.6666666666666666,0.6666666666666666,0.4348887332452337,0.4840909091,1.0,0.3364936627,0.9784090909,1.0,1.0,0.9789337138616415,0.9593181818181818,0.31277158388715537,0.1291572794149762
R_10ZHzHEdKnH9gjk,housing,counterfactual,10,2255,weighted examples,0.2851431498182757,0.5,0.0,0.1838805698858327,0.217400568175,1.0,0.2079384195,0.9998863636,1.0,0.0,0.9591430064599842,0.978125,0.030734154296681304,0.15077214010600382
