participant,domain,xai,selected model family,observed validity,model validity,baseline validity,observed boundary distance,model boundary distance,baseline boundary distance,observed plausibility,model plausibility,baseline plausibility,model selection F1,baseline selection F1,model amount MAE,baseline amount MAE
R_10ZHzHEdKnH9gjk,housing,counterfactual,weighted examples,0.6,0.7,0.25,0.23600558635000005,0.1305523808734552,0.19097425935756823,0.98557102273,0.9603378132372328,0.9639232954545454,0.5958333333333332,0.5520238095238097,0.27929707835187245,0.33915740210151524
R_12bqooCAAJESsRr,safelimit,attribution,feature contribution,0.5,0.5,0.0,0.18110138672999998,0.16967041997976048,0.3619490316039552,0.97665460185,0.9756807745707817,0.9774980787531113,0.8,0.4,0.22850133203683742,0.37125131469
R_12qUeHEbPUo2PTn,housing,none,feature contribution,0.9,1.0,0.3,0.17622196404,0.1341566938466781,0.12733806517101728,0.99174090908,0.9520760555357679,0.9557613636363638,0.6193650793650793,0.6855555555555555,0.33390235440482335,0.3712019255151515
R_17kEVqhzQ2qsxRj,diabetes,none,feature contribution,0.3,0.2,0.2,0.142091632685,0.1303659189747981,0.1172361301802585,0.9350709754249997,0.9269568276439125,0.9274312834893689,0.4916666666666666,0.4533333333333333,0.17027079370076068,0.1908738050037862
R_1CkJOzM85nYSCk1,diabetes,attribution,feature contribution,0.55,0.35,0.2,0.12278833877999999,0.11848026474672327,0.1355110334797383,0.921528394455,0.9200093971972049,0.920523694089036,0.7083333333333333,0.25,0.1634777846345488,0.20040385022457516
R_1FwylBEbSuK0oNf,diabetes,counterfactual,feature contribution,0.0,0.15,0.25,0.15736943726499997,0.11016049221103477,0.11582144586067264,0.9209580389450001,0.9206386608669114,0.9293438347280262,0.75,0.2,0.09024039432241107,0.06045778613484233
R_1J8ShU0r192gzAd,safelimit,none,feature contribution,0.3,0.1,0.0,0.24041587764,0.18164763759068123,0.3468949738239369,0.97846983553,0.9786568197261285,0.9763660773124274,1.0,0.3,0.14613906917360828,0.18362068962000003
R_1LdrH2cHZN4yUZH,diabetes,attribution,weighted examples,0.4,0.7,0.3,0.11373608506999999,0.08582406732615687,0.11092611877262348,0.9341543089800002,0.9366503441089687,0.9273500399021352,0.45,0.45,0.2558136104712124,0.25840788110833335
R_1QAMxqJ6UaP9XPc,diabetes,none,feature contribution,0.4,0.2,0.25,0.21401753512,0.12081524216259369,0.11887001683059106,0.9211088344949999,0.9242265807195537,0.9262265936994802,0.375,0.375,0.2416706890224344,0.25422341381865937
R_1beGb3seoyBqBAl,diabetes,counterfactual,feature contribution,0.6,0.1,0.4,0.115454246175,0.12908686078828674,0.1123987974277509,0.9283624186899997,0.9268393742034993,0.9228577134681064,0.8345238095238094,0.6678571428571427,0.21533467323367317,0.2128746695312524
R_1eUSbs1pQPimBTZ,housing,attribution,feature contribution,0.4,0.3,0.2,0.24673697751999998,0.06695348487812272,0.16733365117883778,0.97300340909,0.9759410328365217,0.9772727272727272,0.35,0.16666666666666666,0.3296636241441136,0.3114171400708333
R_1eygULWOJvBHm3R,diabetes,attribution,weighted examples,0.55,0.85,0.4,0.18403088095000003,0.16406751892420662,0.12964524152316814,0.9266553390600001,0.9257236635345407,0.9248174085275906,0.4,0.25,0.33761219117774427,0.30374324820500564
R_1fpKwE5dFxzF6vi,diabetes,attribution,feature contribution,0.25,0.15,0.25,0.172276677215,0.11128690973305991,0.14290524473957697,0.9220006536749998,0.9212011543897287,0.9274052069488716,0.47333333333333333,0.3833333333333333,0.12090112527425918,0.13290432050187292
R_1iD8KQ66I3AExYs,diabetes,none,weighted examples,0.3,0.7,0.35,0.14364730501,0.09335086202027539,0.13025872879612266,0.92514935926,0.9342462620128558,0.9225366349813117,0.325,0.175,0.30897184296725944,0.26499847279583333
R_1knCAqvmyTwFTer,safelimit,counterfactual,weighted examples,0.4,0.4,0.1,0.22842494742999997,0.16608858256777032,0.3381743409283965,0.9810504226000001,0.9792743006295701,0.9777274047687345,0.65,0.26666666666666666,0.30721314413853157,0.42979083925
R_1tEUS0XkXyE4GbH,diabetes,none,weighted examples,0.3,0.3,0.2,0.13768703764,0.08109794849238199,0.11895776348984036,0.9421565382700002,0.9369071580143323,0.9260843268576819,0.5666666666666667,0.3416666666666667,0.09289507403892146,0.13016003563292333
R_2wBl4JWxZiMKmQY,diabetes,counterfactual,feature contribution,0.6,0.05,0.3,0.13584498926500002,0.11700294611875417,0.1046788407362639,0.9102055396600001,0.9262921672299165,0.9218968970375864,0.6608333333333333,0.5952380952380951,0.2675338711100387,0.27262316238593554
R_31GpbVwSgVHpLam,safelimit,counterfactual,feature contribution,0.3,0.1,0.0,0.44106377708,0.22434535898063085,0.36680595013617434,0.98224317112,0.981603872751133,0.9735189353249236,0.27999999999999997,0.48,0.4841444396774036,0.5054531552924242
R_322r5wcn8EpZV6e,housing,attribution,feature contribution,0.9,0.9,0.4,0.36240444872,0.15002673638014943,0.219946454087978,0.9853363636400001,0.9545301878975311,0.95075,0.8194444444444444,0.7257539682539682,0.3436160468345605,0.42320582387676514
R_322vaHesZ9mABo8,housing,attribution,feature contribution,0.3,0.2,0.2,0.15021559607,0.11632951093936292,0.14370581831621024,0.98898295455,0.9782910593736991,0.9767613636363637,0.4,0.3,0.2809409380554266,0.26698863631499997
R_32YjhrSOKPpEfJf,diabetes,attribution,feature contribution,0.25,0.2,0.25,0.13127240862499998,0.11674946383627502,0.10698634474757016,0.9274348635499999,0.9210441873872991,0.9244088899424394,0.4691666666666666,0.38249999999999995,0.12382861123200777,0.13616409895759113
R_39eI4Ru6gkJHOk9,housing,attribution,feature contribution,0.6,0.75,0.25,0.17794812973000002,0.1809754725366008,0.25095684965136633,0.974815340915,0.9689213724632836,0.9820653409090909,0.45,0.2,0.16187692645135357,0.2262144886425
R_3B7CxgDgEzWSvrb,diabetes,counterfactual,weighted examples,0.45,0.4,0.35,0.08756592559000001,0.06426709134792565,0.11632148176151251,0.9364004028450001,0.938763637973336,0.9284294080942642,0.4958333333333333,0.4458333333333333,0.17937949281853138,0.1781751677604213
R_3FJQV7viaHYDHi3,housing,none,feature contribution,0.7,0.8,0.4,0.14081469305,0.09137803056849537,0.0961597954236331,0.99384545454,0.966246359914733,0.9574090909090909,0.8122222222222222,0.638888888888889,0.24831410568463505,0.3451637626188182
R_3L5KFiVFwyHWfy9,housing,counterfactual,weighted examples,0.3,0.5,0.2,0.254595125775,0.17658828240553665,0.22941180254835114,0.9918022727250001,0.9804602272727274,0.9825426136363637,0.4583333333333333,0.2783333333333334,0.2924711568950758,0.2778166823866666
R_3MQqO18M5uhCVdT,diabetes,counterfactual,feature contribution,0.3,0.2,0.35,0.122058581885,0.11994254514177427,0.11865676612936674,0.9267394982299999,0.9271013913588486,0.9262833096615746,0.675,0.4,0.13907220311419685,0.14242518105340582
R_3OLJbpwtIN5r62B,safelimit,attribution,weighted examples,0.5,0.2,0.0,0.10874575863,0.18526396496488862,0.24526488418315565,0.9847040112000002,0.9852920489554359,0.9776595189117219,0.7923809523809523,0.5723809523809524,0.2834160491138813,0.2793543169325
R_3OZ3Mh6AZsBTXup,diabetes,counterfactual,weighted examples,0.5,0.4,0.3,0.159171902065,0.09643349748549909,0.11307884665035735,0.92301433674,0.9353030677868247,0.9231865814051068,0.5083333333333333,0.15833333333333333,0.18985471118302014,0.214585104185
R_3RUOoa2ojaPNwoF,diabetes,attribution,weighted examples,0.5,0.75,0.25,0.215838073615,0.1630533468940246,0.1276516238156588,0.9301672225650002,0.92705452684213,0.9194899488590884,0.6416666666666666,0.6649999999999999,0.28671906290913945,0.3452145316387524
R_3cKOdqKWicLMTCx,diabetes,counterfactual,weighted examples,0.45,0.4,0.3,0.08416130995,0.10809877902825316,0.11408982867662221,0.9459006836399999,0.9439928553088578,0.9253125498570839,0.8083333333333332,0.5916666666666666,0.1351799994202624,0.17463343824735222
R_3da8jwTxaAuNxsI,housing,none,feature contribution,0.4,0.7,0.2,0.14551540619000003,0.07966215960783675,0.14183406764890116,0.99497159092,0.9684636004606713,0.9571590909090908,0.5938888888888888,0.5538888888888889,0.4529749482239719,0.4251359216732424
R_3dnediamQ206QWR,diabetes,attribution,feature contribution,0.15,0.35,0.3,0.16470377489000004,0.10746329163338242,0.13562542005951053,0.916995870945,0.9219138903249646,0.92542900868918,0.7152777777777778,0.48194444444444445,0.21202988031806752,0.21882865396496415
