participant,domain,xai,n_forward_trials,participant_training_accuracy,fitted_continuous_parameters,best_forward_mental_model,second_best_forward_mental_model,delta_bic_to_second_best,supported_forward_mental_models_delta_bic_lt_2,forward_mental_model_fit_conclusion,forward_mental_model_evidence_strength,final_feature_relevance,final_feature_polarity,exemplar_nll,exemplar_bic,exemplar_mean_log_loss,exemplar_brier,exemplar_accuracy,exemplar_delta_bic,attribution_nll,attribution_bic,attribution_mean_log_loss,attribution_brier,attribution_accuracy,attribution_delta_bic,prototype_nll,prototype_bic,prototype_mean_log_loss,prototype_brier,prototype_accuracy,prototype_delta_bic
R_53dL26t7L3fRn0z,diabetes,attribution,12,0.5833333333333334,0,prototype,attribution,0.5559561894785876,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25698060730212885,""blood_pressure"":0.24301939269787118,""bmi"":0.0,""glucose"":0.27650858132389494,""insulin"":0.22349141867610509}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.074854562151083,16.149709124302166,0.6729045468459236,0.24104628750810106,0.4166666666666667,1.0459264587178971,7.8298694275314284,15.659738855062857,0.6524891189609524,0.23020607148506908,0.6666666666666666,0.5559561894785876,7.551891332792135,15.10378266558427,0.6293242777326779,0.21977169685995465,0.5833333333333334,0.0
R_61HsCAx45Al1wLV,diabetes,attribution,12,0.75,0,exemplar,attribution,0.13275105176687418,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.2569806073021288,""blood_pressure"":0.2430193926978712,""bmi"":0.0,""glucose"":0.27650858132389494,""insulin"":0.22349141867610503}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.697733462477746,17.395466924955493,0.7248111218731456,0.2656766254038971,0.4166666666666667,0.0,8.764108988361183,17.528217976722367,0.7303424156967653,0.26822147546429465,0.3333333333333333,0.13275105176687418,8.803812956761904,17.60762591352381,0.7336510797301586,0.26956596237299824,0.4166666666666667,0.21215898856831572
R_1pGdgoCSR9w8u5j,diabetes,counterfactual,12,0.5833333333333334,0,attribution,prototype,0.5831388091588536,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.290478896041972,16.580957792083943,0.6908732413368309,0.2488631748772739,0.5833333333333334,0.6298571643165367,7.975550313883703,15.951100627767406,0.664629192823642,0.2359100356524734,0.5833333333333334,0.0,8.26711971846313,16.53423943692626,0.6889266432052609,0.2478912857498691,0.5833333333333334,0.5831388091588536
R_61FqPsVQ8CmSH4d,diabetes,counterfactual,12,0.75,0,attribution,prototype,0.4367780282584377,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.312034816828819,16.624069633657637,0.6926695680690682,0.24976111643078355,0.75,0.44776578112673704,8.08815192626545,16.1763038525309,0.6740126605221208,0.2405013587610213,0.6666666666666666,0.0,8.306540940394669,16.613081880789338,0.6922117450328891,0.24953173065783693,0.75,0.4367780282584377
R_6g7evPfeN1c1uOR,diabetes,counterfactual,12,0.5,0,attribution,exemplar,0.4687660897837276,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.315802612441479,16.631605224882957,0.6929835510367899,0.2499181721507294,0.5833333333333334,0.4687660897837276,8.081419567549615,16.16283913509923,0.6734516306291346,0.24028519674913898,0.6666666666666666,0.0,8.318417507345325,16.63683501469065,0.6932014589454437,0.2500272476583268,0.5833333333333334,0.47399587959142053
R_7ezzz3LznpZsi4S,diabetes,counterfactual,12,0.3333333333333333,0,attribution,prototype,0.8349936367634214,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.263586316728164,16.527172633456328,0.6886321930606804,0.24774262829594731,0.6666666666666666,0.8974286082307721,7.814872012612778,15.629744025225556,0.6512393343843982,0.22951642056252827,0.5833333333333334,0.0,8.232368830994488,16.464737661988977,0.6860307359162073,0.24644248165311966,0.6666666666666666,0.8349936367634214
R_7rpfPxPpvihQdSp,diabetes,counterfactual,12,0.5833333333333334,0,attribution,prototype,0.7268610230122796,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.284114319003281,16.568228638006563,0.6903428599169401,0.24859786251080065,0.6666666666666666,0.857109002227606,7.855559817889478,15.711119635778957,0.6546299848241232,0.2314931101340312,0.5833333333333334,0.0,8.218990329395618,16.437980658791236,0.6849158607829682,0.24588562705761075,0.6666666666666666,0.7268610230122796
R_4hswOSBSOzoVrXW,diabetes,none,12,0.5,0,exemplar,attribution,0.16035572593721348,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.34170101304855577,""blood_pressure"":0.16483362979829974,""bmi"":0.3288391835285259,""glucose"":0.14448787761301735,""insulin"":0.02013829601160135}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",7.835201530627284,15.670403061254568,0.652933460885607,0.2311856525873525,0.5,0.0,7.915379393595891,15.830758787191781,0.6596149494663243,0.23486880390409345,0.5833333333333334,0.16035572593721348,7.95621525306181,15.91243050612362,0.6630179377551508,0.23657372553227263,0.5,0.24202744486905203
R_52iijMB6msPiDJ9,diabetes,none,12,0.4166666666666667,0,exemplar,attribution,0.3263717744364065,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.34170101304855577,""blood_pressure"":0.16483362979829974,""bmi"":0.3288391835285259,""glucose"":0.14448787761301735,""insulin"":0.02013829601160135}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.351433998394247,16.702867996788495,0.6959528331995206,0.25156362227500023,0.4166666666666667,0.0,8.51461988561245,17.0292397712249,0.7095516571343709,0.25852581564132143,0.3333333333333333,0.3263717744364065,8.541661014075931,17.083322028151862,0.7118050845063276,0.25967486551473995,0.16666666666666666,0.3804540313633673
R_5IirXiajB47ue8i,diabetes,none,12,0.5,0,attribution,exemplar,0.08644370528125123,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.3417010130485559,""blood_pressure"":0.16483362979829966,""bmi"":0.3288391835285259,""glucose"":0.14448787761301732,""insulin"":0.02013829601160136}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.548055051680548,17.096110103361095,0.712337920973379,0.2599631845209784,0.5,0.08644370528125123,8.504833199039922,17.009666398079844,0.7087360999199935,0.25837314150952745,0.5,0.0,8.672230948794969,17.344461897589937,0.7226859123995807,0.2653014365380324,0.3333333333333333,0.33479549951009346
