domain,xai,mental_model,n_participants,strict_best_count,supported_delta_bic_lt_2_count,mean_nll,mean_log_loss,mean_brier,mean_accuracy
all,all,exemplar,14,5,14,8.375633029335237,0.6979694191112699,0.25239304949106794,0.5714285714285714
all,all,attribution,14,6,14,8.24076623779535,0.6867305198162791,0.24680709586120833,0.5476190476190476
all,all,prototype,14,3,14,8.35904013066988,0.6965866775558233,0.25166015974604633,0.5416666666666667
diabetes,all,exemplar,14,5,14,8.375633029335237,0.6979694191112699,0.25239304949106794,0.5714285714285714
diabetes,all,attribution,14,6,14,8.24076623779535,0.6867305198162791,0.24680709586120833,0.5476190476190476
diabetes,all,prototype,14,3,14,8.35904013066988,0.6965866775558233,0.25166015974604633,0.5416666666666667
all,attribution,exemplar,2,1,2,8.386294012314416,0.6988578343595346,0.25336145645599906,0.4166666666666667
all,attribution,attribution,2,0,2,8.296989207946305,0.6914157673288588,0.24921377347468188,0.5
all,attribution,prototype,2,1,2,8.17785214477702,0.6814876787314182,0.24466882961647646,0.5
all,counterfactual,exemplar,5,0,5,8.293203392208742,0.6911002826840619,0.24897659085310697,0.65
all,counterfactual,attribution,5,5,5,7.9631107276402044,0.6635925606366838,0.2355412243718386,0.6166666666666667
all,counterfactual,prototype,5,0,5,8.268687465318646,0.6890572887765538,0.2479556745553526,0.65
all,none,exemplar,7,4,7,8.431465346431539,0.7026221122026283,0.25455668938534554,0.5595238095238095
all,none,attribution,7,1,7,8.423027896434464,0.7019189913695386,0.2541665247497657,0.511904761904762
all,none,prototype,7,2,7,8.475345744747296,0.7062788120622747,0.2563037434907046,0.4761904761904762
diabetes,attribution,exemplar,2,1,2,8.386294012314416,0.6988578343595346,0.25336145645599906,0.4166666666666667
diabetes,attribution,attribution,2,0,2,8.296989207946305,0.6914157673288588,0.24921377347468188,0.5
diabetes,attribution,prototype,2,1,2,8.17785214477702,0.6814876787314182,0.24466882961647646,0.5
diabetes,counterfactual,exemplar,5,0,5,8.293203392208742,0.6911002826840619,0.24897659085310697,0.65
diabetes,counterfactual,attribution,5,5,5,7.9631107276402044,0.6635925606366838,0.2355412243718386,0.6166666666666667
diabetes,counterfactual,prototype,5,0,5,8.268687465318646,0.6890572887765538,0.2479556745553526,0.65
diabetes,none,exemplar,7,4,7,8.431465346431539,0.7026221122026283,0.25455668938534554,0.5595238095238095
diabetes,none,attribution,7,1,7,8.423027896434464,0.7019189913695386,0.2541665247497657,0.511904761904762
diabetes,none,prototype,7,2,7,8.475345744747296,0.7062788120622747,0.2563037434907046,0.4761904761904762
