participant,domain,xai,trial_order,instance_id,participant_response,ai_label,participant_correct,mental_model,predicted_response,response_probability,negative_log_likelihood,brier_score,predicted_participant_response,evidence,memory_instances_before,memory_changes_before,feature_relevance_before
R_53dL26t7L3fRn0z,diabetes,attribution,1,130108,No Diabetes,Diabetes,0,attribution,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_53dL26t7L3fRn0z,diabetes,attribution,1,130108,No Diabetes,Diabetes,0,exemplar,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_53dL26t7L3fRn0z,diabetes,attribution,1,130108,No Diabetes,Diabetes,0,prototype,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_53dL26t7L3fRn0z,diabetes,attribution,2,130106,Diabetes,Diabetes,1,attribution,Diabetes,0.6666666666666666,0.40546510810816444,0.1111111111111111,1,-0.3333333333333333,1,0,"{""age"":0.5815078271500329,""blood_pressure"":0.41849217284996715,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,2,130106,Diabetes,Diabetes,1,exemplar,Diabetes,0.6430079866903357,0.4415981338413531,0.12744329756688766,1,-0.2860159733806712,1,0,"{""age"":0.5815078271500329,""blood_pressure"":0.41849217284996715,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,2,130106,Diabetes,Diabetes,1,prototype,Diabetes,0.6666666666666666,0.40546510810816444,0.1111111111111111,1,-0.3333333333333333,1,0,"{""age"":0.5815078271500329,""blood_pressure"":0.41849217284996715,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,3,130109,Diabetes,No Diabetes,0,attribution,No Diabetes,0.45754403590856496,0.7818821455465631,0.29425847297836827,0,0.17023377650271426,2,0,"{""age"":0.5258390690241268,""blood_pressure"":0.4741609309758732,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,3,130109,Diabetes,No Diabetes,0,exemplar,Diabetes,0.7288260803362105,0.3163201483635356,0.07353529470582337,1,-0.45765216067242104,2,0,"{""age"":0.5258390690241268,""blood_pressure"":0.4741609309758732,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,3,130109,Diabetes,No Diabetes,0,prototype,Diabetes,0.75,0.2876820724517809,0.0625,1,-0.5,2,0,"{""age"":0.5258390690241268,""blood_pressure"":0.4741609309758732,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,4,130111,Diabetes,No Diabetes,0,attribution,Diabetes,0.5012803626006785,0.690589728428935,0.24872127672771066,1,-0.005121461597077143,3,0,"{""age"":0.5288255330689001,""blood_pressure"":0.4711744669310998,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,4,130111,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5926010846469782,0.5232338135254504,0.16597387623081858,1,-0.1852021692939565,3,0,"{""age"":0.5288255330689001,""blood_pressure"":0.4711744669310998,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,4,130111,Diabetes,No Diabetes,0,prototype,Diabetes,0.516876593407687,0.6599511304371082,0.23340822599736138,1,-0.06753202733594721,3,0,"{""age"":0.5288255330689001,""blood_pressure"":0.4711744669310998,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,5,130107,Diabetes,Diabetes,1,attribution,Diabetes,0.5021608746550914,0.688834743188709,0.24784379472418355,1,-0.008643552433999861,4,0,"{""age"":0.48784270040252686,""blood_pressure"":0.5121572995974731,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,5,130107,Diabetes,Diabetes,1,exemplar,No Diabetes,0.4928887041797744,0.707471882596147,0.2571618663484684,0,0.014222591640451254,4,0,"{""age"":0.48784270040252686,""blood_pressure"":0.5121572995974731,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,5,130107,Diabetes,Diabetes,1,prototype,Diabetes,0.5082398401090029,0.6768018166213373,0.24182805485601902,1,-0.0329623446217923,4,0,"{""age"":0.48784270040252686,""blood_pressure"":0.5121572995974731,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,6,130110,No Diabetes,No Diabetes,1,attribution,Diabetes,0.48395403679619176,0.7257653420721192,0.2663034361389462,0,-0.0642059005808881,5,0,"{""age"":0.49647057415580076,""blood_pressure"":0.5035294258441992,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,6,130110,No Diabetes,No Diabetes,1,exemplar,Diabetes,0.4281631421245637,0.8482509828401518,0.3269973920248519,0,-0.14367371575087257,5,0,"{""age"":0.49647057415580076,""blood_pressure"":0.5035294258441992,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,6,130110,No Diabetes,No Diabetes,1,prototype,Diabetes,0.4861882792051082,0.7211593243320563,0.26400248442620783,0,-0.05526094174467189,5,0,"{""age"":0.49647057415580076,""blood_pressure"":0.5035294258441992,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,7,130105,Diabetes,No Diabetes,0,attribution,Diabetes,0.5122565151603748,0.6689297732317117,0.2378937070035016,1,-0.04903588391791456,6,0,"{""age"":0.5139612146042577,""blood_pressure"":0.48603878539574236,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,7,130105,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5153941266688787,0.6628233765042426,0.23484285246701875,1,-0.030788253337757476,6,0,"{""age"":0.5139612146042577,""blood_pressure"":0.48603878539574236,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,7,130105,Diabetes,No Diabetes,0,prototype,Diabetes,0.5129827650758615,0.6675130307190872,0.23718578711315352,1,-0.051942735818706766,6,0,"{""age"":0.5139612146042577,""blood_pressure"":0.48603878539574236,""bmi"":0.0,""glucose"":0.0,""insulin"":0.0}"
R_53dL26t7L3fRn0z,diabetes,attribution,8,130103,Diabetes,No Diabetes,0,attribution,No Diabetes,0.4629112204320468,0.7702199918088989,0.28846435713779345,0,0.14862811875092893,7,0,"{""age"":0.44053818394650657,""blood_pressure"":0.4166046731963506,""bmi"":0.0,""glucose"":0.12405835376350874,""insulin"":0.01879878909363411}"
