participant,domain,xai,testing_cases,attribute selection method,best-supported attribute selection method,raw best attribute selection method,attribute selection ranking score,attribute selection average precision,attribute selection score gap,best independent amount method,one-SE independent amount method,amount normalized MAE,change amount method,change amount normalized MAE,amount MAE gap,selection ranking score: Current-case contribution,selection ranking score: Global importance,selection ranking score: Target-profile mismatch,selection ranking score: Nearest target example,selection ranking score: Similar remembered edit,amount MAE: One fixed normalized amount,amount MAE: Feature-specific fixed amount,amount MAE: Target-specific endpoint,amount MAE: Estimated amount needed to flip,amount MAE: Target-profile centre,amount MAE: Nearest target-profile range edge,amount MAE: Nearest target-example value,amount MAE: Remembered edit amount
R_1pGdgoCSR9w8u5j,diabetes,counterfactual,20,Unclear or overlapping,Nearest target example,Nearest target example,0.6416666666666666,0.7660416666666666,0.008333333333333415,Target-specific endpoint,Target-specific endpoint,0.041205404833256916,Target-specific endpoint,0.041205404833256916,0.11481492425796641,0.5250000000000001,0.475,0.6333333333333332,0.6416666666666666,0.6208333333333332,0.1580377556715171,0.15602032909122332,0.041205404833256916,0.3051125694973862,0.15767260850544507,0.24906289998541373,0.193596196361733,0.29574805678640453
R_4hswOSBSOzoVrXW,diabetes,none,20,Unclear or overlapping,Global importance,Global importance,0.5166666666666666,0.6536111111111111,0.04166666666666663,Feature-specific fixed amount,One fixed normalized amount,0.07673900528891583,One fixed normalized amount,0.0877370012047625,0.010997995915846659,0.475,0.5166666666666666,0.35,0.29166666666666663,,0.0877370012047625,0.07673900528891583,0.12065683239752531,0.23441294936626572,0.12254490163372952,0.12690543013316274,0.14427565347194474,
R_52iijMB6msPiDJ9,diabetes,none,20,Unclear or overlapping,Unclear,Target-profile mismatch,0.475,0.6775,0.22499999999999998,Target-specific endpoint,Target-specific endpoint,0.06953508059091615,Target-specific endpoint,0.06953508059091615,0.08934482053894635,0.2,0.0,0.475,0.25,,0.16250803465574998,0.1588799011298625,0.06953508059091615,0.4184261908384057,0.17366046585148062,0.21192832695925984,0.219795610926995,
R_53dL26t7L3fRn0z,diabetes,attribution,20,Global importance,Global importance,Global importance,0.6333333333333333,0.8202777777777778,0.05833333333333335,Target-specific endpoint,Target-specific endpoint,0.05195120810394695,Target-specific endpoint,0.05195120810394695,0.11349007344297972,0.575,0.6333333333333333,0.5166666666666666,0.5625,,0.19012137028395457,0.16544128154692667,0.05195120810394695,0.333254867686429,0.2938191692506257,0.3567989815051289,0.3222746871636349,
R_5IirXiajB47ue8i,diabetes,none,20,Unclear or overlapping,Unclear,Target-profile mismatch,0.4458333333333333,0.6335416666666667,0.0,Target-specific endpoint,Target-specific endpoint,0.11347046775268106,Target-specific endpoint,0.11347046775268106,0.08412961052023558,0.3875,0.125,0.4458333333333333,0.4458333333333333,,0.20450300173324165,0.19760007827291665,0.11347046775268106,0.2644650518498627,0.24794947748730745,0.2883475011336854,0.26760249189297175,
R_5cuMJZcXnXdkcTS,diabetes,none,20,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.525,0.701875,0.004166666666666763,Target-specific endpoint,Target-specific endpoint,0.07275720719963633,Target-specific endpoint,0.07275720719963633,0.06703253721342783,0.4416666666666666,0.3708333333333333,0.525,0.5208333333333333,,0.13978974441306416,0.15135849166833143,0.07275720719963633,0.2611684036376326,0.16252196978299344,0.20860704320213225,0.20753800769555486,
R_61FqPsVQ8CmSH4d,diabetes,counterfactual,20,Unclear or overlapping,Current-case contribution,Current-case contribution,0.6,0.775,0.04999999999999993,Target-specific endpoint,Target-specific endpoint,0.1074194497168465,Target-specific endpoint,0.1074194497168465,0.04589700225645349,0.6,0.5,0.55,0.3,0.25,0.16325294006860003,0.1533164519733,0.1074194497168465,0.23285371389342738,0.24192429123557857,0.3578178352642187,0.35893762322087835,0.45196211344820086
R_61HsCAx45Al1wLV,diabetes,attribution,20,Unclear or overlapping,Nearest target example,Nearest target example,0.7166666666666666,0.8088194444444443,0.016666666666666607,Target-specific endpoint,One fixed normalized amount,0.08436111659888407,One fixed normalized amount,0.09796535641970192,0.013604239820817848,0.625,0.7,0.6916666666666667,0.7166666666666666,,0.09796535641970192,0.10055489460056952,0.08436111659888407,0.18929615153939344,0.10716257693768969,0.10896534444378045,0.13205499438091434,
R_6cUF1Fm2Jhe3Mu6,diabetes,none,20,Unclear or overlapping,Unclear,Nearest target example,0.3,0.5166666666666666,0.04999999999999999,Target-specific endpoint,Target-specific endpoint,0.0625229291601218,Target-specific endpoint,0.0625229291601218,0.0487873772527147,0.15,0.0,0.25,0.3,,0.1113103064128365,0.11278820713355349,0.0625229291601218,0.36484314026871695,0.13439236183064654,0.15070047531755354,0.20722172439142428,
R_6g7evPfeN1c1uOR,diabetes,counterfactual,20,Unclear or overlapping,Unclear,Nearest target example,0.4833333333333333,0.6402777777777777,0.024999999999999967,One fixed normalized amount,One fixed normalized amount,0.05555631022294142,One fixed normalized amount,0.05555631022294142,0.0019173505073708172,0.425,0.225,0.4583333333333333,0.4833333333333333,0.3416666666666667,0.05555631022294142,0.05747366073031224,0.16439683182789047,0.15959000716433427,0.15346584185890616,0.09792605723477106,0.12585984650859,0.06772492184855211
