participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,explanation,sparsity,proximity,counterfactual label,successful counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1),move towards target (0/1),x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,delta confidence/change amount,close to boundary old,distance to boundary,confidence of counterfactual - 50%,reasoning strategy,participant training accuracy,CRT-2 score (0-4),successful counterfactual (continuous),log(time),actionability (0/1),plausibility,boundary distance original,boundary distance new,boundary distance change (new - original),best forward mental model,forward mental model fit conclusion,CRT binarized,attribute selection method,attribute selection ranking score,change amount method,change amount normalized MAE,best-supported attribute selection method,strategy: xai,plausibility (subset)
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,1,130103,12.458,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 88(0.869565217391)
""Insulin"" - 110(0.152602491133)
""BMI"" - 46.8(0.927226749087)
""Age"" - 31(0.27027027027)","""Insulin"" - +59% toward No Diabetes
""Glucose"" - +41% toward No Diabetes",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,2,130101,10.861,"""Glucose"" - 136(0.523210338378)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 110(0.152602491133)
""BMI"" - 37.1(0.586541163248)
""Age"" - 43(0.594594594595)","""Glucose"" - -55% toward Diabetes
""Insulin"" - -45% toward Diabetes",,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,3,130105,8.761,"""Glucose"" - 83(0.0726066995409)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 71(0.072176853914)
""BMI"" - 29.3(0.312587805563)
""Age"" - 36(0.405405405405)","""Glucose"" - +87% toward No Diabetes
""Insulin"" - +13% toward No Diabetes",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,4,130104,5.756,"""Glucose"" - 117(0.361673184833)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 120(0.173224449394)
""BMI"" - 33.2(0.449564484406)
""Age"" - 24(0.0810810810811)","""Insulin"" - +61% toward No Diabetes
""Glucose"" - +39% toward No Diabetes",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,5,130100,7.144,"""Glucose"" - 160(0.727257269172)
""Blood Pressure"" - 54(0.130434782609)
""Insulin"" - 175(0.28664521983)
""BMI"" - 30.5(0.354734475976)
""Age"" - 39(0.486486486486)","""Glucose"" - -50% toward Diabetes
""Insulin"" - -50% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,6,130102,3.253,"""Glucose"" - 197(1)
""Blood Pressure"" - 70(0.478260869565)
""Insulin"" - 543(1)
""BMI"" - 30.5(0.354734475976)
""Age"" - 53(0.864864864865)","""Glucose"" - -61% toward Diabetes
""Insulin"" - -39% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,7,130107,4.672,"""Glucose"" - 109(0.293657541234)
""Blood Pressure"" - 76(0.608695652174)
""Insulin"" - 114(0.160851274437)
""BMI"" - 27.9(0.263416690081)
""Age"" - 31(0.27027027027)","""Age"" - -53% toward Diabetes
""Blood Pressure"" - -47% toward Diabetes",,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,8,130110,5.538,"""Glucose"" - 154(0.676245536473)
""Blood Pressure"" - 62(0.304347826087)
""Insulin"" - 284(0.511424564877)
""BMI"" - 32.8(0.435515594268)
""Age"" - 23(0.0540540540541)","""Age"" - +60% toward No Diabetes
""Blood Pressure"" - +40% toward No Diabetes",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,No Diabetes,,9,130109,4.608,"""Glucose"" - 152(0.659241625574)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 272(0.486678214963)
""BMI"" - 41.5(0.741078954763)
""Age"" - 27(0.162162162162)","""Age"" - +53% toward No Diabetes
""Blood Pressure"" - +47% toward No Diabetes",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
R_1LqFEhCUBdcfUxb,diabetes,attribution,training,Diabetes,,10,130108,8.056,"""Glucose"" - 130(0.472198605679)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 79(0.088674420523)
""BMI"" - 28.4(0.280977802754)
""Age"" - 34(0.351351351351)","""Age"" - -58% toward Diabetes
""Blood Pressure"" - -42% toward Diabetes",,,,,,,,,No Diabetes,0,,,,,,,,,,,,,,,,,0.333333333333,3,,,,,,,,,,1,,,,,,,
