row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
1,R_1KMTwE2iCLDGMxz,diabetes,training,,,
2,R_1KMTwE2iCLDGMxz,diabetes,training,,,
3,R_1KMTwE2iCLDGMxz,diabetes,training,,,
4,R_1KMTwE2iCLDGMxz,diabetes,training,,,
5,R_1KMTwE2iCLDGMxz,diabetes,training,,,
6,R_1KMTwE2iCLDGMxz,diabetes,training,,,
7,R_1KMTwE2iCLDGMxz,diabetes,training,,,
8,R_1KMTwE2iCLDGMxz,diabetes,training,,,
9,R_1KMTwE2iCLDGMxz,diabetes,training,,,
10,R_1KMTwE2iCLDGMxz,diabetes,training,,,
11,R_1KMTwE2iCLDGMxz,diabetes,training,,,
12,R_1KMTwE2iCLDGMxz,diabetes,training,,,
13,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0372518432215,0.0110992578822,-0.0261525853393
14,R_1KMTwE2iCLDGMxz,diabetes,testing,0.281142117469,0.0562683987144,-0.224873718754
15,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0664632820126,0.163667934101,0.0972046520882
16,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0980127823706,0.0141731273389,-0.0838396550318
17,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0605519329641,0.126083666077,0.0655317331125
18,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0929170929375,0.0388912898084,-0.0540258031291
19,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0569726484831,0.0223248852987,-0.0346477631845
20,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0395820491408,0.105398285333,0.0658162361921
21,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0747170723186,0.0273063969522,-0.0474106753663
22,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0501717968156,0.0731809905371,0.0230091937215
23,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0606767911965,0.05148819729,-0.0091885939065
24,R_1KMTwE2iCLDGMxz,diabetes,testing,0.215219871146,0.198642975687,-0.0165768954587
25,R_1KMTwE2iCLDGMxz,diabetes,testing,0.284435118814,0.4402234088,0.155788289985
26,R_1KMTwE2iCLDGMxz,diabetes,testing,0.038863565943,0.0943235664753,0.0554600005323
27,R_1KMTwE2iCLDGMxz,diabetes,testing,0.030760691058,0.123388479505,0.092627788447
28,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0900870805017,0.0846236841615,-0.00546339634017
29,R_1KMTwE2iCLDGMxz,diabetes,testing,0.204135275223,0.029528678457,-0.174606596766
30,R_1KMTwE2iCLDGMxz,diabetes,testing,0.558946397893,0.0792788294823,-0.479667568411
31,R_1KMTwE2iCLDGMxz,diabetes,testing,0.0818222236912,0.0569863289035,-0.0248358947877
32,R_1KMTwE2iCLDGMxz,diabetes,testing,0.034821278767,0.156734647495,0.121913368728
33,R_7MBioYOD8gq6nT3,diabetes,training,,,
34,R_7MBioYOD8gq6nT3,diabetes,training,,,
35,R_7MBioYOD8gq6nT3,diabetes,training,,,
36,R_7MBioYOD8gq6nT3,diabetes,training,,,
37,R_7MBioYOD8gq6nT3,diabetes,training,,,
38,R_7MBioYOD8gq6nT3,diabetes,training,,,
39,R_7MBioYOD8gq6nT3,diabetes,training,,,
40,R_7MBioYOD8gq6nT3,diabetes,training,,,
41,R_7MBioYOD8gq6nT3,diabetes,training,,,
42,R_7MBioYOD8gq6nT3,diabetes,training,,,
43,R_7MBioYOD8gq6nT3,diabetes,training,,,
44,R_7MBioYOD8gq6nT3,diabetes,training,,,
45,R_7MBioYOD8gq6nT3,diabetes,testing,0.0664632820126,0.107056839877,0.0405935578648
46,R_7MBioYOD8gq6nT3,diabetes,testing,0.0605519329641,0.028571419284,-0.0319805136801
47,R_7MBioYOD8gq6nT3,diabetes,testing,0.0747170723186,0.0507484111716,-0.023968661147
48,R_7MBioYOD8gq6nT3,diabetes,testing,0.0372518432215,0.0247206806107,-0.0125311626107
49,R_7MBioYOD8gq6nT3,diabetes,testing,0.0980127823706,0.0279361128901,-0.0700766694805
50,R_7MBioYOD8gq6nT3,diabetes,testing,0.0501717968156,0.0144707410304,-0.0357010557852
51,R_7MBioYOD8gq6nT3,diabetes,testing,0.0929170929375,0.0573082515665,-0.035608841371
52,R_7MBioYOD8gq6nT3,diabetes,testing,0.281142117469,0.032978885428,-0.248163232041
53,R_7MBioYOD8gq6nT3,diabetes,testing,0.0395820491408,0.0670457607661,0.0274637116252
54,R_7MBioYOD8gq6nT3,diabetes,testing,0.0569726484831,0.0459684015697,-0.0110042469134
55,R_7MBioYOD8gq6nT3,diabetes,testing,0.215219871146,0.296967083964,0.081747212818
56,R_7MBioYOD8gq6nT3,diabetes,testing,0.038863565943,0.0768658137653,0.0380022478223
57,R_7MBioYOD8gq6nT3,diabetes,testing,0.030760691058,0.0480454947531,0.0172848036951
58,R_7MBioYOD8gq6nT3,diabetes,testing,0.0606767911965,0.155323553355,0.0946467621589
59,R_7MBioYOD8gq6nT3,diabetes,testing,0.0900870805017,0.0966616972243,0.00657461672264
60,R_7MBioYOD8gq6nT3,diabetes,testing,0.558946397893,0.26827855742,-0.290667840474
61,R_7MBioYOD8gq6nT3,diabetes,testing,0.0818222236912,0.0488270904735,-0.0329951332177
62,R_7MBioYOD8gq6nT3,diabetes,testing,0.204135275223,0.28383144102,0.0796961657967
63,R_7MBioYOD8gq6nT3,diabetes,testing,0.034821278767,0.0420904881503,0.0072692093833
64,R_7MBioYOD8gq6nT3,diabetes,testing,0.284435118814,0.139325546698,-0.145109572117
65,R_1vbS8BCLvmrwGHr,diabetes,training,,,
66,R_1vbS8BCLvmrwGHr,diabetes,training,,,
67,R_1vbS8BCLvmrwGHr,diabetes,training,,,
68,R_1vbS8BCLvmrwGHr,diabetes,training,,,
69,R_1vbS8BCLvmrwGHr,diabetes,training,,,
70,R_1vbS8BCLvmrwGHr,diabetes,training,,,
71,R_1vbS8BCLvmrwGHr,diabetes,training,,,
72,R_1vbS8BCLvmrwGHr,diabetes,training,,,
73,R_1vbS8BCLvmrwGHr,diabetes,training,,,
74,R_1vbS8BCLvmrwGHr,diabetes,training,,,
75,R_1vbS8BCLvmrwGHr,diabetes,training,,,
76,R_1vbS8BCLvmrwGHr,diabetes,training,,,
