participant,domain,xai,phase,original label,target label,case,instance id,response time (seconds),attribute values before and after,explanation,sparsity,proximity,counterfactual label,successful counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1),move towards target (0/1),x_1_change,x_2_change,x_3_change,x_4_change,x_5_change,x_1_changed,x_2_changed,x_3_changed,x_4_changed,x_5_changed,delta confidence/change amount,close to boundary old,distance to boundary,confidence of counterfactual - 50%,reasoning strategy,participant training accuracy,CRT-2 score (0-4),successful counterfactual (continuous),log(time),actionability (0/1),plausibility,boundary distance original,boundary distance new,boundary distance change (new - original),best forward mental model,forward mental model fit conclusion,CRT binarized,attribute selection method,attribute selection ranking score,change amount method,change amount normalized MAE,best-supported attribute selection method,strategy: xai,plausibility (subset)
R_1myAGA2v3gStUIS,diabetes,attribution,training,No Diabetes,,1,160110,50.605,"""Glucose"" - 180(0.897296378167)
""Blood Pressure"" - 64(0.347826086957)
""Insulin"" - 70(0.0701146580879)
""BMI"" - 34(0.477662264681)
""Age"" - 26(0.135135135135)","""Insulin"" - -51% toward Diabetes
""Blood Pressure"" - -49% toward Diabetes",,,,,,,,,Diabetes,0,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,No Diabetes,,2,160111,10.716,"""Glucose"" - 103(0.242645808536)
""Blood Pressure"" - 30(0)
""Insulin"" - 83(0.0969232038274)
""BMI"" - 43.3(0.804298960382)
""Age"" - 33(0.324324324324)","""Insulin"" - -85% toward Diabetes
""Blood Pressure"" - +15% toward No Diabetes",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,Diabetes,,3,160106,7.691,"""Glucose"" - 120(0.387179051182)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 200(0.338200115483)
""BMI"" - 38.9(0.649761168868)
""Age"" - 41(0.540540540541)","""Insulin"" - -62% toward Diabetes
""Blood Pressure"" - -38% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,No Diabetes,,4,160109,11.554,"""Glucose"" - 191(0.990817888114)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 130(0.193846407655)
""BMI"" - 30.9(0.368783366114)
""Age"" - 34(0.351351351351)","""Blood Pressure"" - -53% toward Diabetes
""Insulin"" - -47% toward Diabetes",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,Diabetes,,5,160107,6.076,"""Glucose"" - 100(0.217139942187)
""Blood Pressure"" - 78(0.652173913043)
""Insulin"" - 184(0.305204982265)
""BMI"" - 36.6(0.568980050576)
""Age"" - 46(0.675675675676)","""Insulin"" - -73% toward Diabetes
""Blood Pressure"" - -27% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,Diabetes,,6,160108,4.472,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 82(0.739130434783)
""Insulin"" - 180(0.296956198961)
""BMI"" - 35(0.512784490025)
""Age"" - 43(0.594594594595)","""Insulin"" - -71% toward Diabetes
""Blood Pressure"" - -29% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,Diabetes,,7,160100,11.915,"""Glucose"" - 186(0.948308110865)
""Blood Pressure"" - 90(0.913043478261)
""Insulin"" - 225(0.389755011136)
""BMI"" - 34.5(0.495223377353)
""Age"" - 37(0.432432432432)","""Glucose"" - -58% toward Diabetes
""BMI"" - -42% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,No Diabetes,,8,160104,6.486,"""Glucose"" - 95(0.174630164938)
""Blood Pressure"" - 74(0.565217391304)
""Insulin"" - 73(0.0763012455663)
""BMI"" - 25.9(0.193172239393)
""Age"" - 36(0.405405405405)","""Glucose"" - -53% toward Diabetes
""BMI"" - -47% toward Diabetes",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,No Diabetes,,9,160103,4.981,"""Glucose"" - 99(0.208637986737)
""Blood Pressure"" - 80(0.695652173913)
""Insulin"" - 64(0.0577414831312)
""BMI"" - 19.3(0)
""Age"" - 30(0.243243243243)","""Glucose"" - -53% toward Diabetes
""BMI"" - -47% toward Diabetes",,,,,,,,,No Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
R_1myAGA2v3gStUIS,diabetes,attribution,training,Diabetes,,10,160102,3.88,"""Glucose"" - 187(0.956810066315)
""Blood Pressure"" - 68(0.434782608696)
""Insulin"" - 304(0.552668481399)
""BMI"" - 37.7(0.607614498455)
""Age"" - 41(0.540540540541)","""Glucose"" - -66% toward Diabetes
""BMI"" - -34% toward Diabetes",,,,,,,,,Diabetes,1,,,,,,,,,,,,,,,,,0.916666666667,3,,,,,,,,,,1,,,,,,,
