row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
1,R_1myAGA2v3gStUIS,diabetes,training,,,
2,R_1myAGA2v3gStUIS,diabetes,training,,,
3,R_1myAGA2v3gStUIS,diabetes,training,,,
4,R_1myAGA2v3gStUIS,diabetes,training,,,
5,R_1myAGA2v3gStUIS,diabetes,training,,,
6,R_1myAGA2v3gStUIS,diabetes,training,,,
7,R_1myAGA2v3gStUIS,diabetes,training,,,
8,R_1myAGA2v3gStUIS,diabetes,training,,,
9,R_1myAGA2v3gStUIS,diabetes,training,,,
10,R_1myAGA2v3gStUIS,diabetes,training,,,
11,R_1myAGA2v3gStUIS,diabetes,training,,,
12,R_1myAGA2v3gStUIS,diabetes,training,,,
13,R_1myAGA2v3gStUIS,diabetes,testing,0.0569726484831,0.110754100539,0.0537814520554
14,R_1myAGA2v3gStUIS,diabetes,testing,0.0501717968156,0.052820455835,0.00264865901936
15,R_1myAGA2v3gStUIS,diabetes,testing,0.0980127823706,0.111147560311,0.0131347779405
16,R_1myAGA2v3gStUIS,diabetes,testing,0.0664632820126,0.0213477087612,-0.0451155732514
17,R_1myAGA2v3gStUIS,diabetes,testing,0.0929170929375,0.158935033581,0.066017940644
18,R_1myAGA2v3gStUIS,diabetes,testing,0.0395820491408,0.219235778258,0.179653729118
19,R_1myAGA2v3gStUIS,diabetes,testing,0.0372518432215,0.0403582961539,0.00310645293241
20,R_1myAGA2v3gStUIS,diabetes,testing,0.281142117469,0.0233216615399,-0.257820455929
21,R_1myAGA2v3gStUIS,diabetes,testing,0.0747170723186,0.177664691029,0.10294761871
22,R_1myAGA2v3gStUIS,diabetes,testing,0.0605519329641,0.183703227814,0.12315129485
23,R_1myAGA2v3gStUIS,diabetes,testing,0.215219871146,0.0442124313718,-0.171007439774
24,R_1myAGA2v3gStUIS,diabetes,testing,0.284435118814,0.237723663429,-0.0467114553849
25,R_1myAGA2v3gStUIS,diabetes,testing,0.038863565943,0.0586184115362,0.0197548455933
26,R_1myAGA2v3gStUIS,diabetes,testing,0.034821278767,0.0219994655538,-0.0128218132132
27,R_1myAGA2v3gStUIS,diabetes,testing,0.0900870805017,0.172639400443,0.0825523199418
28,R_1myAGA2v3gStUIS,diabetes,testing,0.558946397893,0.342543089892,-0.216403308001
29,R_1myAGA2v3gStUIS,diabetes,testing,0.0818222236912,0.104023850577,0.022201626886
30,R_1myAGA2v3gStUIS,diabetes,testing,0.0606767911965,0.116346118927,0.0556693277309
31,R_1myAGA2v3gStUIS,diabetes,testing,0.204135275223,0.0681571124774,-0.135978162746
32,R_1myAGA2v3gStUIS,diabetes,testing,0.030760691058,0.0806301984386,0.0498695073806
33,R_1hF6UnZQsvvwBCX,diabetes,training,,,
34,R_1hF6UnZQsvvwBCX,diabetes,training,,,
35,R_1hF6UnZQsvvwBCX,diabetes,training,,,
36,R_1hF6UnZQsvvwBCX,diabetes,training,,,
37,R_1hF6UnZQsvvwBCX,diabetes,training,,,
