participant,domain,xai,n_forward_trials,participant_training_accuracy,fitted_continuous_parameters,best_forward_mental_model,second_best_forward_mental_model,delta_bic_to_second_best,supported_forward_mental_models_delta_bic_lt_2,forward_mental_model_fit_conclusion,forward_mental_model_evidence_strength,final_feature_relevance,final_feature_polarity,exemplar_nll,exemplar_bic,exemplar_mean_log_loss,exemplar_brier,exemplar_accuracy,exemplar_delta_bic,attribution_nll,attribution_bic,attribution_mean_log_loss,attribution_brier,attribution_accuracy,attribution_delta_bic,prototype_nll,prototype_bic,prototype_mean_log_loss,prototype_brier,prototype_accuracy,prototype_delta_bic
R_156Kmlz4ECsrHQR,diabetes,attribution,12,0.3333333333333333,0,exemplar,attribution,0.9049047284166747,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677158,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.386731274340468,16.773462548680936,0.6988942728617057,0.2521868709942359,0.6666666666666666,0.0,8.839183638548805,17.67836727709761,0.7365986365457338,0.2710013123268476,0.5,0.9049047284166747,9.277655922440518,18.555311844881036,0.7731379935367099,0.288518980883018,0.25,1.7818492962001002
R_1QfQiW4jahDRgtB,diabetes,attribution,12,0.6666666666666666,0,prototype,attribution,0.05890995099665375,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677153,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.135993571108429,16.271987142216858,0.6779994642590358,0.24267516155867566,0.5,0.5463431261484537,7.892276983532529,15.784553967065058,0.6576897486277108,0.23271663327713535,0.6666666666666666,0.05890995099665375,7.862822008034202,15.725644016068404,0.6552351673361835,0.2314714979040553,0.6666666666666666,0.0
R_1TZbMIIo6RtFnsb,diabetes,attribution,12,0.8333333333333334,0,prototype,attribution,0.9167866655721131,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677158,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.306455207658706,16.612910415317412,0.6922046006382255,0.2497770459438039,0.5,1.5552722258941127,7.987212427497706,15.974424854995412,0.6656010356248089,0.2366691585269285,0.5833333333333334,0.9167866655721131,7.52881909471165,15.0576381894233,0.6274015912259708,0.21758488848618038,0.8333333333333334,0.0
R_1myAGA2v3gStUIS,diabetes,attribution,12,0.9166666666666666,0,attribution,prototype,0.6168526377234436,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677153,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.871208520701874,17.742417041403748,0.7392673767251562,0.27166278790352844,0.5,1.7231650732754318,8.009625984064158,16.019251968128316,0.6674688320053465,0.23762434265940688,0.5833333333333334,0.0,8.31805230292588,16.63610460585176,0.6931710252438233,0.24762900954864608,0.75,0.6168526377234436
R_3Qv0QTQ49yAIRot,diabetes,attribution,12,0.5,0,attribution,exemplar,0.3337525841714353,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677153,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",7.982866352447264,15.965732704894528,0.6652388627039386,0.2362751587682045,0.5833333333333334,0.3337525841714353,7.815990060361546,15.631980120723092,0.6513325050301288,0.22954428656974793,0.6666666666666666,0.0,8.23331161211325,16.4666232242265,0.6861093010094375,0.24684955574583156,0.5,0.8346431035034065
R_61hCu6g2tcWoJo7,diabetes,attribution,12,0.3333333333333333,0,prototype,attribution,0.2695131547584886,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677158,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.686792632989667,17.373585265979333,0.7238993860824722,0.2654394350637355,0.3333333333333333,0.8471589583994472,8.397969731169187,16.795939462338374,0.6998308109307656,0.2527267467971341,0.5,0.2695131547584886,8.263213153789943,16.526426307579886,0.6886010961491619,0.2483165701189001,0.4166666666666667,0.0
R_6DD4Hjc7DAhjrhU,diabetes,attribution,12,0.8333333333333334,0,prototype,attribution,1.2875884074533772,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677153,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.75091698009756,17.50183396019512,0.7292430816747967,0.2677310810588074,0.5,1.9628422085822876,8.413290079533105,16.82658015906621,0.7011075066277588,0.25342171683725057,0.5833333333333334,1.2875884074533772,7.769495875806417,15.538991751612834,0.6474579896505347,0.22708985908659585,0.6666666666666666,0.0
R_771uyV9h8uinmh3,diabetes,attribution,12,0.5,0,prototype,exemplar,0.3333125437683968,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.17655812842658072,""bmi"":0.22358244110677153,""glucose"":0.27641755889322844,""insulin"":0.3234418715734193}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",7.497180422713491,14.994360845426982,0.6247650352261243,0.21721021469373883,0.6666666666666666,0.3333125437683968,7.852715510797008,15.705431021594016,0.654392959233084,0.2310482680950011,0.6666666666666666,1.044382719935431,7.330524150829293,14.661048301658585,0.6108770125691078,0.21060418678013373,0.5833333333333334,0.0
R_12myev0XH9WOz3H,diabetes,counterfactual,12,0.6666666666666666,0,attribution,prototype,0.6832444044989394,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.25,""bmi"":0.25,""glucose"":0.25,""insulin"":0.25}","{""age"":0.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":-1.0}",8.182564395886486,16.36512879177297,0.6818803663238738,0.24437154707227826,0.5833333333333334,0.7736055481779864,7.795761621797492,15.591523243594985,0.6496468018164577,0.22850370400114153,0.5833333333333334,0.0,8.137383824046962,16.274767648093924,0.6781153186705802,0.24250203591310113,0.5833333333333334,0.6832444044989394
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,12,0.8333333333333334,0,attribution,prototype,0.9774293271543595,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.0,""blood_pressure"":0.25,""bmi"":0.25,""glucose"":0.25,""insulin"":0.25}","{""age"":0.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":-1.0}",8.092408546513969,16.184817093027938,0.674367378876164,0.24061531505598477,0.9166666666666666,1.0783092439448208,7.553253924541559,15.106507849083117,0.6294378270451298,0.21831567193498955,0.9166666666666666,0.0,8.041968588118738,16.083937176237477,0.6701640490098949,0.23852073539318605,0.8333333333333334,0.9774293271543595
