domain,xai,mental_model,n_participants,strict_best_count,supported_delta_bic_lt_2_count,mean_nll,mean_log_loss,mean_brier,mean_accuracy
all,all,exemplar,25,3,25,8.337666568721433,0.6948055473934528,0.25062837593283244,0.58
all,all,attribution,25,13,25,8.094357772189875,0.6745298143491562,0.2403559606975516,0.6533333333333333
all,all,prototype,25,9,25,8.173665433761341,0.6811387861467786,0.24359950196409977,0.6433333333333333
diabetes,all,exemplar,25,3,25,8.337666568721433,0.6948055473934528,0.25062837593283244,0.58
diabetes,all,attribution,25,13,25,8.094357772189875,0.6745298143491562,0.2403559606975516,0.6533333333333333
diabetes,all,prototype,25,9,25,8.173665433761341,0.6811387861467786,0.24359950196409977,0.6433333333333333
all,attribution,exemplar,8,1,8,8.32726812025718,0.6939390100214319,0.2503697194980913,0.53125
all,attribution,attribution,8,2,8,8.151033051938004,0.6792527543281671,0.2430940581361815,0.59375
all,attribution,prototype,8,5,8,8.072986765081394,0.6727488970901162,0.23975806856917012,0.5833333333333333
all,counterfactual,exemplar,10,1,10,8.194784859722528,0.6828987383102108,0.24487864766397513,0.6666666666666666
all,counterfactual,attribution,10,9,10,7.850254487312919,0.6541878739427431,0.2306593398350995,0.675
all,counterfactual,prototype,10,0,10,8.164520181754181,0.6803766818128485,0.2436183511167031,0.6583333333333334
all,none,exemplar,7,1,7,8.553667236964724,0.7128056030803936,0.2591378808137614,0.5119047619047619
all,none,attribution,7,2,7,8.378305002301948,0.6981920835251625,0.2510790219997631,0.6904761904761905
all,none,prototype,7,4,7,8.301791415120077,0.6918159512600063,0.24796278419744305,0.6904761904761905
diabetes,attribution,exemplar,8,1,8,8.32726812025718,0.6939390100214319,0.2503697194980913,0.53125
diabetes,attribution,attribution,8,2,8,8.151033051938004,0.6792527543281671,0.2430940581361815,0.59375
diabetes,attribution,prototype,8,5,8,8.072986765081394,0.6727488970901162,0.23975806856917012,0.5833333333333333
diabetes,counterfactual,exemplar,10,1,10,8.194784859722528,0.6828987383102108,0.24487864766397513,0.6666666666666666
diabetes,counterfactual,attribution,10,9,10,7.850254487312919,0.6541878739427431,0.2306593398350995,0.675
diabetes,counterfactual,prototype,10,0,10,8.164520181754181,0.6803766818128485,0.2436183511167031,0.6583333333333334
diabetes,none,exemplar,7,1,7,8.553667236964724,0.7128056030803936,0.2591378808137614,0.5119047619047619
diabetes,none,attribution,7,2,7,8.378305002301948,0.6981920835251625,0.2510790219997631,0.6904761904761905
diabetes,none,prototype,7,4,7,8.301791415120077,0.6918159512600063,0.24796278419744305,0.6904761904761905
