participant,domain,xai,trial_order,instance_id,participant_response,ai_label,participant_correct,mental_model,predicted_response,response_probability,negative_log_likelihood,brier_score,predicted_participant_response,evidence,memory_instances_before,memory_changes_before,feature_relevance_before
R_156Kmlz4ECsrHQR,diabetes,attribution,1,160110,No Diabetes,No Diabetes,1,attribution,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_156Kmlz4ECsrHQR,diabetes,attribution,1,160110,No Diabetes,No Diabetes,1,exemplar,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_156Kmlz4ECsrHQR,diabetes,attribution,1,160110,No Diabetes,No Diabetes,1,prototype,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_156Kmlz4ECsrHQR,diabetes,attribution,2,160109,Diabetes,No Diabetes,0,attribution,No Diabetes,0.3333333333333333,1.0986122886681098,0.4444444444444444,0,0.3333333333333333,1,0,"{""age"":0.0,""blood_pressure"":0.4899348071249869,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5100651928750132}"
R_156Kmlz4ECsrHQR,diabetes,attribution,2,160109,Diabetes,No Diabetes,0,exemplar,No Diabetes,0.3448654424989857,1.0646009597711095,0.42920128843204985,0,0.31026911500202864,1,0,"{""age"":0.0,""blood_pressure"":0.4899348071249869,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5100651928750132}"
R_156Kmlz4ECsrHQR,diabetes,attribution,2,160109,Diabetes,No Diabetes,0,prototype,No Diabetes,0.3333333333333333,1.0986122886681098,0.4444444444444444,0,0.3333333333333333,1,0,"{""age"":0.0,""blood_pressure"":0.4899348071249869,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5100651928750132}"
R_156Kmlz4ECsrHQR,diabetes,attribution,3,160111,Diabetes,No Diabetes,0,attribution,No Diabetes,0.45457169795369423,0.7883996265327726,0.29749203267311614,0,0.18221570888988772,2,0,"{""age"":0.0,""blood_pressure"":0.5095979533828376,""bmi"":0.0,""glucose"":0.0,""insulin"":0.49040204661716247}"
R_156Kmlz4ECsrHQR,diabetes,attribution,3,160111,Diabetes,No Diabetes,0,exemplar,No Diabetes,0.27849723876943433,1.27834713431589,0.5205662344633306,0,0.44300552246113134,2,0,"{""age"":0.0,""blood_pressure"":0.5095979533828376,""bmi"":0.0,""glucose"":0.0,""insulin"":0.49040204661716247}"
R_156Kmlz4ECsrHQR,diabetes,attribution,3,160111,Diabetes,No Diabetes,0,prototype,No Diabetes,0.25,1.3862943611198906,0.5625,0,0.5,2,0,"{""age"":0.0,""blood_pressure"":0.5095979533828376,""bmi"":0.0,""glucose"":0.0,""insulin"":0.49040204661716247}"
R_156Kmlz4ECsrHQR,diabetes,attribution,4,160108,No Diabetes,Diabetes,0,attribution,Diabetes,0.4801139171401252,0.7337318758626262,0.27028153915138464,0,-0.07958631303299517,3,0,"{""age"":0.0,""blood_pressure"":0.3912643542204954,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6087356457795046}"
R_156Kmlz4ECsrHQR,diabetes,attribution,4,160108,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.7643795755611952,0.26869078654233486,0.055516984412722535,1,0.5287591511223904,3,0,"{""age"":0.0,""blood_pressure"":0.3912643542204954,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6087356457795046}"
R_156Kmlz4ECsrHQR,diabetes,attribution,4,160108,No Diabetes,Diabetes,0,prototype,No Diabetes,0.8,0.2231435513142097,0.03999999999999998,1,0.6000000000000001,3,0,"{""age"":0.0,""blood_pressure"":0.3912643542204954,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6087356457795046}"
R_156Kmlz4ECsrHQR,diabetes,attribution,5,160107,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5013194612708775,0.6905117338606379,0.24868227970716789,1,0.005277857335044371,4,0,"{""age"":0.0,""blood_pressure"":0.3670367550371764,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6329632449628236}"
R_156Kmlz4ECsrHQR,diabetes,attribution,5,160107,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.6284385550833334,0.4645170201171885,0.1380579073485611,1,0.2568771101666667,4,0,"{""age"":0.0,""blood_pressure"":0.3670367550371764,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6329632449628236}"
R_156Kmlz4ECsrHQR,diabetes,attribution,5,160107,No Diabetes,Diabetes,0,prototype,Diabetes,0.46014185206689434,0.7762204629780377,0.29144681988976306,0,-0.159771600032651,4,0,"{""age"":0.0,""blood_pressure"":0.3670367550371764,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6329632449628236}"
R_156Kmlz4ECsrHQR,diabetes,attribution,6,160106,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5018887103910532,0.6893768763159123,0.24811485683588808,1,0.007554877497633158,5,0,"{""age"":0.0,""blood_pressure"":0.34780012022785267,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6521998797721473}"
R_156Kmlz4ECsrHQR,diabetes,attribution,6,160106,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.5261834148568152,0.6421054295788361,0.2245021563567489,1,0.052366829713630436,5,0,"{""age"":0.0,""blood_pressure"":0.34780012022785267,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6521998797721473}"
R_156Kmlz4ECsrHQR,diabetes,attribution,6,160106,No Diabetes,Diabetes,0,prototype,Diabetes,0.44800318203734985,0.8029549438304348,0.3047004870408912,0,-0.20874194654836145,5,0,"{""age"":0.0,""blood_pressure"":0.34780012022785267,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6521998797721473}"
R_156Kmlz4ECsrHQR,diabetes,attribution,7,160101,Diabetes,Diabetes,1,attribution,Diabetes,0.5008863656042987,0.6913760187848016,0.2491144200396858,1,-0.0035454661311630723,6,0,"{""age"":0.0,""blood_pressure"":0.35311625685316145,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6468837431468386}"
R_156Kmlz4ECsrHQR,diabetes,attribution,7,160101,Diabetes,Diabetes,1,exemplar,No Diabetes,0.48747069531350484,0.7185251025284705,0.2626862881624222,0,0.025058609372990315,6,0,"{""age"":0.0,""blood_pressure"":0.35311625685316145,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6468837431468386}"
R_156Kmlz4ECsrHQR,diabetes,attribution,7,160101,Diabetes,Diabetes,1,prototype,No Diabetes,0.47125398561817067,0.7523580827104916,0.27957234772466966,0,0.11511099624828958,6,0,"{""age"":0.0,""blood_pressure"":0.35311625685316145,""bmi"":0.0,""glucose"":0.0,""insulin"":0.6468837431468386}"
R_156Kmlz4ECsrHQR,diabetes,attribution,8,160105,Diabetes,No Diabetes,0,attribution,No Diabetes,0.4966581053933412,0.6998534063223801,0.2533530628662208,0,0.013367777488751363,7,0,"{""age"":0.0,""blood_pressure"":0.3026710773027098,""bmi"":0.06516971534149592,""glucose"":0.07768742751564693,""insulin"":0.5544717798401474}"
R_156Kmlz4ECsrHQR,diabetes,attribution,8,160105,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5502252402478317,0.5974275568658808,0.20229733451012075,1,-0.10045048049566335,7,0,"{""age"":0.0,""blood_pressure"":0.3026710773027098,""bmi"":0.06516971534149592,""glucose"":0.07768742751564693,""insulin"":0.5544717798401474}"
R_156Kmlz4ECsrHQR,diabetes,attribution,8,160105,Diabetes,No Diabetes,0,prototype,No Diabetes,0.48488676179112605,0.7238398961485883,0.2653416481780321,0,0.06047137367735028,7,0,"{""age"":0.0,""blood_pressure"":0.3026710773027098,""bmi"":0.06516971534149592,""glucose"":0.07768742751564693,""insulin"":0.5544717798401474}"
R_156Kmlz4ECsrHQR,diabetes,attribution,9,160104,No Diabetes,No Diabetes,1,attribution,No Diabetes,0.5104583329355096,0.6724462648152583,0.2396510437922804,1,0.04183943413460656,8,0,"{""age"":0.0,""blood_pressure"":0.2648371926398711,""bmi"":0.1238504763744975,""glucose"":0.1261495236255025,""insulin"":0.48516280736012896}"
R_156Kmlz4ECsrHQR,diabetes,attribution,9,160104,No Diabetes,No Diabetes,1,exemplar,No Diabetes,0.5038842604250015,0.6854086792964191,0.2461308270540478,1,0.007768520850002791,8,0,"{""age"":0.0,""blood_pressure"":0.2648371926398711,""bmi"":0.1238504763744975,""glucose"":0.1261495236255025,""insulin"":0.48516280736012896}"
R_156Kmlz4ECsrHQR,diabetes,attribution,9,160104,No Diabetes,No Diabetes,1,prototype,No Diabetes,0.5182627327965892,0.6572729591372046,0.23207079461261043,1,0.07308344319883871,8,0,"{""age"":0.0,""blood_pressure"":0.2648371926398711,""bmi"":0.1238504763744975,""glucose"":0.1261495236255025,""insulin"":0.48516280736012896}"
R_156Kmlz4ECsrHQR,diabetes,attribution,10,160100,No Diabetes,Diabetes,0,attribution,Diabetes,0.43551794378132447,0.8312192808258175,0.31863999179286395,0,-0.2593725978930597,9,0,"{""age"":0.0,""blood_pressure"":0.23541083790210765,""bmi"":0.16184614119403376,""glucose"":0.17148719213929958,""insulin"":0.4312558287645591}"
R_156Kmlz4ECsrHQR,diabetes,attribution,10,160100,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.5189959119465097,0.6558592726362691,0.2313649327241698,1,0.037991823893019416,9,0,"{""age"":0.0,""blood_pressure"":0.23541083790210765,""bmi"":0.16184614119403376,""glucose"":0.17148719213929958,""insulin"":0.4312558287645591}"
R_156Kmlz4ECsrHQR,diabetes,attribution,10,160100,No Diabetes,Diabetes,0,prototype,Diabetes,0.485190208413831,0.7232142826314711,0.2650291215129948,0,-0.05925649936557789,9,0,"{""age"":0.0,""blood_pressure"":0.23541083790210765,""bmi"":0.16184614119403376,""glucose"":0.17148719213929958,""insulin"":0.4312558287645591}"
R_156Kmlz4ECsrHQR,diabetes,attribution,11,160102,Diabetes,Diabetes,1,attribution,Diabetes,0.5449493726549068,0.6070623828450076,0.2070710734471629,1,-0.1802842144857881,10,0,"{""age"":0.0,""blood_pressure"":0.21186975411189687,""bmi"":0.18755133688718034,""glucose"":0.21244866311281965,""insulin"":0.3881302458881032}"
R_156Kmlz4ECsrHQR,diabetes,attribution,11,160102,Diabetes,Diabetes,1,exemplar,Diabetes,0.5145556331596124,0.6644515990199714,0.2356562332970648,1,-0.029111266319224782,10,0,"{""age"":0.0,""blood_pressure"":0.21186975411189687,""bmi"":0.18755133688718034,""glucose"":0.21244866311281965,""insulin"":0.3881302458881032}"
R_156Kmlz4ECsrHQR,diabetes,attribution,11,160102,Diabetes,Diabetes,1,prototype,Diabetes,0.5013800700554002,0.6903908426410791,0.24862183453795766,1,-0.005520294240183438,10,0,"{""age"":0.0,""blood_pressure"":0.21186975411189687,""bmi"":0.18755133688718034,""glucose"":0.21244866311281965,""insulin"":0.3881302458881032}"
R_156Kmlz4ECsrHQR,diabetes,attribution,12,160103,Diabetes,No Diabetes,0,attribution,Diabetes,0.5254781320403072,0.6434467031555364,0.2251710031719561,1,-0.10200087251676293,11,0,"{""age"":0.0,""blood_pressure"":0.1926088673744517,""bmi"":0.20115676001906302,""glucose"":0.2533886945263915,""insulin"":0.35284567808009376}"
R_156Kmlz4ECsrHQR,diabetes,attribution,12,160103,Diabetes,No Diabetes,0,exemplar,Diabetes,0.520143495230509,0.6536505531081518,0.23026226516959264,1,-0.04028699046101786,11,0,"{""age"":0.0,""blood_pressure"":0.1926088673744517,""bmi"":0.20115676001906302,""glucose"":0.2533886945263915,""insulin"":0.35284567808009376}"
R_156Kmlz4ECsrHQR,diabetes,attribution,12,160103,Diabetes,No Diabetes,0,prototype,No Diabetes,0.47226874959421633,0.7502070707010549,0.2785002726548519,0,0.11103895039943376,11,0,"{""age"":0.0,""blood_pressure"":0.1926088673744517,""bmi"":0.20115676001906302,""glucose"":0.2533886945263915,""insulin"":0.35284567808009376}"
R_1QfQiW4jahDRgtB,diabetes,attribution,1,160110,Diabetes,No Diabetes,0,attribution,Diabetes,0.5,0.6931471805599453,0.25,1,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_1QfQiW4jahDRgtB,diabetes,attribution,1,160110,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5,0.6931471805599453,0.25,1,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_1QfQiW4jahDRgtB,diabetes,attribution,1,160110,Diabetes,No Diabetes,0,prototype,Diabetes,0.5,0.6931471805599453,0.25,1,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_1QfQiW4jahDRgtB,diabetes,attribution,2,160106,No Diabetes,Diabetes,0,attribution,No Diabetes,0.6666666666666666,0.40546510810816444,0.11111111111111113,1,0.3333333333333333,1,0,"{""age"":0.0,""blood_pressure"":0.4899348071249869,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5100651928750132}"
R_1QfQiW4jahDRgtB,diabetes,attribution,2,160106,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.6344411867416004,0.4550106884145124,0.13363324595088943,1,0.2688823734832008,1,0,"{""age"":0.0,""blood_pressure"":0.4899348071249869,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5100651928750132}"
R_1QfQiW4jahDRgtB,diabetes,attribution,2,160106,No Diabetes,Diabetes,0,prototype,No Diabetes,0.6666666666666666,0.40546510810816444,0.11111111111111113,1,0.3333333333333333,1,0,"{""age"":0.0,""blood_pressure"":0.4899348071249869,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5100651928750132}"
R_1QfQiW4jahDRgtB,diabetes,attribution,3,160107,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5284257184163739,0.637853035269418,0.22238230305111312,1,0.1138256109224216,2,0,"{""age"":0.0,""blood_pressure"":0.43481587355234613,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5651841264476538}"
R_1QfQiW4jahDRgtB,diabetes,attribution,3,160107,No Diabetes,Diabetes,0,exemplar,Diabetes,0.47371529249311634,0.7471487864974863,0.2769755933556062,0,-0.052569415013767384,2,0,"{""age"":0.0,""blood_pressure"":0.43481587355234613,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5651841264476538}"
R_1QfQiW4jahDRgtB,diabetes,attribution,3,160107,No Diabetes,Diabetes,0,prototype,Diabetes,0.4433317199145906,0.8134369857314667,0.3098795740532479,0,-0.2276512218448432,2,0,"{""age"":0.0,""blood_pressure"":0.43481587355234613,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5651841264476538}"
R_1QfQiW4jahDRgtB,diabetes,attribution,4,160109,Diabetes,No Diabetes,0,attribution,No Diabetes,0.49244967889629454,0.7083629984200558,0.2576073284524745,0,0.030203580322489168,3,0,"{""age"":0.0,""blood_pressure"":0.38016177603175,""bmi"":0.0,""glucose"":0.0,""insulin"":0.61983822396825}"
R_1QfQiW4jahDRgtB,diabetes,attribution,4,160109,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5863215554638105,0.5338869104416551,0.17112985547388118,1,-0.17264311092762102,3,0,"{""age"":0.0,""blood_pressure"":0.38016177603175,""bmi"":0.0,""glucose"":0.0,""insulin"":0.61983822396825}"
R_1QfQiW4jahDRgtB,diabetes,attribution,4,160109,Diabetes,No Diabetes,0,prototype,No Diabetes,0.4872122752019875,0.7190553674974703,0.2629512507035222,0,0.05116205623390488,3,0,"{""age"":0.0,""blood_pressure"":0.38016177603175,""bmi"":0.0,""glucose"":0.0,""insulin"":0.61983822396825}"
R_1QfQiW4jahDRgtB,diabetes,attribution,5,160111,No Diabetes,No Diabetes,1,attribution,Diabetes,0.4634043830178797,0.7691552086386915,0.2879348561644224,0,-0.14664469948598297,4,0,"{""age"":0.0,""blood_pressure"":0.4174366069339846,""bmi"":0.0,""glucose"":0.0,""insulin"":0.5825633930660155}"
