participant,xai,selected model family,testing cases,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1
R_12myev0XH9WOz3H,counterfactual,weighted examples,20,0.5583333333333332,0.2042403386844894,0.6,0.5,0.5,0.4727554595378599,0.43478435581424,-0.06941875274556715,0.005989852623048628,0.9493031861073501,0.9564966014807276,1.0,1.0,0.470038349281925,0.20170641336723977
R_156Kmlz4ECsrHQR,attribution,feature contribution,20,0.6,0.2234032042539388,0.4166666666666667,0.45,0.35,0.42163028181408607,0.3695293580826137,-0.014356935670314994,0.008955928268949389,0.9205818370589001,0.9507685236533844,0.75,0.75,0.5849339783502601,0.24095741458231307
R_1Fh1UMJw1me9wFr,none,feature contribution,20,0.8583333333333332,0.1509722937544886,1.0,0.75,0.6,0.6638408662943901,0.5876538874829214,0.04509555576422501,-0.05769381348622897,0.9404827779917,0.930015065216914,1.0,1.0,0.55580976624311,0.6900642071650658
R_1QfQiW4jahDRgtB,attribution,weighted examples,20,0.3,0.24118318017873025,0.8333333333333334,0.45,0.5,0.4273004105719848,0.48381513821615396,0.008895190966039503,0.05753110939911168,0.9485299032142,0.9493420679501773,1.0,1.0,0.27719120219054993,0.3221842397579197
R_1TZbMIIo6RtFnsb,attribution,feature contribution,20,0.875,0.15126330088982262,1.0,0.55,0.7,0.5479826032418258,0.6547049509930603,0.018005909610329003,-0.008996770330385285,0.93934016107835,0.9350873460420658,1.0,1.0,0.60771887236664,0.5761944518502692
R_1WAqgPTkRSdmI9W,counterfactual,feature contribution,20,0.9583333333333333,0.11493973083680709,0.95,0.85,0.8,0.8085433565259658,0.7563206270658842,-0.04474299899884,-0.061951116301254536,0.9209095735035999,0.9181382956328354,0.25,0.2,0.7406346860096,0.7746562620132601
R_1hF6UnZQsvvwBCX,counterfactual,weighted examples,20,0.7249999999999999,0.11993628940727345,0.8842592592592592,0.7,0.7,0.5885855016641334,0.6714574135875199,0.059903692547995005,0.0571055814759079,0.9509116395353001,0.9453179620307053,1.0,1.0,0.36217757311135257,0.43703024180174543
R_1ihbKBZG0EAXF8D,counterfactual,feature contribution,20,0.75,0.1556686602931367,1.0,0.55,0.45,0.5452308441429966,0.4777968863871934,0.030592220334761,0.04741750292565176,0.93880241896785,0.9462885785751439,1.0,1.0,0.47910472836855,0.47736552513942454
R_1myAGA2v3gStUIS,attribution,feature contribution,20,0.525,0.232715462547815,1.0,0.55,0.55,0.530826221440069,0.545740543055093,0.0055684327748614995,-0.03307727864125139,0.9199573126471,0.932616262170944,0.8,1.0,0.73163349734655,0.6441894502866242
R_3ENoszlL5q7JglI,none,weighted examples,20,0.8916666666666666,0.2249812163281772,0.8375,0.95,0.7,0.9102752599962001,0.67879059775468,-0.048258100708534986,-0.007588362561947545,0.9171115408537001,0.9235643977344589,1.0,1.0,0.897849999470365,1.1082693191321824
R_3Qv0QTQ49yAIRot,attribution,feature contribution,20,0.4,0.16819434984998508,1.0,0.55,0.65,0.5267191584124719,0.6067012839155238,0.005451649314247848,0.0011680667982728698,0.94313979033475,0.9450914251449236,1.0,1.0,0.2908554693741,0.2722421570846369
R_5ASRudX4WuOaMDD,counterfactual,feature contribution,20,0.6416666666666666,0.2153436014385007,1.0,0.5,0.6,0.48671510139714336,0.5669458716385065,-0.011473944750275,0.0027268882796601824,0.94873539592725,0.9394628507818729,1.0,1.0,0.51973018277537,0.5902431289687555
R_5L0xQQar3o8Bvr3,counterfactual,feature contribution,20,0.7583333333333333,0.2372413049661502,0.5294117647058824,0.35,0.45,0.30668771535452943,0.4058388997933993,-0.007685442626257496,0.008368651116714663,0.9431552136363001,0.9420512447978039,0.9,1.0,0.28131281515434,0.29262132648621125
R_5gkJQXcSCkjRBmu,none,weighted examples,20,0.7833333333333333,0.13032826422189214,0.9444444444444444,0.75,0.4,0.700782878107974,0.4800872676868785,0.02043589556543,0.05597904288135649,0.94044390689275,0.9374706159641306,1.0,1.0,0.74119082406725,0.7522409985459967
R_61hCu6g2tcWoJo7,attribution,feature contribution,20,0.6,0.2454460147875257,1.0,0.75,0.65,0.7101134291291451,0.6203984272036986,0.0022781640121720004,-0.01819527774716826,0.9289080375043,0.931035391927756,1.0,1.0,0.5911169079584051,0.537715026951032
R_6DD4Hjc7DAhjrhU,attribution,feature contribution,20,0.8,0.19508534576407602,1.0,0.7,0.65,0.6785807751491812,0.6469267020699594,-0.0315080012434625,-0.04954274869412099,0.92657108194185,0.927830609079353,1.0,1.0,0.6639701800661749,0.6401198252317252
R_6I5GvkY1dba6Sm6,none,feature contribution,20,0.75,0.27026656127418003,0.980392156862745,0.95,0.7,0.9223329506468501,0.6903685582756997,-0.08427434561358452,-0.12149223808175971,0.9073332734567499,0.9035799551533754,0.95,1.0,1.0423836847626997,1.1549724620397073
R_6KDvslaxG4W04I9,counterfactual,feature contribution,20,0.9083333333333332,0.38261971474070944,0.5263157894736842,0.5,0.75,0.5057773776340643,0.7354537617781103,-0.023884451707038998,-0.06549734537584605,0.92976037033125,0.9203467244414634,1.0,1.0,0.6082668710484,0.5971193715686478
R_6upJU84Jtf3Faf5,none,weighted examples,20,0.7333333333333333,0.15409629112920178,1.0,0.4,0.35,0.45177516502663356,0.4221041692254544,0.051433592977982,0.06293587079346827,0.9507472951699499,0.946840789308844,0.45,0.45,0.40639587503951996,0.6159743747131633
R_771uyV9h8uinmh3,attribution,feature contribution,20,0.6,0.2595530224358044,1.0,0.7,0.6,0.6520082764005145,0.5457414362057794,0.028565334073961002,0.017960296605426564,0.9468004222277999,0.945234714951592,1.0,1.0,0.3281760161405,0.38919587375577663
R_7DtIw0Gr58M4CAa,counterfactual,feature contribution,20,0.7333333333333332,0.21155469751210507,0.5,0.5,0.65,0.48323880372874956,0.5021564878871232,-0.07128671290151449,0.036171524607601827,0.9438254754589501,0.9505526221830332,1.0,1.0,0.4975655246689049,0.35868627026506494
R_7IXNpixLXSjItSq,none,feature contribution,20,0.325,0.20974492472198034,1.0,0.3,0.35,0.2776305040637021,0.34051725003345357,-0.009160366704504,-0.025297494463174513,0.9524411925198502,0.9461030044371432,0.85,0.95,0.24171502812495502,0.23785268431770462
R_7L78tZJ3cQDgpFH,counterfactual,feature contribution,20,0.8305555555555554,0.43588231833011937,0.16666666666666666,0.1,0.2,0.1086442102872763,0.2086270428946177,-0.21236235564053502,0.03433104993933074,0.9024937661730501,0.9583310804546737,0.25,1.0,1.5582995320756452,0.24681608986525
R_7PsMTUjq8Wa1btt,counterfactual,feature contribution,20,0.64,0.14004140449374744,1.0,0.6,0.65,0.5715269898448686,0.6301479486932042,0.0025037769109932996,0.04853069884790745,0.9375542904559,0.9446061348908519,0.65,1.0,0.520154395394355,0.4845980337952394
R_7xWlSJ5Zdqog9gt,none,feature contribution,20,0.8083333333333332,0.28561894182877545,0.6842105263157895,0.5,0.55,0.4771363310438672,0.5563361189568007,-0.11585213895931949,-0.014642695982819389,0.9270332799442,0.9319915613163706,1.0,1.0,0.9527351838084501,0.5043232991460184
