participant,domain,xai,testing_cases,attribute selection method,best-supported attribute selection method,raw best attribute selection method,attribute selection ranking score,attribute selection average precision,attribute selection score gap,best independent amount method,one-SE independent amount method,amount normalized MAE,change amount method,change amount normalized MAE,amount MAE gap,selection ranking score: Current-case contribution,selection ranking score: Global importance,selection ranking score: Target-profile mismatch,selection ranking score: Nearest target example,selection ranking score: Similar remembered edit,amount MAE: One fixed normalized amount,amount MAE: Feature-specific fixed amount,amount MAE: Target-specific endpoint,amount MAE: Estimated amount needed to flip,amount MAE: Target-profile centre,amount MAE: Nearest target-profile range edge,amount MAE: Nearest target-example value,amount MAE: Remembered edit amount
R_12myev0XH9WOz3H,diabetes,counterfactual,20,Global importance,Global importance,Global importance,0.5499999999999999,0.7374999999999999,0.09999999999999992,Target-specific endpoint,Target-specific endpoint,0.03237332987030219,Target-specific endpoint,0.03237332987030219,0.09152933271042449,0.45,0.5499999999999999,0.3416666666666666,0.4416666666666667,0.35833333333333334,0.12390266258072669,0.155438751209945,0.03237332987030219,0.26754250660556883,0.13201535983630774,0.20197183586077888,0.1581700468149539,0.17943991575661714
R_156Kmlz4ECsrHQR,diabetes,attribution,20,Target-profile mismatch,Target-profile mismatch,Target-profile mismatch,0.625,0.7386111111111111,0.09166666666666667,Feature-specific fixed amount,One fixed normalized amount,0.08184240951322166,One fixed normalized amount,0.08411915157269666,0.0022767420594749926,0.275,0.5333333333333333,0.625,0.39166666666666666,,0.08411915157269666,0.08184240951322166,0.11611062966900161,0.2439359909100089,0.14064287472826853,0.15633934486474438,0.17348123568465348,
R_1Fh1UMJw1me9wFr,diabetes,none,20,Current-case contribution,Current-case contribution,Current-case contribution,0.6124999999999999,0.691875,0.05833333333333335,Target-specific endpoint,Target-specific endpoint,0.05855359030534678,Target-specific endpoint,0.05855359030534678,0.036007548837942716,0.6124999999999999,0.4624999999999999,0.5541666666666666,0.5208333333333333,,0.10572591833113335,0.10578027819666458,0.05855359030534678,0.22926303443145052,0.0945611391432895,0.14410036944077884,0.13474180042035716,
R_1QfQiW4jahDRgtB,diabetes,attribution,20,Unclear or overlapping,Unclear,Nearest target example,0.3,0.5466666666666666,0.15,Target-specific endpoint,Target-specific endpoint,0.06397284364509381,Target-specific endpoint,0.06397284364509381,0.026865286739506167,0.15,0.0,0.1,0.3,,0.09621598351095,0.09083813038459998,0.06397284364509381,0.20922156617957163,0.15153647301914663,0.2303320423142524,0.11743737345904126,
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,Global importance,Global importance,Global importance,0.5583333333333333,0.7625,0.07916666666666672,Target-specific endpoint,Target-specific endpoint,0.05012460325360703,Target-specific endpoint,0.05012460325360703,0.023974238599732814,0.32916666666666666,0.5583333333333333,0.47916666666666663,0.4208333333333333,,0.12659803225415497,0.14800772825405917,0.05012460325360703,0.271815391050129,0.07409884185333984,0.16664287498253116,0.19199106414752704,
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,Target-profile mismatch,Target-profile mismatch,Target-profile mismatch,0.5458333333333333,0.7204861111111113,0.0708333333333333,Target-specific endpoint,Target-specific endpoint,0.05693601268561348,Target-specific endpoint,0.05693601268561348,0.03497159751461569,0.475,0.3875,0.5458333333333333,0.425,0.4041666666666666,0.09190761020022917,0.09741054153348333,0.05693601268561348,0.2579395878361859,0.1739980542160764,0.23385608888136872,0.24122716530778315,0.2708606197275799
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,Global importance,Global importance,Global importance,0.7333333333333333,0.8402777777777779,0.10416666666666663,Target-specific endpoint,Target-specific endpoint,0.059319496367172445,Target-specific endpoint,0.059319496367172445,0.018520063196302852,0.6291666666666667,0.7333333333333333,0.6124999999999999,0.4875,0.5916666666666666,0.08527517963001624,0.08323569381307042,0.059319496367172445,0.1897136205276258,0.0778395595634753,0.12859051271349292,0.11683768160718551,0.12658020502759698
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,Unclear or overlapping,Similar remembered edit,Similar remembered edit,0.65,0.7333333333333333,0.008333333333333415,Target-specific endpoint,Target-specific endpoint,0.07578786292514929,Target-specific endpoint,0.07578786292514929,0.01007418397037102,0.6416666666666666,0.4083333333333333,0.4833333333333333,0.5333333333333333,0.65,0.09935238049836667,0.10315900549534167,0.07578786292514929,0.2031575440851685,0.08586204689552031,0.17106060831925088,0.1518083049108659,0.15450105491297098
R_1myAGA2v3gStUIS,diabetes,attribution,20,Global importance,Global importance,Global importance,0.6,0.6920833333333334,0.07499999999999996,Target-specific endpoint,One fixed normalized amount,0.09057288304899555,One fixed normalized amount,0.10952450781050001,0.013172217797779467,0.525,0.6,0.35,0.45,,0.10952450781050001,0.10374510084677502,0.09057288304899555,0.3374117079144188,0.1815307387559207,0.2743506688832602,0.22636182702351756,
R_3ENoszlL5q7JglI,diabetes,none,20,Unclear or overlapping,Nearest target example,Nearest target example,0.6,0.7452777777777777,0.04999999999999993,Target-specific endpoint,Target-specific endpoint,0.05459958222826006,Target-specific endpoint,0.05459958222826006,0.1395703291698826,0.55,0.4333333333333333,0.55,0.6,,0.23061860923680003,0.20174355613480005,0.05459958222826006,0.27627953243165404,0.19416991139814266,0.2916694759389368,0.22898093051629081,
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,Unclear or overlapping,Unclear,Current-case contribution,0.35,0.5466666666666665,0.14999999999999997,Feature-specific fixed amount,One fixed normalized amount,0.0637667184182,One fixed normalized amount,0.06742666770620001,0.0036599492880000084,0.35,0.2,0.1,0.05,,0.06742666770620001,0.0637667184182,0.07398028279703059,0.22049119368648026,0.1381681390756338,0.1947847145386992,0.16664657526300014,
