participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_12myev0XH9WOz3H,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.5,nan,nan,0,4,0.39231357000461675,0.5141981855865059,0.2988253255957393,0.5,2.0383257832505546,0.40881830624742443,0.4819051056433151,0.299541718138164,0.5,2.1943645655322594,0
R_12myev0XH9WOz3H,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.5,2.0,1.0,1,4,0.3596668078153974,0.5174032845633773,0.23673690019417185,0.5,1.819843529177898,0.37776910439160327,0.4739358992519641,0.22947410803517054,0.5666666666666667,2.1786251822903333,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.5,nan,nan,1,4,0.34222353201468614,0.5684805205762868,0.25292758460565923,0.4833333333333333,1.7149162616729843,0.35040770990008735,0.5684805205762868,0.2692959403764616,0.4833333333333333,1.7149162616729838,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.5,6.0,0.0,1,4,0.3863845395178468,0.4676029218936325,0.24037200092932598,0.5333333333333333,2.675859409377555,0.3907068116984661,0.4676029218936325,0.24901654529056466,0.5333333333333333,2.675859409377555,0
R_1Fh1UMJw1me9wFr,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,1.0,nan,nan,0,4,0.21468464008743818,0.7511788822495602,0.1805481624244366,1.0,0.8249363620367701,0.2179453588881684,0.7511788822495602,0.18706960002589704,1.0,0.8249363620367701,1
R_1Fh1UMJw1me9wFr,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,0,4,0.19177598069998142,0.7067457234066615,0.09029768480662444,0.9666666666666666,1.213529903047239,0.19177598069998142,0.7067457234066616,0.09029768480662444,0.9666666666666666,1.2135299030472386,0
R_1QfQiW4jahDRgtB,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.0,0.5,nan,nan,0,4,0.554498212749703,0.20672723882530705,0.3157236643247129,0.5,2.070117032544643,0.5584537934611877,0.19165566529414552,0.3085632522165209,0.5,2.1425116412693925,0
R_1QfQiW4jahDRgtB,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,0,4,0.47012440021956375,0.2578458209696185,0.19809462140874592,0.6,1.900660609614733,0.47012440021956375,0.25784582096961844,0.19809462140874592,0.6,1.900660609614733,1
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.0,1.0,nan,nan,0,4,0.23996903946600665,0.7136178849970576,0.19355596392907093,1.0,0.6491003309924287,0.251412672397789,0.7073014948936244,0.21012683968920248,1.0,0.6942874947954651,1
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,weighted examples,observed per instance,0.5,nan,1.0,6.0,0.0,0,4,0.22373221422350859,0.6630216527769128,0.11048608122392996,0.9333333333333332,0.9261011402332331,0.22969239944054148,0.6464230534535746,0.10580785233465761,0.9333333333333332,0.9964029399344998,0
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,1.0,1.5,nan,nan,1,4,0.22879828758758505,0.6944215220455202,0.15201809722069026,0.95,1.0085228510190862,0.228798287587585,0.6944215220455202,0.15201809722069023,0.95,1.0085228510190862,1
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.0,1,4,0.40643188032177624,0.45414745619829866,0.267011216841851,0.6125,3.142781482053285,0.4181799797766116,0.43550063493958674,0.27186059449280986,0.6124999999999998,3.3316917381368425,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.5,0.5,nan,nan,0,4,0.23860088149688274,0.6551576476013838,0.1323594105951492,0.7083333333333333,1.2194676148778787,0.2386008814968827,0.6551576476013838,0.13235941059514925,0.7083333333333333,1.219467614877879,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,4,0.22416058707021508,0.6737712160191469,0.12209239015957696,0.7291666666666666,1.0605382671386605,0.2310955877372792,0.6748226134309018,0.13701378890546032,0.7291666666666666,1.0713523413509514,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,1.0,nan,nan,0,4,0.23025153614154106,0.6579362529246608,0.11843932520774299,1.0,1.2429489329619814,0.23025153614154106,0.6579362529246608,0.11843932520774299,1.0,1.2429489329619816,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,1.5,6.0,0.5,0,4,0.25136016804818206,0.6151251067454218,0.11784544284178591,0.9,1.6053728586136473,0.25136016804818206,0.6151251067454219,0.11784544284178593,0.9,1.6053728586136469,0
R_1myAGA2v3gStUIS,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,1.5,nan,nan,1,4,0.3761658564491522,0.48825109305327496,0.24058280595157927,0.9,2.024282961100902,0.3752803433999595,0.49002211915166016,0.24058280595157927,0.9,2.0840909412297814,1
R_1myAGA2v3gStUIS,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,4,0.37266851772078613,0.4317375327353443,0.17707456817691658,0.95,2.561656813058367,0.38019212235494015,0.4317375327353443,0.19212177744522468,0.95,2.5616568130583666,0
R_3ENoszlL5q7JglI,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,1.5,nan,nan,0,4,0.2456184014411817,0.7495649825305927,0.24080178541295622,1.0,1.2151672165826868,0.2655092777961959,0.7097832298205645,0.24080178541295622,1.0,1.423720810662916,0
R_3ENoszlL5q7JglI,diabetes,none,20,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.0,0,4,0.21056240646443375,0.7871032976921931,0.2082281106210606,0.8708333333333332,0.9077062976747043,0.21056240646443375,0.7871032976921931,0.2082281106210606,0.8708333333333332,0.9077062976747043,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.5,1.0,nan,nan,0,4,0.37540526069382735,0.38227112763106713,0.1330816490187218,1.0,1.2890222933528306,0.3754052606938273,0.38227112763106713,0.1330816490187218,1.0,1.2890222933528306,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,4,0.4208938436565638,0.26785316590855357,0.10964085322168113,1.0,1.8082506058422023,0.42755811112254705,0.26785316590855357,0.12296938815364769,1.0,1.8082506058422019,0
