participant,domain,xai,n_forward_trials,participant_training_accuracy,fitted_continuous_parameters,best_forward_mental_model,second_best_forward_mental_model,delta_bic_to_second_best,supported_forward_mental_models_delta_bic_lt_2,forward_mental_model_fit_conclusion,forward_mental_model_evidence_strength,final_feature_relevance,final_feature_polarity,exemplar_nll,exemplar_bic,exemplar_mean_log_loss,exemplar_brier,exemplar_accuracy,exemplar_delta_bic,attribution_nll,attribution_bic,attribution_mean_log_loss,attribution_brier,attribution_accuracy,attribution_delta_bic,prototype_nll,prototype_bic,prototype_mean_log_loss,prototype_brier,prototype_accuracy,prototype_delta_bic
R_15E5kn5aqWV9Myt,diabetes,attribution,12,0.4166666666666667,0,exemplar,attribution,0.018827760295060614,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.1318961185859427,""blood_pressure"":0.24912938398633094,""bmi"":0.24616907111940348,""glucose"":0.22445318916928114,""insulin"":0.14835223713904186}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",7.850738606125143,15.701477212250285,0.6542282171770952,0.23128863619806894,0.6666666666666666,0.0,7.860152486272673,15.720304972545346,0.6550127071893894,0.23130821439268834,0.8333333333333334,0.018827760295060614,7.9457625688852564,15.891525137770513,0.662146880740438,0.23491310737561644,0.6666666666666666,0.19004792552022742
R_1VV8BqOrYdNpSHT,diabetes,attribution,12,0.5833333333333334,0,attribution,prototype,0.8800436036286587,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.13189611858594266,""blood_pressure"":0.24912938398633097,""bmi"":0.24616907111940342,""glucose"":0.22445318916928111,""insulin"":0.14835223713904183}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.520591072836803,17.041182145673606,0.7100492560697336,0.2586930543176132,0.3333333333333333,1.3837348410221377,7.828723652325734,15.657447304651468,0.6523936376938112,0.23006012393678663,0.5833333333333334,0.0,8.268745454140063,16.537490908280127,0.6890621211783386,0.2476139779508342,0.4166666666666667,0.8800436036286587
R_1eVmoOsuh2kQnVU,diabetes,attribution,12,0.5,0,prototype,attribution,0.4416809558692769,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.1318961185859427,""blood_pressure"":0.249129383986331,""bmi"":0.24616907111940345,""glucose"":0.2244531891692811,""insulin"":0.14835223713904183}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",7.849190720864252,15.698381441728504,0.6540992267386877,0.23129102368883145,0.5833333333333334,0.9203733224703718,7.6098445375637045,15.219689075127409,0.6341537114636421,0.22100332022166122,0.6666666666666666,0.4416809558692769,7.389004059629066,14.778008119258132,0.6157503383024222,0.21298935953686796,0.8333333333333334,0.0
R_3xBI9TIaQaSsWad,diabetes,attribution,12,0.5,0,prototype,attribution,0.2204925229148138,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.1318961185859427,""blood_pressure"":0.249129383986331,""bmi"":0.24616907111940348,""glucose"":0.2244531891692811,""insulin"":0.14835223713904186}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.004924290695554,16.009848581391108,0.6670770242246294,0.23739494332278122,0.5833333333333334,0.2940677347215246,7.968136684792198,15.936273369584397,0.6640113903993499,0.23585642162576984,0.5,0.2204925229148138,7.8578904233347915,15.715780846669583,0.6548242019445659,0.23126658726376756,0.5833333333333334,0.0
R_53vXmt7xog3ij55,diabetes,attribution,12,0.4166666666666667,0,exemplar,attribution,0.8109512336727676,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.13189611858594266,""blood_pressure"":0.24912938398633094,""bmi"":0.24616907111940348,""glucose"":0.22445318916928114,""insulin"":0.14835223713904183}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.092158439122132,16.184316878244264,0.674346536593511,0.24048650822473683,0.5833333333333334,0.0,8.497634055958516,16.99526811191703,0.7081361713298763,0.2568276446871556,0.5833333333333334,0.8109512336727676,8.511334905251937,17.022669810503874,0.7092779087709947,0.25739341599277044,0.5,0.8383529322596104
R_56kBaagYoPMItRS,diabetes,attribution,12,0.5,0,attribution,prototype,0.27115175229564414,attribution / prototype,indistinguishable: attribution / prototype,indistinguishable,"{""age"":0.13189611858594266,""blood_pressure"":0.24912938398633097,""bmi"":0.24616907111940345,""glucose"":0.22445318916928111,""insulin"":0.14835223713904183}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",10.142010643932831,20.284021287865663,0.8451675536610693,0.32302065216493586,0.3333333333333333,2.5201335049249955,8.881943891470334,17.763887782940667,0.7401619909558611,0.2728102062755758,0.4166666666666667,0.0,9.017519767618156,18.03503953523631,0.7514599806348463,0.27841621716575227,0.3333333333333333,0.27115175229564414
R_5Rv44YPGvhr8aCR,diabetes,attribution,12,0.3333333333333333,0,attribution,exemplar,1.7842089453919279,exemplar / attribution,indistinguishable: exemplar / attribution,indistinguishable,"{""age"":0.1318961185859427,""blood_pressure"":0.24912938398633094,""bmi"":0.24616907111940345,""glucose"":0.2244531891692811,""insulin"":0.14835223713904183}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",9.150486571399988,18.300973142799975,0.7625405476166657,0.28154900050957676,0.4166666666666667,1.7842089453919279,8.258382098704024,16.516764197408047,0.6881985082253353,0.24697578449464389,0.6666666666666666,0.0,10.117326637286443,20.234653274572885,0.8431105531072035,0.31581427326245043,0.3333333333333333,3.7178890771648376
R_6haS2ptrunWMddu,diabetes,attribution,12,0.5,0,attribution,exemplar,0.8064860048975682,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.13189611858594266,""blood_pressure"":0.24912938398633097,""bmi"":0.24616907111940342,""glucose"":0.22445318916928111,""insulin"":0.1483522371390418}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",8.598585269999354,17.19717053999871,0.7165487724999462,0.26167815937313893,0.3333333333333333,0.8064860048975682,8.19534226755057,16.39068453510114,0.6829451889625475,0.2442914112063064,0.6666666666666666,0.0,8.634755279848104,17.269510559696208,0.719562939987342,0.2625513316918345,0.5,0.8788260245950674
R_7nq1k9p3nFmxZjK,diabetes,attribution,12,0.5,0,prototype,exemplar,0.29269503667687324,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.13189611858594266,""blood_pressure"":0.24912938398633097,""bmi"":0.24616907111940345,""glucose"":0.22445318916928111,""insulin"":0.14835223713904183}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":1.0}",7.91847536257605,15.8369507251521,0.6598729468813375,0.23415101012338266,0.5,0.29269503667687324,8.199382244646596,16.398764489293193,0.6832818537205497,0.24545325518433578,0.3333333333333333,0.8545088008179658,7.772127844237613,15.544255688475227,0.6476773203531344,0.22894099147969185,0.3333333333333333,0.0
R_3fJe3EZDB3jrLK9,diabetes,counterfactual,12,0.5833333333333334,0,exemplar,prototype,0.030501134517372464,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.330921099166428,16.661842198332856,0.6942434249305357,0.25054811408189015,0.5,0.0,8.654973125603577,17.309946251207155,0.7212477604669648,0.2639513893557635,0.4166666666666667,0.6481040528742987,8.346171666425114,16.69234333285023,0.6955143055354261,0.2511834333567137,0.5833333333333334,0.030501134517372464
