participant,domain,xai,trial_order,instance_id,participant_response,ai_label,participant_correct,mental_model,predicted_response,response_probability,negative_log_likelihood,brier_score,predicted_participant_response,evidence,memory_instances_before,memory_changes_before,feature_relevance_before
R_15E5kn5aqWV9Myt,diabetes,attribution,1,120102,Diabetes,No Diabetes,0,attribution,Diabetes,0.5,0.6931471805599453,0.25,1,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_15E5kn5aqWV9Myt,diabetes,attribution,1,120102,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5,0.6931471805599453,0.25,1,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_15E5kn5aqWV9Myt,diabetes,attribution,1,120102,Diabetes,No Diabetes,0,prototype,Diabetes,0.5,0.6931471805599453,0.25,1,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_15E5kn5aqWV9Myt,diabetes,attribution,2,120109,No Diabetes,Diabetes,0,attribution,No Diabetes,0.6666666666666666,0.40546510810816444,0.11111111111111113,1,0.3333333333333333,1,0,"{""age"":0.3427410569252404,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.6572589430747596,""insulin"":0.0}"
R_15E5kn5aqWV9Myt,diabetes,attribution,2,120109,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.6580904394828264,0.4184129110791264,0.11690214757304679,1,0.31618087896565283,1,0,"{""age"":0.3427410569252404,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.6572589430747596,""insulin"":0.0}"
R_15E5kn5aqWV9Myt,diabetes,attribution,2,120109,No Diabetes,Diabetes,0,prototype,No Diabetes,0.6666666666666666,0.40546510810816444,0.11111111111111113,1,0.3333333333333333,1,0,"{""age"":0.3427410569252404,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.6572589430747596,""insulin"":0.0}"
R_15E5kn5aqWV9Myt,diabetes,attribution,3,120100,Diabetes,Diabetes,1,attribution,No Diabetes,0.4189211262554142,0.8700726196070778,0.33765265751227624,0,0.32720384341714714,2,0,"{""age"":0.1713705284626202,""blood_pressure"":0.2655129431882848,""bmi"":0.0,""glucose"":0.3286294715373798,""insulin"":0.23448705681171522}"
R_15E5kn5aqWV9Myt,diabetes,attribution,3,120100,Diabetes,Diabetes,1,exemplar,No Diabetes,0.4895896978079906,0.7141875900642507,0.2605186765837383,0,0.020820604384018726,2,0,"{""age"":0.1713705284626202,""blood_pressure"":0.2655129431882848,""bmi"":0.0,""glucose"":0.3286294715373798,""insulin"":0.23448705681171522}"
R_15E5kn5aqWV9Myt,diabetes,attribution,3,120100,Diabetes,Diabetes,1,prototype,No Diabetes,0.4730214013218817,0.74861464559013,0.2777064434647533,0,0.10801930460581793,2,0,"{""age"":0.1713705284626202,""blood_pressure"":0.2655129431882848,""bmi"":0.0,""glucose"":0.3286294715373798,""insulin"":0.23448705681171522}"
R_15E5kn5aqWV9Myt,diabetes,attribution,4,120104,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5506851485591597,0.5965920513737755,0.20188383572530436,1,0.20343935745837402,3,0,"{""age"":0.11424701897508012,""blood_pressure"":0.17700862879218984,""bmi"":0.0,""glucose"":0.48013296146005646,""insulin"":0.22861139077267353}"
