participant,domain,xai,testing_cases,attribute selection method,best-supported attribute selection method,raw best attribute selection method,attribute selection ranking score,attribute selection average precision,attribute selection score gap,best independent amount method,one-SE independent amount method,amount normalized MAE,change amount method,change amount normalized MAE,amount MAE gap,selection ranking score: Current-case contribution,selection ranking score: Global importance,selection ranking score: Target-profile mismatch,selection ranking score: Nearest target example,selection ranking score: Similar remembered edit,amount MAE: One fixed normalized amount,amount MAE: Feature-specific fixed amount,amount MAE: Target-specific endpoint,amount MAE: Estimated amount needed to flip,amount MAE: Target-profile centre,amount MAE: Nearest target-profile range edge,amount MAE: Nearest target-example value,amount MAE: Remembered edit amount
R_15E5kn5aqWV9Myt,diabetes,attribution,18,Global importance,Global importance,Global importance,0.6851851851851851,0.8089506172839507,0.13888888888888884,Target-specific endpoint,Target-specific endpoint,0.07573492138730567,Target-specific endpoint,0.07573492138730567,0.03575877894909149,0.34259259259259256,0.6851851851851851,0.537037037037037,0.5462962962962963,,0.15279366553526208,0.15876807521285002,0.07573492138730567,0.26716981137679885,0.11149370033639716,0.19022185617461507,0.19197797157782714,
R_1VV8BqOrYdNpSHT,diabetes,attribution,18,Target-profile mismatch,Target-profile mismatch,Target-profile mismatch,0.5092592592592592,0.7012345679012345,0.1296296296296296,Target-specific endpoint,Feature-specific fixed amount,0.1204928882236731,Feature-specific fixed amount,0.13886766771242273,0.018374779488749632,0.3796296296296296,0.18518518518518517,0.5092592592592592,0.2777777777777778,,0.15242435384907557,0.13886766771242273,0.1204928882236731,0.2937374345949056,0.18554248000113333,0.2303728051014293,0.2213089998743486,
R_1eVmoOsuh2kQnVU,diabetes,attribution,18,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.5972222222222222,0.7121141975308642,0.04166666666666663,One fixed normalized amount,One fixed normalized amount,0.24645534388429502,One fixed normalized amount,0.24645534388429502,0.02372520164764841,0.5555555555555556,0.4027777777777778,0.5972222222222222,0.4583333333333333,,0.24645534388429502,0.27286882647833904,0.27018054553194343,0.44114051692444206,0.33900218540714877,0.3976888438118258,0.37005115210708417,
R_3KdocVAIKFJHFu0,diabetes,none,18,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.6435185185185186,0.7450617283950617,0.04166666666666685,Target-specific endpoint,Target-specific endpoint,0.06358982534036943,Target-specific endpoint,0.06358982534036943,0.05449618862060972,0.6018518518518517,0.43981481481481477,0.6435185185185186,0.5787037037037036,,0.11808601396097915,0.12172803309652548,0.06358982534036943,0.27257150754367393,0.1588244596418608,0.2190397261426741,0.17590236051114497,
R_3WOmvFM0WJMKuPa,diabetes,none,18,Unclear or overlapping,Unclear,Global importance,0.49537037037037035,0.6509259259259258,0.1388888888888889,Feature-specific fixed amount,One fixed normalized amount,0.09003006781597454,One fixed normalized amount,0.09452300037725,0.004492932561275462,0.33796296296296297,0.49537037037037035,0.2546296296296296,0.35648148148148145,,0.09452300037725,0.09003006781597454,0.10152368358703248,0.2508585207563731,0.16640109200782138,0.2301737991812168,0.20457145729986323,
R_3fJe3EZDB3jrLK9,diabetes,counterfactual,18,Unclear or overlapping,Unclear,Similar remembered edit,0.16666666666666666,0.38333333333333336,0.05555555555555555,Target-specific endpoint,One fixed normalized amount,0.05105105105106058,One fixed normalized amount,0.08258258258252221,0.014264264264232822,0.05555555555555555,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.08258258258252221,0.08258258258252221,0.05105105105106058,0.2857757861719199,0.0653153153152934,0.10247747747743784,0.07957957957955075,0.12912912912911953
R_3gwJ7NCYNcCcCho,diabetes,counterfactual,18,Unclear or overlapping,Global importance,Global importance,0.5416666666666666,0.6981481481481482,0.03240740740740744,Target-specific endpoint,Target-specific endpoint,0.1288812953935411,Target-specific endpoint,0.1288812953935411,0.06160279799032095,0.4305555555555556,0.5416666666666666,0.3611111111111111,0.5092592592592592,0.37037037037037035,0.19048409338386205,0.24802096023393613,0.1288812953935411,0.2586692459468606,0.21889128174136052,0.30208404336744427,0.26030001001196557,0.3821782105058235
R_3jfNL25GoofAHh7,diabetes,counterfactual,18,Current-case contribution,Current-case contribution,Current-case contribution,0.6296296296296295,0.7441358024691358,0.07407407407407396,Target-specific endpoint,Target-specific endpoint,0.08149482361046344,Target-specific endpoint,0.08149482361046344,0.04809844634509132,0.6296296296296295,0.4166666666666667,0.5555555555555556,0.5092592592592592,0.537037037037037,0.1635709754213361,0.16083978807065277,0.08149482361046344,0.24163032692147413,0.12959326995555476,0.2040265549024867,0.1883716006698694,0.24698805574794802
R_3qWWvSHayKcFHto,diabetes,none,18,Unclear or overlapping,Unclear,Nearest target example,0.16666666666666666,0.46388888888888885,0.08333333333333333,Target-specific endpoint,Nearest target-profile range edge,0.07188793519129441,Nearest target-profile range edge,0.09261869058383515,0.007281288222811141,0.05555555555555555,0.0,0.08333333333333333,0.16666666666666666,,0.08129471227655555,0.07916922341410555,0.07188793519129441,0.1868371309342776,0.1462431830335153,0.09261869058383515,0.13797441527490628,
R_3xBI9TIaQaSsWad,diabetes,attribution,18,Unclear or overlapping,Unclear,Target-profile mismatch,0.3888888888888889,0.6259259259259259,0.1111111111111111,One fixed normalized amount,One fixed normalized amount,0.11826758014726664,One fixed normalized amount,0.11826758014726664,0.023149269499335448,0.2777777777777778,0.16666666666666666,0.3888888888888889,0.2777777777777778,,0.11826758014726664,0.14642654618107223,0.1414168496466021,0.3021923459006668,0.16798258952881734,0.1855515483220837,0.22595032508415397,
