row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
1,R_5qfkDFyU8U4LwCB,diabetes,training,,,
2,R_5qfkDFyU8U4LwCB,diabetes,training,,,
3,R_5qfkDFyU8U4LwCB,diabetes,training,,,
4,R_5qfkDFyU8U4LwCB,diabetes,training,,,
5,R_5qfkDFyU8U4LwCB,diabetes,training,,,
6,R_5qfkDFyU8U4LwCB,diabetes,training,,,
7,R_5qfkDFyU8U4LwCB,diabetes,training,,,
8,R_5qfkDFyU8U4LwCB,diabetes,training,,,
9,R_5qfkDFyU8U4LwCB,diabetes,training,,,
10,R_5qfkDFyU8U4LwCB,diabetes,training,,,
11,R_5qfkDFyU8U4LwCB,diabetes,training,,,
12,R_5qfkDFyU8U4LwCB,diabetes,training,,,
13,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0809912446199,0.000596025033278,-0.0803952195866
14,R_5qfkDFyU8U4LwCB,diabetes,testing,0.092746834945,0.0478322929441,-0.0449145420009
15,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0312851432037,0.0829712955209,0.0516861523172
16,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0394188750415,0.0422292193877,0.00281034434626
17,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0940290113526,0.117527512469,0.0234985011166
18,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0682490341438,0.0300471586079,-0.0382018755359
19,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0914775860938,0.0331349614558,-0.058342624638
20,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0659242805367,0.0333468188105,-0.0325774617263
21,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0731689967154,0.0606802351715,-0.0124887615439
22,R_5qfkDFyU8U4LwCB,diabetes,testing,0.109384342924,0.0404758747125,-0.0689084682115
23,R_5qfkDFyU8U4LwCB,diabetes,testing,0.0626496649029,0.0923383340545,0.0296886691516
24,R_5qfkDFyU8U4LwCB,diabetes,testing,0.130624164369,0.17568714027,0.0450629759013
25,R_5ILPbRjMMu0htEd,diabetes,training,,,
26,R_5ILPbRjMMu0htEd,diabetes,training,,,
27,R_5ILPbRjMMu0htEd,diabetes,training,,,
28,R_5ILPbRjMMu0htEd,diabetes,training,,,
29,R_5ILPbRjMMu0htEd,diabetes,training,,,
30,R_5ILPbRjMMu0htEd,diabetes,training,,,
31,R_5ILPbRjMMu0htEd,diabetes,training,,,
32,R_5ILPbRjMMu0htEd,diabetes,training,,,
33,R_5ILPbRjMMu0htEd,diabetes,training,,,
34,R_5ILPbRjMMu0htEd,diabetes,training,,,
35,R_5ILPbRjMMu0htEd,diabetes,training,,,
36,R_5ILPbRjMMu0htEd,diabetes,training,,,
37,R_5ILPbRjMMu0htEd,diabetes,testing,0.0940290113526,0.134520047367,0.0404910360141
