domain,xai,mental_model,n_participants,strict_best_count,supported_delta_bic_lt_2_count,mean_nll,mean_log_loss,mean_brier,mean_accuracy
all,all,exemplar,15,3,15,8.135565597878761,0.67796379982323,0.242630192623197,0.6000000000000001
all,all,attribution,15,10,15,7.9412799753861725,0.6617733312821811,0.23477192829538743,0.6111111111111112
all,all,prototype,15,2,15,8.18581075240329,0.6821508960336076,0.24466444169881202,0.5555555555555556
diabetes,all,exemplar,15,3,15,8.135565597878761,0.67796379982323,0.242630192623197,0.6000000000000001
diabetes,all,attribution,15,10,15,7.9412799753861725,0.6617733312821811,0.23477192829538743,0.6111111111111112
diabetes,all,prototype,15,2,15,8.18581075240329,0.6821508960336076,0.24466444169881202,0.5555555555555556
all,attribution,exemplar,4,1,4,8.030283503493525,0.6691902919577937,0.23828180371611715,0.6041666666666667
all,attribution,attribution,4,2,4,8.012100931140838,0.6676750775950698,0.23780761498987985,0.5625
all,attribution,prototype,4,1,4,8.161813883634546,0.6801511569695455,0.2435281303017906,0.5
all,counterfactual,exemplar,7,0,7,8.272571220559424,0.6893809350466187,0.24811697550218503,0.6428571428571429
all,counterfactual,attribution,7,6,7,7.818935911153604,0.6515779925961336,0.22952768550259317,0.6785714285714286
all,counterfactual,prototype,7,1,7,8.238026931454856,0.6865022442879046,0.2466781571244035,0.6547619047619048
all,none,exemplar,4,2,4,8.00108785257283,0.6667573210477359,0.2373767114920477,0.5208333333333334
all,none,attribution,4,2,4,8.084561132038505,0.6737134276698754,0.24091366648828513,0.5416666666666667
all,none,prototype,4,0,4,8.11842930783179,0.6765357756526492,0.2422767511010483,0.4375
diabetes,attribution,exemplar,4,1,4,8.030283503493525,0.6691902919577937,0.23828180371611715,0.6041666666666667
diabetes,attribution,attribution,4,2,4,8.012100931140838,0.6676750775950698,0.23780761498987985,0.5625
diabetes,attribution,prototype,4,1,4,8.161813883634546,0.6801511569695455,0.2435281303017906,0.5
diabetes,counterfactual,exemplar,7,0,7,8.272571220559424,0.6893809350466187,0.24811697550218503,0.6428571428571429
diabetes,counterfactual,attribution,7,6,7,7.818935911153604,0.6515779925961336,0.22952768550259317,0.6785714285714286
diabetes,counterfactual,prototype,7,1,7,8.238026931454856,0.6865022442879046,0.2466781571244035,0.6547619047619048
diabetes,none,exemplar,4,2,4,8.00108785257283,0.6667573210477359,0.2373767114920477,0.5208333333333334
diabetes,none,attribution,4,2,4,8.084561132038505,0.6737134276698754,0.24091366648828513,0.5416666666666667
diabetes,none,prototype,4,0,4,8.11842930783179,0.6765357756526492,0.2422767511010483,0.4375
