row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
1,R_7B5Jtq7sogkM7FU,diabetes,training,,,
2,R_7B5Jtq7sogkM7FU,diabetes,training,,,
3,R_7B5Jtq7sogkM7FU,diabetes,training,,,
4,R_7B5Jtq7sogkM7FU,diabetes,training,,,
5,R_7B5Jtq7sogkM7FU,diabetes,training,,,
6,R_7B5Jtq7sogkM7FU,diabetes,training,,,
7,R_7B5Jtq7sogkM7FU,diabetes,training,,,
8,R_7B5Jtq7sogkM7FU,diabetes,training,,,
9,R_7B5Jtq7sogkM7FU,diabetes,training,,,
10,R_7B5Jtq7sogkM7FU,diabetes,training,,,
11,R_7B5Jtq7sogkM7FU,diabetes,training,,,
12,R_7B5Jtq7sogkM7FU,diabetes,training,,,
13,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0940290113526,0.0629368526707,-0.0310921586819
14,R_7B5Jtq7sogkM7FU,diabetes,testing,0.100829307448,0.135054166095,0.034224858647
15,R_7B5Jtq7sogkM7FU,diabetes,testing,0.133559348117,0.0102005992084,-0.123358748909
16,R_7B5Jtq7sogkM7FU,diabetes,testing,0.123472772406,0.00902204817764,-0.114450724228
17,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0682490341438,0.0384228525245,-0.0298261816194
18,R_7B5Jtq7sogkM7FU,diabetes,testing,0.092746834945,0.145954879002,0.0532080440572
19,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0394188750415,0.246046471639,0.206627596597
20,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0809912446199,0.0585132013748,-0.0224780432451
21,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0607615415915,0.0095531287517,-0.0512084128398
22,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0312851432037,0.168986001283,0.13770085808
23,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0626496649029,0.155009055784,0.0923593908808
24,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0869725749526,0.010796171691,-0.0761764032616
25,R_7B5Jtq7sogkM7FU,diabetes,testing,0.180716981102,0.172690044169,-0.00802693693282
26,R_7B5Jtq7sogkM7FU,diabetes,testing,0.109384342924,0.174978533977,0.0655941910525
27,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0914775860938,0.218111109235,0.126633523141
28,R_7B5Jtq7sogkM7FU,diabetes,testing,0.130624164369,0.174607640454,0.0439834760849
29,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0731689967154,0.233886733416,0.160717736701
30,R_7B5Jtq7sogkM7FU,diabetes,testing,0.0659242805367,0.0749790724692,0.00905479193253
31,R_7B5Jtq7sogkM7FU,diabetes,testing,0.109168127264,0.167391068601,0.0582229413369
32,R_7B5Jtq7sogkM7FU,diabetes,testing,0.100760344269,0.0316018760935,-0.0691584681755
33,R_1Gjl0Vj3LRbQDQL,diabetes,training,,,
