participant,domain,xai,n_forward_trials,participant_training_accuracy,fitted_continuous_parameters,best_forward_mental_model,second_best_forward_mental_model,delta_bic_to_second_best,supported_forward_mental_models_delta_bic_lt_2,forward_mental_model_fit_conclusion,forward_mental_model_evidence_strength,final_feature_relevance,final_feature_polarity,exemplar_nll,exemplar_bic,exemplar_mean_log_loss,exemplar_brier,exemplar_accuracy,exemplar_delta_bic,attribution_nll,attribution_bic,attribution_mean_log_loss,attribution_brier,attribution_accuracy,attribution_delta_bic,prototype_nll,prototype_bic,prototype_mean_log_loss,prototype_brier,prototype_accuracy,prototype_delta_bic
R_3MG8uGwV5hZBvNL,diabetes,attribution,12,0.3333333333333333,0,exemplar,attribution,0.489498443157359,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25698060730212885,""blood_pressure"":0.2430193926978712,""bmi"":0.0,""glucose"":0.27650858132389494,""insulin"":0.22349141867610503}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.217512066181898,16.435024132363797,0.6847926721818248,0.2457438467143558,0.6666666666666666,0.0,8.462261287760578,16.924522575521156,0.7051884406467148,0.2553496156650665,0.5833333333333334,0.489498443157359,8.65632151632013,17.31264303264026,0.7213601263600108,0.26311427673862914,0.5833333333333334,0.8776189002764632
R_3Rqq1nU9dD98bDb,diabetes,attribution,12,0.3333333333333333,0,attribution,prototype,0.008458705290028234,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25698060730212885,""blood_pressure"":0.2430193926978712,""bmi"":0.0,""glucose"":0.27650858132389494,""insulin"":0.22349141867610503}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.15738641948581,16.31477283897162,0.6797822016238175,0.24345384581142152,0.6666666666666666,0.2918356170618921,8.011468610954864,16.02293722190973,0.6676223842462387,0.23776882079980025,0.5,0.0,8.015697963599878,16.031395927199757,0.6679748302999898,0.23782982911580433,0.5833333333333334,0.008458705290028234
R_6a94wM1ITk1h1po,diabetes,attribution,12,0.5833333333333334,0,attribution,prototype,0.41358248816240817,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25698060730212885,""blood_pressure"":0.24301939269787118,""bmi"":0.0,""glucose"":0.27650858132389494,""insulin"":0.22349141867610503}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.73825812119701,17.47651624239402,0.7281881767664174,0.26708926042671116,0.4166666666666667,0.46792380876696527,8.504296216813527,17.008592433627054,0.7086913514011273,0.25720328630391665,0.4166666666666667,0.0,8.711087460894731,17.422174921789463,0.725923955074561,0.2656972750760564,0.5,0.41358248816240817
R_7wiYsAy6cA2mUR1,diabetes,attribution,12,0.4166666666666667,0,attribution,prototype,0.6461937345317885,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25698060730212885,""blood_pressure"":0.24301939269787118,""bmi"":0.0,""glucose"":0.27650858132389494,""insulin"":0.22349141867610509}","{""age"":-1.0,""blood_pressure"":1.0,""bmi"":1.0,""glucose"":-1.0,""insulin"":-1.0}",8.50915782608519,17.01831565217038,0.7090964855070991,0.25733648276369825,0.6666666666666666,0.7713664739867703,8.123474589091805,16.24694917818361,0.6769562157576504,0.24165226874995296,0.75,0.0,8.446571456357699,16.893142912715398,0.7038809546964749,0.2547046061944835,0.6666666666666666,0.6461937345317885
R_1CWrMhp5nGpISLk,diabetes,counterfactual,12,0.3333333333333333,0,attribution,prototype,0.7071895746422019,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.262537067317956,16.52507413463591,0.6885447556098296,0.24769887056994921,0.8333333333333334,0.8039671965697277,7.860553469033092,15.721106938066184,0.6550461224194243,0.23106397885837313,0.8333333333333334,0.0,8.214148256354193,16.428296512708386,0.6845123546961828,0.24568310380947433,0.8333333333333334,0.7071895746422019
R_1Gjl0Vj3LRbQDQL,diabetes,counterfactual,12,0.5,0,attribution,prototype,1.303489207606411,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.264135052055062,16.528270104110124,0.6886779210045885,0.2477655369203451,0.75,1.47634427399365,7.525962915058237,15.051925830116474,0.6271635762548531,0.21761620837977458,0.9166666666666666,0.0,8.177707518861443,16.355415037722885,0.6814756265717868,0.2441658026951512,0.8333333333333334,1.303489207606411
R_1hM8ZPOQNryYfzQ,diabetes,counterfactual,12,0.4166666666666667,0,attribution,exemplar,0.08756997463886051,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.315590118815345,16.63118023763069,0.6929658432346121,0.24990934303940304,0.4166666666666667,0.08756997463886051,8.271805131495915,16.54361026299183,0.6893170942913263,0.24813793428994302,0.5,0.0,8.353491540634602,16.706983081269204,0.6961242950528835,0.25148807533934425,0.4166666666666667,0.1633728182773737
R_52rQ67BFIWPT81l,diabetes,counterfactual,12,0.4166666666666667,0,attribution,prototype,1.0890162098291096,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.226874142498385,16.45374828499677,0.6855728452081987,0.24621302046639984,1.0,1.1944779259208413,7.629635179537964,15.259270359075929,0.6358029316281637,0.22151243399831747,0.9166666666666666,0.0,8.17414328445252,16.34828656890504,0.6811786070377099,0.2440168289079612,0.9166666666666666,1.0890162098291096
R_5Qg3F8vwXGPLT2w,diabetes,counterfactual,12,0.16666666666666666,0,exemplar,prototype,0.004249146030943507,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.337258676401662,16.674517352803324,0.6947715563668052,0.25081218277016176,0.3333333333333333,0.0,8.76972910558784,17.53945821117568,0.7308107587989867,0.26862152499501074,0.4166666666666667,0.864940858372357,8.339383249417134,16.678766498834268,0.6949486041180944,0.25090204920463144,0.3333333333333333,0.004249146030943507
R_6SHQ1D1ZGzH7pWU,diabetes,counterfactual,12,0.4166666666666667,0,attribution,prototype,0.6750728529037655,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.25,""blood_pressure"":0.25,""bmi"":0.0,""glucose"":0.2916666666666667,""insulin"":0.20833333333333334}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":0.0,""glucose"":-1.0,""insulin"":-1.0}",8.297179254693049,16.594358509386097,0.6914316045577541,0.24914228013029013,0.6666666666666666,0.7679733415983474,7.913192583893875,15.82638516778775,0.6594327153244895,0.23324031125451006,0.75,0.0,8.250729010345758,16.501458020691516,0.6875607508621465,0.2472078411772004,0.6666666666666666,0.6750728529037655
