domain,xai,mental_model,n_participants,strict_best_count,supported_delta_bic_lt_2_count,mean_nll,mean_log_loss,mean_brier,mean_accuracy
all,all,exemplar,15,3,15,8.359836077200786,0.6966530064333989,0.2515213892024518,0.5833333333333334
all,all,attribution,15,10,15,8.223175739343738,0.6852646449453114,0.24555750048797959,0.6055555555555557
all,all,prototype,15,2,15,8.360099393951067,0.6966749494959221,0.2511480199247226,0.6166666666666667
diabetes,all,exemplar,15,3,15,8.359836077200786,0.6966530064333989,0.2515213892024518,0.5833333333333334
diabetes,all,attribution,15,10,15,8.223175739343738,0.6852646449453114,0.24555750048797959,0.6055555555555557
diabetes,all,prototype,15,2,15,8.360099393951067,0.6966749494959221,0.2511480199247226,0.6166666666666667
all,attribution,exemplar,4,1,4,8.405578608237477,0.7004648840197897,0.25340585892904666,0.6041666666666666
all,attribution,attribution,4,3,4,8.275375176155194,0.6896145980129328,0.24799349787968408,0.5625
all,attribution,prototype,4,0,4,8.457419599293111,0.7047849666077591,0.25533649678124337,0.5833333333333334
all,counterfactual,exemplar,6,1,6,8.283929051963575,0.6903274209969646,0.24859020564942483,0.6666666666666666
all,counterfactual,attribution,6,5,6,7.995146397434488,0.6662621997862073,0.2366987319626548,0.7222222222222222
all,counterfactual,prototype,6,0,6,8.251600476677607,0.6876333730564673,0.24724395018896042,0.6666666666666666
all,none,exemplar,5,1,5,8.414330482656085,0.701194206888007,0.25353123368480834,0.4666666666666666
all,none,attribution,5,2,5,8.45505140018567,0.7045876166821393,0.2542392248050057,0.5
all,none,prototype,5,2,5,8.412441930405581,0.7010368275337984,0.2524821221224204,0.5833333333333333
diabetes,attribution,exemplar,4,1,4,8.405578608237477,0.7004648840197897,0.25340585892904666,0.6041666666666666
diabetes,attribution,attribution,4,3,4,8.275375176155194,0.6896145980129328,0.24799349787968408,0.5625
diabetes,attribution,prototype,4,0,4,8.457419599293111,0.7047849666077591,0.25533649678124337,0.5833333333333334
diabetes,counterfactual,exemplar,6,1,6,8.283929051963575,0.6903274209969646,0.24859020564942483,0.6666666666666666
diabetes,counterfactual,attribution,6,5,6,7.995146397434488,0.6662621997862073,0.2366987319626548,0.7222222222222222
diabetes,counterfactual,prototype,6,0,6,8.251600476677607,0.6876333730564673,0.24724395018896042,0.6666666666666666
diabetes,none,exemplar,5,1,5,8.414330482656085,0.701194206888007,0.25353123368480834,0.4666666666666666
diabetes,none,attribution,5,2,5,8.45505140018567,0.7045876166821393,0.2542392248050057,0.5
diabetes,none,prototype,5,2,5,8.412441930405581,0.7010368275337984,0.2524821221224204,0.5833333333333333
