participant,domain,xai,trial_order,instance_id,participant_response,ai_label,participant_correct,mental_model,predicted_response,response_probability,negative_log_likelihood,brier_score,predicted_participant_response,evidence,memory_instances_before,memory_changes_before,feature_relevance_before
R_3MG8uGwV5hZBvNL,diabetes,attribution,1,130102,No Diabetes,Diabetes,0,attribution,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,1,130102,No Diabetes,Diabetes,0,exemplar,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,1,130102,No Diabetes,Diabetes,0,prototype,Diabetes,0.5,0.6931471805599453,0.25,0,0.0,0,0,"{""age"":0.2,""blood_pressure"":0.2,""bmi"":0.2,""glucose"":0.2,""insulin"":0.2}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,2,130104,No Diabetes,No Diabetes,1,attribution,Diabetes,0.3333333333333333,1.0986122886681098,0.44444444444444453,0,-0.3333333333333333,1,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.6061285398280656,""insulin"":0.3938714601719344}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,2,130104,No Diabetes,No Diabetes,1,exemplar,Diabetes,0.4015433046485586,0.9124398942544282,0.35815041621096794,0,-0.19691339070288283,1,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.6061285398280656,""insulin"":0.3938714601719344}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,2,130104,No Diabetes,No Diabetes,1,prototype,Diabetes,0.3333333333333333,1.0986122886681098,0.44444444444444453,0,-0.3333333333333333,1,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.6061285398280656,""insulin"":0.3938714601719344}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,3,130101,Diabetes,Diabetes,1,attribution,No Diabetes,0.42633338378680696,0.8525336477286269,0.3290933865574949,0,0.296826788340804,2,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.49635001867271383,""insulin"":0.5036499813272862}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,3,130101,Diabetes,Diabetes,1,exemplar,No Diabetes,0.441907104395681,0.8166555900439647,0.31146768012401327,0,0.11618579120863798,2,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.49635001867271383,""insulin"":0.5036499813272862}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,3,130101,Diabetes,Diabetes,1,prototype,No Diabetes,0.3605722970614541,1.0200627957302066,0.4088677872852651,0,0.572881078895281,2,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.49635001867271383,""insulin"":0.5036499813272862}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,4,130103,Diabetes,No Diabetes,0,attribution,No Diabetes,0.4292528251890114,0.845709197539522,0.32575233755472516,0,0.2849002539961924,3,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5128369528152,""insulin"":0.4871630471847999}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,4,130103,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5448672951438238,0.607213009117597,0.2071457790296992,1,-0.08973459028764763,3,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5128369528152,""insulin"":0.4871630471847999}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,4,130103,Diabetes,No Diabetes,0,prototype,No Diabetes,0.4409937395839064,0.8187245995909153,0.3124879991843856,0,0.2371299930143922,3,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5128369528152,""insulin"":0.4871630471847999}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,5,130105,No Diabetes,No Diabetes,1,attribution,No Diabetes,0.5921908681382876,0.523926283666083,0.16630828802980355,1,0.3730297444354611,4,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.4862667438537598,""insulin"":0.5137332561462402}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,5,130105,No Diabetes,No Diabetes,1,exemplar,No Diabetes,0.5566061219410643,0.5858974311346918,0.19659813110014235,1,0.11321224388212864,4,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.4862667438537598,""insulin"":0.5137332561462402}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,5,130105,No Diabetes,No Diabetes,1,prototype,No Diabetes,0.5733197512959517,0.5563116877234353,0.18205603463414852,1,0.2954086906196918,4,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.4862667438537598,""insulin"":0.5137332561462402}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,6,130100,Diabetes,Diabetes,1,attribution,Diabetes,0.5260239799990561,0.6424084779317724,0.22465326753593512,1,-0.10419007135035008,5,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5626950903519201,""insulin"":0.43730490964807994}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,6,130100,Diabetes,Diabetes,1,exemplar,No Diabetes,0.44233002421442985,0.8156990143985549,0.31099580189267834,0,0.11533995157114024,5,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5626950903519201,""insulin"":0.43730490964807994}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,6,130100,Diabetes,Diabetes,1,prototype,Diabetes,0.5662235644634928,0.5687662885488696,0.18816199602675773,1,-0.2664597145474985,5,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5626950903519201,""insulin"":0.43730490964807994}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,7,130106,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5187621472232196,0.6563097913774698,0.2315898709452062,1,0.07508384330454548,6,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5530171626477899,""insulin"":0.44698283735221006}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,7,130106,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.5211231410955609,0.6517689098864858,0.22932304599418207,1,0.042246282191121864,6,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5530171626477899,""insulin"":0.44698283735221006}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,7,130106,No Diabetes,Diabetes,0,prototype,No Diabetes,0.5045738669047455,0.6840410338413525,0.24544705335371683,1,0.018295977972488137,6,0,"{""age"":0.0,""blood_pressure"":0.0,""bmi"":0.0,""glucose"":0.5530171626477899,""insulin"":0.44698283735221006}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,8,130109,Diabetes,No Diabetes,0,attribution,Diabetes,0.5451874671275174,0.6066255670844394,0.2068544400578831,1,-0.18124439351339575,7,0,"{""age"":0.06716718727117439,""blood_pressure"":0.07568995558596847,""bmi"":0.0,""glucose"":0.4740147108409628,""insulin"":0.38312814630189435}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,8,130109,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5687633640843144,0.5642908117019317,0.18596503615587764,1,-0.1375267281686287,7,0,"{""age"":0.06716718727117439,""blood_pressure"":0.07568995558596847,""bmi"":0.0,""glucose"":0.4740147108409628,""insulin"":0.38312814630189435}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,8,130109,Diabetes,No Diabetes,0,prototype,Diabetes,0.5635075397255,0.5735745654223432,0.19052566787648592,1,-0.25540961156906766,7,0,"{""age"":0.06716718727117439,""blood_pressure"":0.07568995558596847,""bmi"":0.0,""glucose"":0.4740147108409628,""insulin"":0.38312814630189435}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,9,130110,Diabetes,No Diabetes,0,attribution,Diabetes,0.5511278189898734,0.5957885203434296,0.20148623488478792,1,-0.205228586234427,8,0,"{""age"":0.12562109650708347,""blood_pressure"":0.12437890349291654,""bmi"":0.0,""glucose"":0.41476287198584244,""insulin"":0.33523712801415756}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,9,130110,Diabetes,No Diabetes,0,exemplar,Diabetes,0.5048220458063734,0.6835492963506344,0.2452012063193854,1,-0.009644091612746708,8,0,"{""age"":0.12562109650708347,""blood_pressure"":0.12437890349291654,""bmi"":0.0,""glucose"":0.41476287198584244,""insulin"":0.33523712801415756}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,9,130110,Diabetes,No Diabetes,0,prototype,Diabetes,0.5426468981257869,0.6112964502664303,0.20917185979396427,1,-0.17100308435971098,8,0,"{""age"":0.12562109650708347,""blood_pressure"":0.12437890349291654,""bmi"":0.0,""glucose"":0.41476287198584244,""insulin"":0.33523712801415756}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,10,130107,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5452649807234146,0.6064833993151241,0.20678393775647652,1,0.1815570055786731,9,0,"{""age"":0.17848702098924557,""blood_pressure"":0.1548463123440878,""bmi"":0.0,""glucose"":0.36867810843185994,""insulin"":0.29798855823480674}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,10,130107,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.5645567474872982,0.5717143734523632,0.18961082615884056,1,0.12911349497459645,9,0,"{""age"":0.17848702098924557,""blood_pressure"":0.1548463123440878,""bmi"":0.0,""glucose"":0.36867810843185994,""insulin"":0.29798855823480674}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,10,130107,No Diabetes,Diabetes,0,prototype,No Diabetes,0.5311269321543662,0.632754242701359,0.2198419537509763,1,0.12466894871764396,9,0,"{""age"":0.17848702098924557,""blood_pressure"":0.1548463123440878,""bmi"":0.0,""glucose"":0.36867810843185994,""insulin"":0.29798855823480674}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,11,130108,No Diabetes,Diabetes,0,attribution,No Diabetes,0.5240460830910423,0.6461756536977814,0.22653213102097902,1,0.09625858895611304,10,0,"{""age"":0.21373652580721064,""blood_pressure"":0.1862634741927894,""bmi"":0.0,""glucose"":0.331810297588674,""insulin"":0.26818970241132606}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,11,130108,No Diabetes,Diabetes,0,exemplar,No Diabetes,0.5033083682248571,0.6865522386246392,0.2467025770754541,1,0.006616736449714222,10,0,"{""age"":0.21373652580721064,""blood_pressure"":0.1862634741927894,""bmi"":0.0,""glucose"":0.331810297588674,""insulin"":0.26818970241132606}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,11,130108,No Diabetes,Diabetes,0,prototype,No Diabetes,0.5043188670459244,0.6845465382536058,0.24569978556663594,1,0.017275897846418822,10,0,"{""age"":0.21373652580721064,""blood_pressure"":0.1862634741927894,""bmi"":0.0,""glucose"":0.331810297588674,""insulin"":0.26818970241132606}"
R_3MG8uGwV5hZBvNL,diabetes,attribution,12,130111,Diabetes,No Diabetes,0,attribution,No Diabetes,0.4993034360083328,0.6945412798482749,0.2506970491930617,0,0.0027862577691978273,11,0,"{""age"":0.2471702804747399,""blood_pressure"":0.20737517407071468,""bmi"":0.0,""glucose"":0.30164572508061266,""insulin"":0.24380882037393278}"
