participant,domain,xai,testing_cases,attribute selection method,best-supported attribute selection method,raw best attribute selection method,attribute selection ranking score,attribute selection average precision,attribute selection score gap,best independent amount method,one-SE independent amount method,amount normalized MAE,change amount method,change amount normalized MAE,amount MAE gap,selection ranking score: Current-case contribution,selection ranking score: Global importance,selection ranking score: Target-profile mismatch,selection ranking score: Nearest target example,selection ranking score: Similar remembered edit,amount MAE: One fixed normalized amount,amount MAE: Feature-specific fixed amount,amount MAE: Target-specific endpoint,amount MAE: Estimated amount needed to flip,amount MAE: Target-profile centre,amount MAE: Nearest target-profile range edge,amount MAE: Nearest target-example value,amount MAE: Remembered edit amount
R_10u9fEU6tjcCgkp,diabetes,none,20,Unclear or overlapping,Nearest target example,Nearest target example,0.5708333333333333,0.710486111111111,0.025000000000000022,One fixed normalized amount,One fixed normalized amount,0.06038909448950543,One fixed normalized amount,0.06038909448950543,0.006770104616508343,0.4208333333333333,0.36249999999999993,0.5458333333333333,0.5708333333333333,,0.06038909448950543,0.06715919910601377,0.13894717433053416,0.19945513182637534,0.11476714777569526,0.0916854787909746,0.09824861911466837,
R_1CWrMhp5nGpISLk,diabetes,counterfactual,20,Unclear or overlapping,Unclear,Current-case contribution,0.4583333333333333,0.6363888888888889,0.05833333333333335,Target-specific endpoint,Target-specific endpoint,0.06438305208680059,Target-specific endpoint,0.06438305208680059,0.012348268487052547,0.4583333333333333,0.35,0.375,0.39999999999999997,0.37499999999999994,0.09198826794953834,0.10219113444306749,0.06438305208680059,0.21924185134520333,0.07673132057385314,0.15735570369891877,0.11049269819431998,0.20655715241447078
R_1Gjl0Vj3LRbQDQL,diabetes,counterfactual,20,Unclear or overlapping,Nearest target example,Nearest target example,0.5999999999999999,0.7547222222222222,0.03749999999999998,Target-specific endpoint,Target-specific endpoint,0.09527496668620301,Target-specific endpoint,0.09527496668620301,0.01463471535731073,0.5541666666666666,0.5291666666666666,0.5624999999999999,0.5999999999999999,0.5291666666666666,0.11452747437551873,0.13222557769033733,0.09527496668620301,0.1666859527935376,0.11983586656906231,0.12927776083455406,0.10990968204351374,0.1949177030444837
R_1hM8ZPOQNryYfzQ,diabetes,counterfactual,20,Unclear or overlapping,Unclear,Nearest target example,0.4666666666666666,0.6181944444444445,0.033333333333333326,One fixed normalized amount,One fixed normalized amount,0.08443352462818168,One fixed normalized amount,0.08443352462818168,0.012246354334699963,0.4083333333333333,0.4333333333333333,0.35,0.4666666666666666,0.3416666666666667,0.08443352462818168,0.09667987896288165,0.15411223188793893,0.23465532406570144,0.1353242031774663,0.18211315579936363,0.1472018755415901,0.23117472459104094
R_3MG8uGwV5hZBvNL,diabetes,attribution,20,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.575,0.7104166666666666,0.04999999999999993,Target-specific endpoint,Target-specific endpoint,0.09065207357392227,Target-specific endpoint,0.09065207357392227,0.04850430624265975,0.4,0.25,0.575,0.525,,0.14817779459376473,0.17607333930262972,0.09065207357392227,0.21355232758299234,0.13915637981658202,0.1459974912285315,0.16654775425983065,
R_3Rqq1nU9dD98bDb,diabetes,attribution,20,Unclear or overlapping,Target-profile mismatch,Target-profile mismatch,0.5458333333333333,0.704236111111111,0.04583333333333328,Feature-specific fixed amount,One fixed normalized amount,0.12086537330566167,One fixed normalized amount,0.13592011703310666,0.015054743727444989,0.3958333333333333,0.34583333333333327,0.5458333333333333,0.5,,0.13592011703310666,0.12086537330566167,0.14213747713324887,0.2372349169356331,0.19633839655367752,0.16186245205871647,0.181391174819918,
R_3pV2gsUjgx4OTvP,diabetes,none,20,Unclear or overlapping,Unclear,Target-profile mismatch,0.3833333333333333,0.5380555555555555,0.10833333333333328,Target-specific endpoint,Target-specific endpoint,0.06526735213398235,Target-specific endpoint,0.06526735213398235,0.03804822742028369,0.24166666666666664,0.2,0.3833333333333333,0.275,,0.14431074297211566,0.13448747938334066,0.06526735213398235,0.33039536210034,0.10331557955426604,0.1490985116328448,0.12687017988778343,
R_52rQ67BFIWPT81l,diabetes,counterfactual,20,Unclear or overlapping,Nearest target example,Nearest target example,0.6624999999999999,0.7841666666666666,0.012499999999999845,Target-specific endpoint,Target-specific endpoint,0.05518049014557057,Target-specific endpoint,0.05518049014557057,0.07084808903323402,0.5333333333333333,0.65,0.6416666666666666,0.6624999999999999,0.575,0.13566205587611793,0.14562289086141042,0.05518049014557057,0.244607403594775,0.12602857917880458,0.20093612608977676,0.14421963217412612,0.2502937291369158
R_5Qg3F8vwXGPLT2w,diabetes,counterfactual,20,Unclear or overlapping,Similar remembered edit,Similar remembered edit,0.55,0.7149999999999999,0.01666666666666672,Target-specific endpoint,Target-specific endpoint,0.10426329786100808,Target-specific endpoint,0.10426329786100808,0.02969529887200484,0.4291666666666666,0.5333333333333333,0.5,0.4625,0.55,0.15134425930767956,0.1339585967330129,0.10426329786100808,0.22474093933173767,0.13754643285398332,0.1716065181036805,0.14717020026599026,0.23294927806375054
R_6SHQ1D1ZGzH7pWU,diabetes,counterfactual,20,Current-case contribution,Current-case contribution,Current-case contribution,0.8208333333333334,0.9090972222222222,0.050000000000000155,Target-specific endpoint,Target-specific endpoint,0.09508750876623392,Target-specific endpoint,0.09508750876623392,0.10747398923581936,0.8208333333333334,0.7541666666666667,0.7708333333333333,0.6083333333333333,0.6749999999999999,0.21308794937761116,0.20256149800205328,0.09508750876623392,0.35962388458065886,0.2652715089299336,0.35580949295711817,0.33529128463666935,0.4266503875634092
