participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_10w1gLcxE6Z3lKz,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.1,nan,nan,1,4,0.22416714225854178,0.7606573131903744,0.20899159770745807,0.6325000000000001,1.695915372814746,0.2279821724920879,0.7582512024813303,0.21421554746550617,0.6325000000000001,1.7313189939248705,0
R_10w1gLcxE6Z3lKz,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.20732150173804959,0.773360253693681,0.1880032571697801,0.7758333333333333,1.6899284277380768,0.20732150173804964,0.7733602536936809,0.18800325716978014,0.7758333333333333,1.6899284277380766,1
R_114PY2RVwPs2JYn,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,0.05,nan,nan,1,4,0.2390099581530197,0.6657916416301911,0.14381155793623063,0.875,1.072332451695007,0.2530212950814471,0.6329178410230327,0.13896043118592688,0.875,1.2848132108710373,1
R_114PY2RVwPs2JYn,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.15,6.0,1.0,1,4,0.24805592335202045,0.6024104127862911,0.09852225949033205,0.8875,1.356743377638049,0.28182154837843104,0.5347147214644445,0.0983578182213067,0.8875,1.741662389527209,0
R_115RFOkGSKqBHcK,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.25,nan,nan,1,4,0.29161262975157265,0.6291161006620707,0.2123413601652159,0.7791666666666666,1.482108675794341,0.30651728776305803,0.628067341217206,0.24110191674332201,0.7041666666666666,1.5762024286119192,1
R_115RFOkGSKqBHcK,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,2.0,0.0,1,4,0.3153660230045259,0.5820452970354278,0.21277734304447948,0.85,1.8395938910460696,0.31606763458183523,0.5802554685549479,0.21239073771861844,0.85,1.8639136395107392,0
R_16aIyx4WNzXpeJZ,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.0,0.15,nan,nan,1,4,0.45856513612412914,0.30669978711639956,0.2238300593646579,0.6308333333333334,1.8911993867687351,0.4599000047023819,0.29502807819678867,0.21482808760155253,0.6808333333333334,2.0456190892245565,1
R_16aIyx4WNzXpeJZ,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,6.0,0.0,1,4,0.4693074951825905,0.3149878115162134,0.25360280188139456,0.76,2.0297726627243677,0.48035199404208895,0.3096975982865453,0.2704015863707231,0.76,2.062767299622082,0
R_1LZ1lrQmsKRRlU5,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.5,0.05,nan,nan,0,4,0.20656660277882227,0.733715447389062,0.14684865294670646,0.95,0.6245239067320456,0.2085756822529024,0.7305772712251113,0.14772863573091627,0.95,0.636383639811347,1
R_1LZ1lrQmsKRRlU5,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.2826670191615458,0.6215081807575416,0.18684221908063314,1.0,1.0708319488678666,0.2826670191615458,0.6215081807575416,0.18684221908063317,1.0,1.0708319488678666,0
