participant,domain,xai,n_counterfactual_responses,best_counterfactual_strategy,minimum_loss_counterfactual_strategy,strategy_selection_rule,selected_strategy_fitted_parameter_count,supported_counterfactual_strategies_one_se,counterfactual_strategy_fit_conclusion,counterfactual_implied_mental_model,supported_counterfactual_implied_mental_models,best_strategy_cv_mean_normalized_l1,best_strategy_cv_feature_selection_f1,best_strategy_cv_direction_accuracy,best_strategy_cv_mean_sparsity_difference,minimum_loss_strategy_cv_mean_normalized_l1,counterfactual_strategy_gap_to_second_best,best_strategy_full_data_k,best_strategy_full_data_fixed_amount,available_strategy_count,training_responses_used_for_assignment,change_most_influential_attributes_by_fixed_amount__cv_mean_normalized_l1,change_most_influential_attributes_by_fixed_amount__cv_feature_f1,change_most_influential_attributes_by_fixed_amount__cv_direction_accuracy,change_most_influential_attributes_by_fixed_amount__full_data_k,change_most_influential_attributes_by_fixed_amount__full_data_fixed_amount,change_most_influential_attributes_by_fixed_amount__one_se_margin_from_best,change_largest_target_profile_mismatches__cv_mean_normalized_l1,change_largest_target_profile_mismatches__cv_feature_f1,change_largest_target_profile_mismatches__cv_direction_accuracy,change_largest_target_profile_mismatches__full_data_k,change_largest_target_profile_mismatches__full_data_fixed_amount,change_largest_target_profile_mismatches__one_se_margin_from_best,change_most_influential_attributes_to_flip__cv_mean_normalized_l1,change_most_influential_attributes_to_flip__cv_feature_f1,change_most_influential_attributes_to_flip__cv_direction_accuracy,change_most_influential_attributes_to_flip__full_data_k,change_most_influential_attributes_to_flip__full_data_fixed_amount,change_most_influential_attributes_to_flip__one_se_margin_from_best,change_most_contributing_attributes__cv_mean_normalized_l1,change_most_contributing_attributes__cv_feature_f1,change_most_contributing_attributes__cv_direction_accuracy,change_most_contributing_attributes__full_data_k,change_most_contributing_attributes__full_data_fixed_amount,change_most_contributing_attributes__one_se_margin_from_best,change_attributes_not_matching_target_profile__cv_mean_normalized_l1,change_attributes_not_matching_target_profile__cv_feature_f1,change_attributes_not_matching_target_profile__cv_direction_accuracy,change_attributes_not_matching_target_profile__full_data_k,change_attributes_not_matching_target_profile__full_data_fixed_amount,change_attributes_not_matching_target_profile__one_se_margin_from_best,set_attributes_to_target_profile_values__cv_mean_normalized_l1,set_attributes_to_target_profile_values__cv_feature_f1,set_attributes_to_target_profile_values__cv_direction_accuracy,set_attributes_to_target_profile_values__full_data_k,set_attributes_to_target_profile_values__full_data_fixed_amount,set_attributes_to_target_profile_values__one_se_margin_from_best,change_toward_remembered_exemplar__cv_mean_normalized_l1,change_toward_remembered_exemplar__cv_feature_f1,change_toward_remembered_exemplar__cv_direction_accuracy,change_toward_remembered_exemplar__full_data_k,change_toward_remembered_exemplar__full_data_fixed_amount,change_toward_remembered_exemplar__one_se_margin_from_best,copy_changes_from_remembered_example__cv_mean_normalized_l1,copy_changes_from_remembered_example__cv_feature_f1,copy_changes_from_remembered_example__cv_direction_accuracy,copy_changes_from_remembered_example__full_data_k,copy_changes_from_remembered_example__full_data_fixed_amount,copy_changes_from_remembered_example__one_se_margin_from_best
R_115RFOkGSKqBHcK,diabetes,attribution,20,change_largest_target_profile_mismatches,change_most_influential_attributes_by_fixed_amount,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,change_most_influential_attributes_by_fixed_amount / change_largest_target_profile_mismatches / change_most_influential_attributes_to_flip / change_most_contributing_attributes,one-SE simplest: change_largest_target_profile_mismatches; supported: change_most_influential_attributes_by_fixed_amount / change_largest_target_profile_mismatches / change_most_influential_attributes_to_flip / change_most_contributing_attributes,prototype,attribution / prototype,0.13328408655545348,0.6983333333333333,0.8421052631578947,0.2,0.12548122993052177,0.007802856624931714,2,,7,0,0.12548122993052177,0.8233333333333333,0.75,2,0.5249999999999999,0.0,0.13328408655545348,0.6983333333333333,0.8421052631578947,2,,0.012659261415619781,0.1351641610269973,0.4533333333333333,0.9285714285714286,1,,0.020507613948145622,0.14231023689609262,0.41166666666666674,1.0,2,,0.019506993247546806,0.1443158255814977,0.6663492063492062,0.825,,,0.014552420366363249,0.14862842863248243,0.6983333333333333,0.8421052631578947,2,,0.012908159351434948,0.1910781286189052,0.4116666666666666,0.9230769230769231,1,,0.028481070805100907,,,,,,
R_16aIyx4WNzXpeJZ,diabetes,attribution,20,change_most_contributing_attributes,change_most_influential_attributes_by_fixed_amount,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,change_most_influential_attributes_by_fixed_amount / change_most_contributing_attributes / change_most_influential_attributes_to_flip,one-SE simplest: change_most_contributing_attributes; supported: change_most_influential_attributes_by_fixed_amount / change_most_contributing_attributes / change_most_influential_attributes_to_flip,attribution,attribution,0.13687878795123798,0.325,0.875,0.75,0.126200804683096,0.010677983268141983,1,,7,0,0.126200804683096,0.195,0.8333333333333334,1,0.025,0.0,0.17846557815278816,0.175,0.8,1,,0.018216004059679568,0.14072192568708577,0.175,0.8,1,,0.014702866446322469,0.13687878795123798,0.325,0.875,1,,0.016537423531947003,0.20264068966760976,0.30968253968253967,0.8541666666666666,,,0.021736461909831677,0.19099440113792554,0.175,0.8,1,,0.018933789461935694,0.15627912891533643,0.325,0.875,1,,0.017732088556084054,,,,,,
R_1LZ1lrQmsKRRlU5,diabetes,attribution,20,change_most_influential_attributes_by_fixed_amount,change_most_influential_attributes_by_fixed_amount,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,2,change_most_influential_attributes_by_fixed_amount,one-SE simplest: change_most_influential_attributes_by_fixed_amount (only supported strategy),attribution,attribution,0.041639644785315136,0.85,1.0,0.35,0.041639644785315136,0.02793253003797748,2,0.19999999999999998,7,0,0.041639644785315136,0.85,1.0,2,0.19999999999999998,0.0,0.0836611186079685,0.7833333333333333,1.0,2,,0.016013114928448417,0.06957217482329262,0.5666666666666665,1.0,1,,0.012455485088122263,0.08121436146438196,0.4833333333333333,1.0,2,,0.01633688955685139,0.11178517557410832,0.599047619047619,1.0,,,0.018431229900944222,0.10198117721881676,0.6166666666666665,1.0,1,,0.018528229239850237,0.08802564767256357,0.4833333333333332,1.0,1,,0.01790810714002043,,,,,,
R_1RVUILTQODF6RIQ,diabetes,attribution,20,change_most_influential_attributes_by_fixed_amount,change_most_influential_attributes_by_fixed_amount,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,2,change_most_influential_attributes_by_fixed_amount,one-SE simplest: change_most_influential_attributes_by_fixed_amount (only supported strategy),attribution,attribution,0.07293381484975217,0.5166666666666666,1.0,0.95,0.07293381484975217,0.014793683933695137,1,0.19999999999999998,7,0,0.07293381484975217,0.5166666666666666,1.0,1,0.19999999999999998,0.0,0.12137270836705645,0.38333333333333336,1.0,1,,0.009722467842107226,0.08772749878344731,0.35,1.0,1,,0.006508400635601428,0.09922321974242863,0.33333333333333337,1.0,2,,0.011320612939014518,0.1519270868366273,0.5407142857142857,0.9,,,0.014924239052641558,0.1348367464516667,0.38333333333333336,1.0,1,,0.010916878482319092,0.11805405796317037,0.4,0.8333333333333334,1,,0.012257957222360727,,,,,,
R_1oOTnAKNxXabpDz,diabetes,attribution,20,change_most_influential_attributes_to_flip,change_most_influential_attributes_by_fixed_amount,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,change_most_influential_attributes_by_fixed_amount / change_most_influential_attributes_to_flip,one-SE simplest: change_most_influential_attributes_to_flip; supported: change_most_influential_attributes_by_fixed_amount / change_most_influential_attributes_to_flip,attribution,attribution,0.0638715077986278,0.4166666666666667,0.9090909090909091,0.75,0.06151698804031552,0.0023545197583122734,1,,7,0,0.06151698804031552,0.7166666666666666,0.7647058823529411,2,0.025,0.0,0.09276363322725194,0.4166666666666667,0.9090909090909091,1,,0.01509483772400024,0.0638715077986278,0.4166666666666667,0.9090909090909091,1,,0.011363211975118035,0.07641573337901006,0.35,0.9,2,,0.013059378746555049,0.1335290533666178,0.5116666666666668,0.8421052631578947,,,0.01937641426472857,0.10622767131186221,0.4166666666666667,0.9090909090909091,1,,0.015514976266670494,0.08049950149299176,0.38333333333333336,1.0,1,,0.011203679899373948,,,,,,
R_31Mz4GTXDqENy8N,diabetes,attribution,20,change_most_influential_attributes_by_fixed_amount,change_most_influential_attributes_by_fixed_amount,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,2,change_most_influential_attributes_by_fixed_amount,one-SE simplest: change_most_influential_attributes_by_fixed_amount (only supported strategy),attribution,attribution,0.142616030985043,0.3666666666666666,0.0,1.1,0.142616030985043,0.04977419604375313,1,0.025,7,0,0.142616030985043,0.3666666666666666,0.0,1,0.025,0.0,0.23565575769398722,0.25,0.0,1,,0.01041115428852971,0.19239022702879613,0.225,0.0,1,,0.010572132732324362,0.20179431922475288,0.16666666666666666,0.0,1,,0.012020671879536853,0.2974404555039435,0.5182142857142856,0.14912280701754385,,,0.01760858122208737,0.24911979577859747,0.25,0.0,1,,0.009839833804868917,0.21800419554638745,0.30833333333333335,0.1,1,,0.008825370571686048,,,,,,
R_3rGhvjDW2CG2R21,diabetes,attribution,20,set_attributes_to_target_profile_values,set_attributes_to_target_profile_values,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,set_attributes_to_target_profile_values / change_largest_target_profile_mismatches / change_most_influential_attributes_by_fixed_amount,one-SE simplest: set_attributes_to_target_profile_values; supported: set_attributes_to_target_profile_values / change_largest_target_profile_mismatches / change_most_influential_attributes_by_fixed_amount,prototype,attribution / prototype,0.05616998384972841,0.8166666666666667,1.0,0.45,0.05616998384972841,0.002228543109958722,1,,7,0,0.06415301651001255,0.7916666666666666,0.9444444444444444,1,0.975,0.00874630671119242,0.058398526959687135,0.8166666666666667,1.0,1,,0.0037804226340515863,0.08968484835268685,0.7,1.0,1,,0.00979020612903018,0.1176376607849114,0.4666666666666666,1.0,2,,0.016919452149118976,0.11697496921386714,0.48,0.975,,,0.009882591792064053,0.05616998384972841,0.8166666666666667,1.0,1,,0.0,0.11911603533352655,0.5916666666666666,1.0,1,,0.01971902345379208,,,,,,
R_57Nbl64Oy88tjvc,diabetes,attribution,20,change_most_influential_attributes_to_flip,change_most_influential_attributes_to_flip,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,change_most_influential_attributes_to_flip,one-SE simplest: change_most_influential_attributes_to_flip (only supported strategy),attribution,attribution,0.04882546437472264,0.6416666666666666,1.0,0.5,0.04882546437472264,0.014670366848007058,1,,7,0,0.06374002175524074,0.775,1.0,1,0.35,0.006158828661036643,0.06641467449718724,0.675,1.0,1,,0.008140300179588172,0.04882546437472264,0.6416666666666666,1.0,1,,0.0,0.0634958312227297,0.5833333333333333,1.0,2,,0.011697331850989773,0.10739921657968257,0.4969047619047619,1.0,,,0.015570016409580997,0.07987871258179749,0.675,1.0,1,,0.009792501300445657,0.09729539864510522,0.525,1.0,1,,0.016692122915261134,,,,,,
R_5Hc1H0M4IGqJjKm,diabetes,attribution,20,change_most_influential_attributes_to_flip,change_most_influential_attributes_to_flip,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,change_most_influential_attributes_to_flip,one-SE simplest: change_most_influential_attributes_to_flip (only supported strategy),attribution,attribution,0.09288483322551401,0.5283333333333332,1.0,1.25,0.09288483322551401,0.005839050139512386,1,,7,0,0.13015377671377173,0.5533333333333333,1.0,1,0.375,0.008784094154398651,0.1069987101062555,0.6683333333333332,1.0,2,,0.008221516959144448,0.09288483322551401,0.5283333333333332,1.0,1,,0.0,0.0987238833650264,0.4783333333333332,1.0,2,,0.0028392177785118264,0.1327299069904677,0.5354761904761904,1.0,,,0.010130678458541325,0.14248399039541906,0.47833333333333333,1.0,1,,0.008693742661012386,0.1498801704374902,0.445,0.9230769230769231,1,,0.014941746390760765,,,,,,
R_5JI5iMSG9mxddrR,diabetes,attribution,20,change_largest_target_profile_mismatches,change_largest_target_profile_mismatches,fewest fitted parameters within paired one-SE support set; CV loss breaks complexity ties,1,change_largest_target_profile_mismatches / change_most_influential_attributes_to_flip,one-SE simplest: change_largest_target_profile_mismatches; supported: change_largest_target_profile_mismatches / change_most_influential_attributes_to_flip,prototype,attribution / prototype,0.13260278103321504,0.6516666666666666,0.9473684210526315,0.5,0.13260278103321504,0.00951437586868542,2,,7,0,0.17758112507525714,0.4733333333333333,1.0,1,0.575,0.011822004740441292,0.13260278103321504,0.6516666666666666,0.9473684210526315,2,,0.0,0.1449794920332687,0.4833333333333333,1.0,1,,0.015199996927469032,0.1500090430758232,0.3916666666666667,1.0,2,,0.014798995747832808,0.14211715690190047,0.6050000000000001,0.9333333333333332,,,0.006619752848257859,0.1452658352282562,0.6516666666666666,0.9473684210526315,2,,0.005434695959208162,0.1681846978899593,0.4333333333333333,0.9333333333333333,1,,0.015683234941995094,,,,,,
