domain,xai,strategy,implied_mental_model,n_participants_with_strategy_available,n_participants_in_group,strict_best_count,selected_one_se_simplest_count,supported_one_se_count,mean_cv_normalized_l1,mean_cv_feature_f1,mean_cv_direction_accuracy
all,all,change_most_contributing_attributes,attribution,60,60,5,8,18,0.09979739197616166,0.42752777777777773,0.9235828523328523
all,all,change_most_influential_attributes_to_flip,attribution,60,60,12,15,29,0.09478170922162606,0.46886111111111106,0.9108326395826396
all,all,change_most_influential_attributes_by_fixed_amount,attribution,60,60,34,22,42,0.08628598681725184,0.645875,0.8773339138286893
all,all,set_attributes_to_target_profile_values,prototype,60,60,1,1,3,0.12237632196759149,0.4968743386243386,0.9026379285202815
all,all,change_attributes_not_matching_target_profile,prototype,60,60,2,4,4,0.1314667206614536,0.5176997354497355,0.896822790499261
all,all,change_largest_target_profile_mismatches,prototype,60,60,6,9,15,0.10866336329785543,0.5200423280423281,0.9036810592228548
all,all,change_toward_remembered_exemplar,exemplar,60,60,0,0,0,0.13481999596124863,0.36101388888888886,0.8728203706696355
all,all,copy_changes_from_remembered_example,shared change memory,19,60,0,1,3,0.11283212372957785,0.5298245614035086,0.8271534098403904
diabetes,all,change_most_contributing_attributes,attribution,60,60,5,8,18,0.09979739197616166,0.42752777777777773,0.9235828523328523
diabetes,all,change_most_influential_attributes_to_flip,attribution,60,60,12,15,29,0.09478170922162606,0.46886111111111106,0.9108326395826396
diabetes,all,change_most_influential_attributes_by_fixed_amount,attribution,60,60,34,22,42,0.08628598681725184,0.645875,0.8773339138286893
diabetes,all,set_attributes_to_target_profile_values,prototype,60,60,1,1,3,0.12237632196759149,0.4968743386243386,0.9026379285202815
diabetes,all,change_attributes_not_matching_target_profile,prototype,60,60,2,4,4,0.1314667206614536,0.5176997354497355,0.896822790499261
diabetes,all,change_largest_target_profile_mismatches,prototype,60,60,6,9,15,0.10866336329785543,0.5200423280423281,0.9036810592228548
diabetes,all,change_toward_remembered_exemplar,exemplar,60,60,0,0,0,0.13481999596124863,0.36101388888888886,0.8728203706696355
diabetes,all,copy_changes_from_remembered_example,shared change memory,19,60,0,1,3,0.11283212372957785,0.5298245614035086,0.8271534098403904
all,attribution,change_most_contributing_attributes,attribution,18,18,0,2,4,0.1098254578533049,0.37777777777777777,0.8887345679012346
all,attribution,change_most_influential_attributes_to_flip,attribution,18,18,2,5,9,0.09877114064269228,0.4519444444444443,0.8682248307248308
