participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_12myev0XH9WOz3H,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.05,nan,nan,0,4,0.43698108880578834,0.48110633414023757,0.3550685117518141,0.4416666666666666,2.0383257832505546,0.4582540407465988,0.45302938850073354,0.3695374699939312,0.4416666666666666,2.1943645655322594,0
R_12myev0XH9WOz3H,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.0,2.0,1.0,1,4,0.3633093804942701,0.5174032845633773,0.2440220455519173,0.5,1.819843529177898,0.3777802809909752,0.4739358992519641,0.2294964612339146,0.5666666666666667,2.1786251822903333,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.0,nan,nan,1,4,0.3493758374780419,0.5684805205762868,0.26723219553237054,0.4833333333333333,1.7149162616729843,0.3493758374780419,0.5684805205762868,0.2672321955323706,0.4833333333333333,1.7149162616729838,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,6.0,0.0,1,4,0.38979044685102693,0.4676029218936325,0.2471838155956864,0.5333333333333333,2.675859409377555,0.38979044685102693,0.4676029218936325,0.24718381559568633,0.5333333333333333,2.675859409377555,0
R_1CKtpMfx1ihpfn1,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,1.0,0.0,nan,nan,0,4,0.19530033485758275,0.9060497590274232,0.2966504287425888,0.32499999999999996,0.5366969011523526,0.19342224989964718,0.9039617209035737,0.29080622070286816,0.32499999999999996,0.5756687312409857,1
R_1CKtpMfx1ihpfn1,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,1.0,0,4,0.23660044008250783,0.8627535282878899,0.33595440845290564,0.32499999999999996,0.9009205523836517,0.23660044008250783,0.8627535282878901,0.33595440845290564,0.32499999999999996,0.9009205523836517,0
R_1Fh1UMJw1me9wFr,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.1,nan,nan,0,4,0.18123795390468517,0.7690191309596595,0.13149503876902988,0.9708333333333332,0.8249363620367701,0.18360115792901244,0.7690191309596595,0.13622144681768444,0.9708333333333334,0.8249363620367701,1
R_1Fh1UMJw1me9wFr,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.05,6.0,0.0,0,4,0.18993669974856725,0.7067457234066615,0.08661912290379607,0.9666666666666666,1.213529903047239,0.19270751178992057,0.7067457234066616,0.0921607469865027,0.9666666666666666,1.2135299030472386,0
R_1KMTwE2iCLDGMxz,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.0,nan,nan,0,4,0.49373741243020747,0.2861974403231273,0.27367226518354215,0.95,1.5262986071930513,0.5037374124302074,0.2861974403231273,0.2936722651835423,0.95,1.526298607193051,0
R_1KMTwE2iCLDGMxz,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.05,2.0,0.0,0,4,0.3526122398469962,0.38561956391773794,0.0908440436117304,0.95,1.2983834931807772,0.3620557575433903,0.3793724364984089,0.10348395158518948,0.95,1.3392321939929015,1
R_1QfQiW4jahDRgtB,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.0,0.15,nan,nan,0,4,0.5276748937902032,0.19164177330614002,0.24699156088654634,0.5,2.070117032544643,0.5426149557163382,0.1745504285706497,0.25978034000332595,0.45,2.1425116412693925,0
R_1QfQiW4jahDRgtB,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.05,6.0,0.0,0,4,0.47111346546225785,0.2578458209696185,0.20007275189413418,0.6,1.900660609614733,0.4750542882792672,0.25784582096961844,0.2079543975281528,0.6,1.900660609614733,1
R_1ReJOex9cmkqbNa,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.15,nan,nan,1,4,0.40038159154490105,0.3920042839446385,0.19276746703444067,1.0,1.8428748985085204,0.40402001545779653,0.3920042839446385,0.20004431486023147,1.0,1.8428748985085206,0
R_1ReJOex9cmkqbNa,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.1,2.0,1.0,0,4,0.31254494324530085,0.4976252082481252,0.12271509473872691,1.0,1.5621860479265026,0.3384710834619004,0.4486253005403629,0.12556746746416375,1.0,1.8150258242139288,1
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.0,0.15,nan,nan,0,4,0.19785368280674678,0.7262359641567704,0.12194332977026412,0.9875,0.6491003309924287,0.20975025168111064,0.7193919261867376,0.13889242954895892,0.9875,0.6942874947954651,1
R_1TZbMIIo6RtFnsb,diabetes,attribution,20,weighted examples,observed per instance,0.5,nan,0.05,6.0,0.0,0,4,0.2183448998092933,0.6630216527769128,0.09971145239549954,0.9333333333333332,0.9261011402332331,0.22740529619826083,0.6464230534535746,0.10123364585009638,0.9333333333333332,0.9964029399344998,0
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,1.0,0.2,nan,nan,1,4,0.204594861324642,0.6944215220455202,0.10361124469480423,0.95,1.0085228510190862,0.20797128117518038,0.6944215220455202,0.11036408439588101,0.95,1.0085228510190862,1
R_1WAqgPTkRSdmI9W,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.1,6.0,0.0,1,4,0.4053732732712554,0.45414745619829866,0.26489400274080943,0.6125,3.142781482053285,0.41897522016978306,0.43550063493958674,0.27345107527915286,0.6124999999999998,3.3316917381368425,0
R_1bN1m4OYZIanJ5K,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.0,nan,nan,0,4,0.32575968998838983,0.5423825115881826,0.19390189156496232,0.975,1.1508807189357753,0.327463278968827,0.5423825115881826,0.19730906952583666,0.975,1.1508807189357753,1
R_1bN1m4OYZIanJ5K,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.2725598358225826,0.5365747425675578,0.08169441421272298,1.0,1.5642783372194013,0.2725598358225826,0.5365747425675578,0.08169441421272298,1.0,1.5642783372194011,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.5,0.0,nan,nan,0,4,0.24428075102158298,0.6551576476013838,0.1437191496445498,0.7083333333333333,1.2194676148778787,0.24428075102158298,0.6551576476013838,0.14371914964454985,0.7083333333333333,1.219467614877879,0
R_1hF6UnZQsvvwBCX,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.22712987413488922,0.6737712160191469,0.12803096428892535,0.7291666666666666,1.0605382671386605,0.22528526635476837,0.6748226134309018,0.1253931461404386,0.7291666666666666,1.0713523413509514,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,feature contribution,observed per instance,0.5,0.0,0.05,nan,nan,0,4,0.21622529472406274,0.6726819704442698,0.10513255989239523,0.975,1.2429489329619814,0.2193704199021956,0.6726819704442698,0.11142281024866099,0.975,1.2429489329619816,1
R_1ihbKBZG0EAXF8D,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.1,6.0,0.5,0,4,0.24438296881423915,0.6151251067454218,0.10389104437390007,0.9,1.6053728586136473,0.24797402847935013,0.6151251067454219,0.11107316370412201,0.9,1.6053728586136469,0
R_1jEfVgE4WoI6fVO,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,0.0,nan,nan,1,4,0.5251821005047019,0.2273671357958295,0.2777313368052333,0.6,1.5675153299063846,0.5251821005047019,0.2273671357958295,0.2777313368052333,0.6,1.5675153299063846,0
R_1jEfVgE4WoI6fVO,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.4089665157371692,0.3462448565122181,0.16417788798655636,0.8,1.5282152828297648,0.4124445462082524,0.3413284264258321,0.16621751884233676,0.8,1.5520796218358741,1
