participant,domain,xai,testing cases,memory variant,model family,k,attention rate,xai weight,specificity,alpha,rho,beta,memory decay,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_12myev0XH9WOz3H,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,0.25,0.5,6.0,1.0,0.0,nan,0.0,0,0.3319899268999411,0.6614476053826096,0.32542745918249183,0.5,1.004215013208899,0.3546320296433748,0.6199385420548279,0.3292026013415775,0.5,1.1695424142100335,1
R_12myev0XH9WOz3H,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.0,0.0,4.0,0,0.36330843849438804,0.5486766118406436,0.27529348882941973,0.4166666666666667,1.8399832007067953,0.3704572507687648,0.48628460782537586,0.2271991093629054,0.4833333333333333,2.1801591255368638,0
R_12myev0XH9WOz3H,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.0,nan,nan,0,0.4224525819475303,0.5125,0.3574051638950607,0.5,1.528207148957748,0.42245258194753044,0.5125,0.3574051638950607,0.5,1.528207148957748,1
R_12myev0XH9WOz3H,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.1,0.5,nan,0,0.33906887095759186,0.5495785358080558,0.22771627772323946,0.525,1.8173968405564522,0.3732889098931263,0.48082007641226143,0.22739789619851397,0.55,2.1667442871516114,0
R_156Kmlz4ECsrHQR,diabetes,attribution,20,memory variation,feature contribution,observed per instance,1.0,0.5,6.0,1.0,0.0,nan,0.0,1,0.34913411529180804,0.5593525360205429,0.25762076660415906,0.5333333333333333,1.8161687783834561,0.3570193864319832,0.5393013136153427,0.25334008647930917,0.5333333333333333,2.091684343501458,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,memory variation,weighted examples,observed per instance,1.0,0.0,6.0,nan,0.0,0.0,0.5,1,0.38559034433282185,0.4784407650913777,0.24962145375702144,0.5583333333333333,2.5724955495697595,0.388667841600431,0.4699393992507897,0.24727508245165164,0.575,2.6561904102647036,0
R_156Kmlz4ECsrHQR,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,0.25,0.0,6.0,1.0,0.0,nan,nan,1,0.36593623287037647,0.5302965039098659,0.2621689696506188,0.4833333333333333,1.938041310690123,0.3739256155314586,0.5205939116025032,0.26844514266542047,0.4833333333333333,2.0816828996484276,1
R_156Kmlz4ECsrHQR,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,1.0,1.0,6.0,nan,0.0,0.0,nan,1,0.3806143629292887,0.48580197656546364,0.24703070242404093,0.5333333333333333,2.4671285138994925,0.3806143629292887,0.48580197656546364,0.24703070242404093,0.5333333333333333,2.467128513899492,0
R_1Fh1UMJw1me9wFr,diabetes,none,20,memory variation,feature contribution,observed per instance,1.0,0.0,6.0,0.0,0.05,nan,0.0,0,0.16827247178130467,0.7740819824929371,0.1106269260555464,0.9541666666666666,0.7168370840898872,0.16679279704092947,0.7770704257597334,0.11065601984159242,0.9875,0.7632531077236692,1
R_1Fh1UMJw1me9wFr,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.05,0.0,0.0,0,0.1917164057434787,0.7092072193052489,0.09264003079220615,0.9666666666666666,1.1659431299012892,0.19463302041816918,0.7092072193052487,0.09847326014158711,0.9666666666666666,1.1659431299012892,0
