participant,xai,perfect family,variable family,variable memory decay,perfect CV selection_nll,variable CV selection_nll,delta selection_nll (variable - perfect),perfect CV selection_f1,variable CV selection_f1,delta selection_f1 (variable - perfect),perfect CV amount_mae,variable CV amount_mae,delta amount_mae (variable - perfect),perfect CV loss,variable CV loss,delta loss (variable - perfect)
R_12myev0XH9WOz3H,counterfactual,feature contribution,feature contribution,0.0,1.528207148957748,1.1695424142100335,-0.35866473474771454,0.5125,0.6199385420548279,0.10743854205482795,0.3574051638950607,0.3292026013415775,-0.02820256255348319,0.42245258194753044,0.3546320296433748,-0.06782055230415562
R_156Kmlz4ECsrHQR,attribution,feature contribution,feature contribution,0.0,2.0816828996484276,2.091684343501458,0.010001443853030256,0.5205939116025032,0.5393013136153427,0.01870740201283949,0.26844514266542047,0.25334008647930917,-0.015105056186111299,0.3739256155314586,0.3570193864319832,-0.016906229099475367
R_1Fh1UMJw1me9wFr,none,feature contribution,feature contribution,0.0,0.8561029738730099,0.7632531077236692,-0.09284986614934077,0.7588749797620957,0.7770704257597334,0.01819544599763767,0.10288815815869483,0.11065601984159242,0.007767861682897587,0.17200658919829956,0.16679279704092947,-0.005213792157370084
R_1KMTwE2iCLDGMxz,none,feature contribution,weighted examples,0.0,1.2521936845129487,1.3064425266078883,0.05424884209493963,0.38337639334334395,0.3865608265744441,0.003184433231100181,0.25103869699978854,0.08800129046734081,-0.16303740653244772,0.43383115182822235,0.35072023194644836,-0.08311091988177399
R_1QfQiW4jahDRgtB,attribution,feature contribution,feature contribution,4.0,1.1949347148429574,1.4631376258433422,0.26820291100038474,0.36124618279639686,0.242068369476015,-0.11917781332038185,0.3686416190535516,0.3241444453751532,-0.044497173678398394,0.5036977181285774,0.5410380379495691,0.03734031982099162
R_1ReJOex9cmkqbNa,counterfactual,feature contribution,feature contribution,0.0,1.5890269151739729,1.5216381160315138,-0.0673887991424591,0.4,0.5437586782122832,0.14375867821228316,0.20318037353849955,0.18263432521736384,-0.020546048321135713,0.4015901867692498,0.31943782350254035,-0.08215236326670944
R_1TZbMIIo6RtFnsb,attribution,feature contribution,weighted examples,2.0,0.8366332463276696,1.0058331344417877,0.16919988811411812,0.6761951168714851,0.6575038324837317,-0.01869128438775347,0.14736125033641284,0.11409227667833773,-0.033268973658075116,0.23558306673246382,0.228294222097303,-0.007288844635160829
R_1WAqgPTkRSdmI9W,counterfactual,feature contribution,feature contribution,0.0,1.0353591428226974,1.1096698576497286,0.07431071482703122,0.6757185952622913,0.6528059918788869,-0.022912603383404395,0.13374972700037432,0.17250602221413291,0.03875629521375859,0.2290155658690415,0.259850015167623,0.030834449298581507
R_1hF6UnZQsvvwBCX,counterfactual,weighted examples,weighted examples,2.0,1.0605382671386607,0.9502631962880871,-0.11027507085057364,0.6737712160191468,0.6746736238982745,0.0009024078791276535,0.1280309642889254,0.13672563658590095,0.008694672296975542,0.22712987413488928,0.23102600634381326,0.003896132208923986
R_1ihbKBZG0EAXF8D,counterfactual,feature contribution,weighted examples,1.0,1.2964803137083953,1.7025589823136915,0.4060786686052962,0.6535351244239836,0.6042475427825998,-0.049287581641383804,0.09896791363371742,0.09669876352686903,-0.002269150106848389,0.22271639460486686,0.24622561037213458,0.02350921576726772
