variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
base_exemplar,base,exemplar,0.4,0.0,24.0,8.0,0.0,1,0.0,2.8292560225192975,0.7103386605317972,0.8207539682539682,0.15,0.65,0.28619388442777133,0.5194805194805194,0.2777318479876988,3.297279170393297,0.6693391606505258,0.7272619047619047,0.05,0.85,0.29239346681530204,0.5654034690799397,0.27854574473165294,R_10w1gLcxE6Z3lKz,none,20,0
base_prototype,base,prototype,0.4,0.0,nan,8.0,0.0,1,0.0,2.9338328911805283,0.7036811989269686,0.7973015873015873,0.2,0.6,0.30934308517757075,0.5324675324675324,0.2777318479876988,3.2086400682648146,0.6821233546754621,0.766547619047619,0.1,0.7,0.3098979448458389,0.5250188536953242,0.27854574473165294,R_10w1gLcxE6Z3lKz,none,20,1
additive_exemplar,additive,exemplar,0.4,0.25,0.0,1.0,0.0,0,0.0,3.1162942541062617,0.41273646629592076,0.4166666666666667,0.05,0.9,0.2589524655777836,0.42105263157894735,0.2563410606705816,3.289327434481885,0.38740948805739805,0.41666666666666663,0.05,0.85,0.2621423890582906,0.4166666666666667,0.2615032284838753,R_114PY2RVwPs2JYn,counterfactual,20,0
additive_prototype,additive,prototype,0.4,0.25,nan,1.0,0.0,0,0.0,3.1162942541062617,0.41273646629592076,0.4166666666666667,0.05,0.9,0.2589524655777836,0.42105263157894735,0.2563410606705816,3.1852913541658827,0.3951781980788213,0.41666666666666663,0.05,0.9,0.2587786559006752,0.4738095238095238,0.2615032284838753,R_114PY2RVwPs2JYn,counterfactual,20,0
base_exemplar,base,exemplar,0.4,4.0,0.0,0.25,0.0,0,0.0,3.278426217961447,0.3261692436206676,0.18666666666666665,0.0,0.9,0.3060236326137394,0.39473684210526316,0.2563410606705816,3.3428627260334642,0.3267520733885842,0.15333333333333332,0.0,0.9,0.32887935496413234,0.363095238095238,0.2615032284838753,R_114PY2RVwPs2JYn,counterfactual,20,0
base_prototype,base,prototype,0.4,4.0,nan,0.25,0.0,0,0.0,3.278426217961447,0.3261692436206676,0.18666666666666665,0.0,0.9,0.3060236326137394,0.39473684210526316,0.2563410606705816,3.3183791214730958,0.33053810468798667,0.18666666666666668,0.0,0.9,0.3293397911031778,0.42023809523809524,0.2615032284838753,R_114PY2RVwPs2JYn,counterfactual,20,0
counterfactual_exemplar,counterfactual,exemplar,0.4,0.0,0.0,0.5,1.0,0,0.2,3.080688360815595,0.384314902292995,0.5199999999999999,0.1,0.9,0.15218434393943014,0.7368421052631579,0.2563410606705816,3.238836580681318,0.3616537367636436,0.39999999999999997,0.1,0.9,0.20010500737298725,0.6173809523809524,0.2615032284838753,R_114PY2RVwPs2JYn,counterfactual,20,0
counterfactual_prototype,counterfactual,prototype,0.4,0.0,nan,0.5,1.0,0,0.2,3.080688360815595,0.384314902292995,0.5199999999999999,0.1,0.9,0.15218434393943014,0.7368421052631579,0.2563410606705816,3.1395194064861123,0.3775659566500159,0.4666666666666666,0.1,0.9,0.20692855051886322,0.5973809523809523,0.2615032284838753,R_114PY2RVwPs2JYn,counterfactual,20,1
additive_exemplar,additive,exemplar,0.4,1.0,24.0,1.0,0.0,0,0.0,3.23058996274408,0.45023335419898797,0.42333333333333334,0.0,0.9,0.41133825192851153,0.5,0.39363653406957505,3.4300419785539207,0.4357832146696217,0.39666666666666667,0.0,0.8,0.4257385382860338,0.525,0.4002903063819575,R_115RFOkGSKqBHcK,attribution,20,0
additive_prototype,additive,prototype,0.4,2.0,nan,1.0,0.0,0,0.0,3.3065268988159793,0.44613891695459496,0.40166666666666667,0.05,0.85,0.41036442312023136,0.5454545454545454,0.39363653406957505,3.4253871658497603,0.431811361670165,0.4002380952380952,0.05,0.7,0.43210737059405036,0.51,0.4002903063819575,R_115RFOkGSKqBHcK,attribution,20,1
base_exemplar,base,exemplar,0.4,0.0,24.0,0.25,0.0,0,0.0,3.72689464388692,0.34331184284033245,0.16666666666666666,0.0,1.2,0.3888308149596098,0.5,0.39363653406957505,3.8100021981604106,0.3327513100368688,0.16666666666666666,0.0,1.2,0.39646612838506606,0.53,0.4002903063819575,R_115RFOkGSKqBHcK,attribution,20,0
base_prototype,base,prototype,0.4,0.0,nan,0.1,0.0,0,0.0,3.74562172770258,0.337146953197345,0.125,0.0,1.2,0.3887615449321409,0.5,0.39363653406957505,3.785675870747202,0.3326980006740354,0.12499999999999997,0.0,1.2,0.39298580147901063,0.51,0.4002903063819575,R_115RFOkGSKqBHcK,attribution,20,0
additive_exemplar,additive,exemplar,0.4,0.25,0.0,0.1,0.0,0,0.05,2.7758971705067905,0.269909690715348,0.24500000000000002,0.15,0.5,0.4073964947426127,0.6,0.41233601561031996,2.8635493904419724,0.27049906298443305,0.22000000000000003,0.15,0.5,0.4465251274505929,0.5706060606060606,0.39345801575197126,R_16aIyx4WNzXpeJZ,attribution,20,0
additive_prototype,additive,prototype,0.4,0.25,nan,0.1,0.0,0,0.05,2.7758971705067905,0.269909690715348,0.24500000000000002,0.15,0.5,0.4073964947426127,0.6,0.41233601561031996,2.8635493904419724,0.27049906298443305,0.22000000000000003,0.15,0.5,0.4465251274505929,0.5706060606060606,0.39345801575197126,R_16aIyx4WNzXpeJZ,attribution,20,0
base_exemplar,base,exemplar,0.4,0.0,0.0,0.025,0.0,0,0.05,2.79789055534797,0.2630603537805239,0.18666666666666668,0.15,0.5,0.4074718823727318,0.6,0.41233601561031996,2.833491231311985,0.2618553252910346,0.18666666666666668,0.15,0.5,0.42501555228649296,0.553939393939394,0.39345801575197126,R_16aIyx4WNzXpeJZ,attribution,20,0
base_prototype,base,prototype,0.4,0.0,nan,0.025,0.0,0,0.05,2.79789055534797,0.2630603537805239,0.18666666666666668,0.15,0.5,0.4074718823727318,0.6,0.41233601561031996,2.8177194646157213,0.26192763772637623,0.18666666666666668,0.15,0.5,0.4108116282483829,0.5872727272727273,0.39345801575197126,R_16aIyx4WNzXpeJZ,attribution,20,1
additive_exemplar,additive,exemplar,0.4,0.0,0.0,0.25,0.0,0,0.05,2.8963836493720456,0.32623743150701295,0.35,0.15,0.65,0.19025926194026702,0.6666666666666666,0.22645997252227879,3.022561542754257,0.3194158370413319,0.2833333333333333,0.15,0.65,0.2207549262135496,0.6292857142857142,0.22769461852909406,R_1LZ1lrQmsKRRlU5,attribution,20,0
additive_prototype,additive,prototype,0.4,0.0,nan,0.25,0.0,0,0.05,2.8963836493720456,0.32623743150701295,0.35,0.15,0.65,0.19025926194026702,0.6666666666666666,0.22645997252227879,2.9498492938820524,0.3276122598768515,0.35,0.15,0.65,0.19105743561382393,0.6807142857142857,0.22769461852909406,R_1LZ1lrQmsKRRlU5,attribution,20,1
base_exemplar,base,exemplar,0.4,4.0,0.0,0.025,0.0,0,0.025,3.0070063874005735,0.2930417938914395,0.08333333333333333,0.05,0.65,0.23839777722973904,0.5151515151515151,0.22645997252227879,3.0422419767637017,0.2891993981205217,0.0,0.0,0.65,0.22839479493410927,0.5835714285714285,0.22769461852909406,R_1LZ1lrQmsKRRlU5,attribution,20,0
base_prototype,base,prototype,0.4,4.0,nan,0.025,0.0,0,0.025,3.0070063874005735,0.2930417938914395,0.08333333333333333,0.05,0.65,0.23839777722973904,0.5151515151515151,0.22645997252227879,3.028001249417599,0.29157136888998825,0.05,0.05,0.65,0.2319502094925372,0.6121428571428571,0.22769461852909406,R_1LZ1lrQmsKRRlU5,attribution,20,0
additive_exemplar,additive,exemplar,0.4,0.5,24.0,0.5,0.0,0,0.0,3.201542200773706,0.37023313987836753,0.29166666666666663,0.0,0.95,0.20578439077025265,0.5897435897435898,0.21635133791628766,3.3303451728979367,0.36295343703432237,0.29166666666666663,0.0,1.0,0.21049631612025382,0.5896825396825397,0.21644835779947574,R_1RVUILTQODF6RIQ,attribution,20,0
additive_prototype,additive,prototype,0.4,0.0,nan,0.5,0.0,0,0.0,3.2707130009457863,0.3671095713552205,0.32499999999999996,0.0,0.95,0.20210742177731847,0.6153846153846154,0.21635133791628766,3.3539647185995483,0.35260076793077116,0.29166666666666663,0.0,0.95,0.21051364193504285,0.6218253968253968,0.21644835779947574,R_1RVUILTQODF6RIQ,attribution,20,0
