row_id,peak_temperature_c,heating_rate_c_min,soak_time_min,cooling_rate_c_min,body_moisture_pct,pressing_pressure_mpa,green_density_g_cm3,particle_d50_um,feldspar_pct,target
0,1195.3,8.85,44.9,7.99,4.64,30.5,1.833,9.45,15.52,1
1,1211.0,8.1,33.4,5.97,5.25,37.2,1.912,8.94,19.1,0
2,1192.2,4.79,51.1,7.02,6.55,26.7,1.792,15.01,27.95,1
3,1197.1,7.75,37.3,6.31,8.44,24.9,1.784,15.69,21.36,1
4,1236.6,6.28,42.0,4.06,4.75,30.7,1.819,12.08,24.17,1
5,1185.9,8.16,31.5,3.91,5.47,34.8,1.859,16.75,24.31,0
6,1172.5,9.37,36.6,8.85,5.2,40.5,1.927,15.92,24.96,0
7,1171.1,8.11,41.8,7.04,6.42,30.6,1.856,15.06,21.7,0
8,1145.7,8.73,33.4,6.83,6.91,27.7,1.822,14.39,23.24,0
9,1165.2,8.81,30.8,5.82,5.86,28.0,1.853,8.58,20.98,0
10,1198.1,5.6,35.5,7.46,4.63,24.4,1.78,11.84,24.82,1
11,1142.6,7.04,37.3,6.34,5.57,39.3,1.914,13.41,20.44,0
12,1144.6,8.19,48.9,7.7,4.99,26.3,1.789,13.94,20.98,0
13,1158.7,5.44,55.7,5.35,6.83,29.4,1.824,13.11,20.92,0
14,1161.8,8.27,58.0,4.66,5.01,37.1,1.906,16.44,25.36,0
15,1165.7,6.45,29.9,5.61,5.25,32.0,1.859,10.75,26.08,0
16,1168.1,5.66,32.9,5.23,5.6,34.6,1.854,11.1,22.01,0
17,1200.9,4.81,25.4,6.27,6.55,28.6,1.838,13.15,23.39,0
18,1201.6,7.35,50.0,7.37,5.62,33.4,1.881,15.74,20.82,1
19,1196.2,7.34,35.1,6.51,6.6,31.4,1.807,16.97,25.29,1
20,1192.7,12.04,46.9,8.85,5.1,41.1,1.905,9.09,22.82,1
21,1197.1,7.78,44.1,5.86,7.39,35.7,1.87,6.0,17.87,0
22,1172.6,4.82,33.0,9.16,5.44,30.7,1.815,11.9,20.81,0
23,1145.8,6.72,43.3,6.61,5.86,27.9,1.808,20.4,27.5,1
24,1211.3,7.78,58.9,4.96,5.79,32.7,1.859,12.67,20.78,1
25,1141.1,7.7,39.6,7.57,5.23,28.9,1.863,14.81,16.57,0
26,1148.4,7.16,33.5,6.67,4.64,38.9,1.917,10.4,19.52,0
27,1175.0,6.44,40.6,5.56,5.88,34.6,1.889,15.96,17.48,0
28,1172.5,9.38,43.0,7.45,7.14,32.8,1.878,11.47,23.62,1
29,1196.0,6.28,59.0,4.61,6.48,31.7,1.868,14.22,20.29,1
30,1151.0,9.78,48.2,5.51,5.43,25.4,1.833,12.84,17.96,0
31,1175.0,6.35,44.2,5.16,5.93,35.9,1.903,8.3,19.36,0
32,1202.4,9.04,37.7,5.45,5.96,22.1,1.781,11.12,25.48,1
33,1205.4,5.77,50.9,6.23,5.08,35.2,1.878,14.92,14.06,0
34,1168.7,9.06,53.8,8.03,6.37,29.2,1.837,15.53,18.48,1
35,1187.7,8.81,41.2,3.74,5.94,37.5,1.905,12.75,23.81,0
36,1163.3,5.78,50.7,4.92,5.41,41.9,1.905,12.55,18.39,0
37,1156.5,4.16,56.0,4.71,6.61,28.5,1.79,16.18,25.29,0
38,1207.5,9.62,46.5,5.9,7.06,37.7,1.88,17.88,16.12,1
39,1190.4,8.49,29.4,6.81,6.45,28.6,1.786,8.81,22.04,0
40,1221.1,5.29,33.1,7.84,5.1,26.5,1.837,19.56,24.72,1
41,1187.5,8.57,20.8,6.25,5.47,35.9,1.871,14.74,26.69,0
42,1154.1,9.3,43.2,6.3,5.92,23.7,1.788,18.34,27.07,1
43,1174.3,9.98,30.9,5.09,4.25,30.9,1.813,10.16,19.05,0
44,1190.5,7.94,32.5,8.6,5.09,39.1,1.887,13.82,22.12,0
45,1167.7,5.91,45.5,4.7,4.88,38.1,1.897,11.61,23.17,0
46,1174.5,7.75,51.5,6.22,4.06,35.4,1.886,16.79,20.09,0
47,1241.8,6.32,41.9,7.64,6.19,31.6,1.846,12.56,25.44,1
48,1167.1,5.71,45.6,6.29,6.01,27.8,1.82,10.28,19.73,0
49,1184.9,6.13,32.1,6.68,5.97,34.4,1.848,11.14,21.0,1
