row_id,sqft_living,bedrooms,bathrooms,floors,grade,target
0,1180,3,1.0,1.0,7,0
1,2570,3,2.25,2.0,7,1
2,770,2,1.0,1.0,6,0
3,1960,4,3.0,1.0,7,1
4,1680,3,2.0,1.0,8,1
5,5420,4,4.5,1.0,11,1
6,1715,3,2.25,2.0,7,0
7,1060,3,1.5,1.0,7,0
8,1780,3,1.0,1.0,7,0
9,1890,3,2.5,2.0,7,0
10,3560,3,2.5,1.0,8,1
11,1160,2,1.0,1.0,7,1
12,1430,3,1.0,1.5,7,0
13,1370,3,1.75,1.0,7,0
14,1810,5,2.0,1.5,7,1
15,2950,4,3.0,2.0,9,1
16,1890,3,2.0,2.0,7,0
17,1600,4,1.0,1.5,7,1
18,1200,2,1.0,1.0,7,0
19,1250,3,1.0,1.0,7,0
20,1620,4,1.75,1.0,7,0
21,3050,3,2.75,1.0,9,1
22,2270,5,2.5,2.0,8,0
23,1070,2,1.5,1.0,7,0
24,2450,3,2.25,2.0,8,0
25,1710,3,2.0,1.5,6,0
26,2450,3,1.75,2.0,8,1
27,1400,3,1.0,1.5,8,1
28,1520,3,1.75,1.0,7,0
29,2570,4,2.5,2.0,8,1
30,2320,3,2.5,2.0,8,1
31,1190,2,1.5,3.0,7,0
32,2330,4,1.75,1.5,7,1
33,1090,3,1.0,1.5,8,1
34,2060,4,2.75,1.0,7,0
35,2300,3,2.5,1.5,8,1
36,1660,4,1.0,1.0,5,1
37,2360,4,2.0,2.0,8,1
38,1220,4,1.0,1.0,7,0
39,2620,4,2.5,2.0,8,1
40,2570,4,2.5,2.0,9,1
41,4220,4,2.25,1.0,8,1
42,3595,5,2.75,2.0,9,1
43,1570,3,1.0,2.0,7,1
44,1280,3,1.0,1.0,6,0
45,3160,3,2.5,2.0,8,1
46,990,3,1.0,1.0,6,0
47,2290,4,2.5,2.0,9,1
48,1250,3,1.75,1.0,7,0
49,2753,3,2.5,1.0,9,1
50,1190,3,1.0,1.0,7,0
