row_id,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,target
0,4583,1508,128,360,1,0
1,3000,0,66,360,1,1
2,2583,2358,120,360,1,1
3,6000,0,141,360,1,1
4,5417,4196,267,360,1,1
5,2333,1516,95,360,1,1
6,3036,2504,158,360,0,0
7,4006,1526,168,360,1,1
8,12841,10968,349,360,1,0
9,3200,700,70,360,1,1
10,2500,1840,109,360,1,1
11,3073,8106,200,360,1,1
12,1853,2840,114,360,1,0
13,1299,1086,17,120,1,1
14,4950,0,125,360,1,1
15,3510,0,76,360,0,0
16,4887,0,133,360,1,0
17,7660,0,104,360,0,0
18,5955,5625,315,360,1,1
19,2600,1911,116,360,0,0
20,3365,1917,112,360,0,0
21,9560,0,191,360,1,1
22,2799,2253,122,360,1,1
23,4226,1040,110,360,1,1
24,1442,0,35,360,1,0
25,3750,2083,120,360,1,1
26,3167,0,74,360,1,0
27,4692,0,106,360,1,0
28,3500,1667,114,360,1,1
29,12500,3000,320,360,1,0
30,3667,1459,144,360,1,1
31,4166,7210,184,360,1,1
32,3748,1668,110,360,1,1
33,3600,0,80,360,1,0
34,1800,1213,47,360,1,1
35,3941,2336,134,360,1,1
36,5649,0,44,360,1,1
37,5821,0,144,360,1,1
38,2645,3440,120,360,0,0
39,4000,2275,144,360,1,1
40,1928,1644,100,360,1,1
41,3086,0,120,360,1,1
42,4230,0,112,360,1,0
43,4616,0,134,360,1,0
44,11500,0,286,360,0,0
45,2708,1167,97,360,1,1
46,2132,1591,96,360,1,1
47,3366,2200,135,360,1,0
48,8080,2250,180,360,1,1
49,3357,2859,144,360,1,1
50,2500,3796,120,360,1,1
51,3029,0,99,360,1,1
52,2609,3449,165,180,0,0
53,4166,0,116,360,0,0
54,5726,4595,258,360,1,0
55,3200,2254,126,180,0,0
56,10750,0,312,360,1,1
57,7100,0,125,60,1,1
58,4300,0,136,360,0,0
59,3208,3066,172,360,1,1
60,1875,1875,97,360,1,1
61,3500,0,81,300,1,1
62,5266,1774,187,360,1,1
63,3750,0,113,480,1,0
64,3750,4750,176,360,1,0
65,1000,3022,110,360,1,0
66,3167,4000,180,300,0,0
67,3846,0,111,360,1,1
68,1378,1881,167,360,1,0
69,3988,0,50,240,1,1
70,2366,2531,136,360,1,1
71,2500,2118,104,360,1,1
72,8566,0,210,360,1,1
73,5695,4167,175,360,1,1
74,2958,2900,131,360,1,1
75,6250,5654,188,180,1,1
76,3273,1820,81,360,1,1
77,4133,0,122,360,1,1
78,3620,0,25,120,1,1
79,2484,2302,137,360,1,1
80,1977,997,50,360,1,1
81,4188,0,115,180,1,1
82,1759,3541,131,360,1,1
83,4288,3263,133,180,1,1
84,4843,3806,151,360,1,1
85,3816,754,160,360,1,1
86,3052,1030,100,360,1,1
87,11417,1126,225,360,1,1
88,7333,0,120,360,1,0
89,3800,3600,216,360,0,0
90,2071,754,94,480,1,1
91,5316,0,136,360,1,1
92,2929,2333,139,360,1,1
93,5050,0,118,360,1,1
94,14583,0,185,180,1,1
95,3167,2283,154,360,1,1
96,5568,2142,175,360,1,0
97,10408,0,259,360,1,1
98,5667,2667,180,360,1,1
