domain,source_split,instance_id,prediction,prediction_label,target_label,local_boundary_distance,selected_features,attributions,counterfactual_changes,counterfactual_distance,counterfactual_target_probability,original_profile,counterfactual_profile,attribution_vector,normalized_change_vector,explanation_pattern,cluster
housing,train,4,0,Cheap,Expensive,0.033874874953369334,floors | grade,floors: -0.113854 | grade: +0.071224,floors: 1.0 -> 1.5 (+0.3333 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.5333333333333333,0.9628845718257973,"{""sqft_living"":1680.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":1.0,""grade"":8.0}","{""sqft_living"":1680.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":1.5,""grade"":9.0}","[0.0,0.0,0.0,-0.1138541162900704,0.07122381966539691]","[0.0,0.0,0.0,0.3333333333333333,0.2]","[0.0,0.0,0.0,0.615168500244489,0.38483149975551106,0.0,0.0,0.0,0.3333333333333333,0.2]",2
housing,train,14,1,Expensive,Cheap,0.03772424382593704,floors | grade,floors: +0.189211 | grade: -0.073233,floors: 1.5 -> 1.0 (-0.3333 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.5333333333333333,0.751564661848499,"{""sqft_living"":1810.0,""bedrooms"":5.0,""bathrooms"":2.0,""floors"":1.5,""grade"":7.0}","{""sqft_living"":1810.0,""bedrooms"":5.0,""bathrooms"":2.0,""floors"":1.0,""grade"":6.0}","[0.0,0.0,0.0,0.18921098065917835,-0.07323254791202799]","[0.0,0.0,0.0,-0.3333333333333333,-0.2]","[0.0,0.0,0.0,0.7209588351798185,0.27904116482018143,0.0,0.0,0.0,0.3333333333333333,0.2]",2
housing,train,16,0,Cheap,Expensive,0.014181188957446677,sqft_living | grade,sqft_living: +0.066120 | grade: -0.092073,sqft_living: 1890.0 -> 1891.0 (+0.0003 normalized) | grade: 7.0 -> 8.0 (+0.2000 normalized),0.2002840909090909,0.7225283799543536,"{""sqft_living"":1890.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":2.0,""grade"":7.0}","{""sqft_living"":1891.0,""bedrooms"":3.0,""bathrooms"":2.0,""floors"":2.0,""grade"":8.0}","[0.06611950343624787,0.0,0.0,0.0,-0.09207314967748373]","[0.0002840909090909091,0.0,0.0,0.0,0.2]","[0.4179682313609828,0.0,0.0,0.0,0.5820317686390172,0.0002840909090909091,0.0,0.0,0.0,0.2]",1
housing,train,17,1,Expensive,Cheap,0.009161490153074998,floors | grade,floors: +0.158692 | grade: -0.115306,floors: 1.5 -> 1.0 (-0.3333 normalized) | grade: 7.0 -> 6.0 (-0.2000 normalized),0.5333333333333333,0.8907852887735164,"{""sqft_living"":1600.0,""bedrooms"":4.0,""bathrooms"":1.0,""floors"":1.5,""grade"":7.0}","{""sqft_living"":1600.0,""bedrooms"":4.0,""bathrooms"":1.0,""floors"":1.0,""grade"":6.0}","[0.0,0.0,0.0,0.15869185419153328,-0.11530634431235084]","[0.0,0.0,0.0,-0.3333333333333333,-0.2]","[0.0,0.0,0.0,0.5791711590004622,0.42082884099953777,0.0,0.0,0.0,0.3333333333333333,0.2]",2
housing,train,29,1,Expensive,Cheap,0.04307702244303902,sqft_living | grade,sqft_living: +0.051589 | grade: +0.038267,sqft_living: 2570.0 -> 2569.0 (-0.0003 normalized) | grade: 8.0 -> 7.0 (-0.2000 normalized),0.2002840909090909,0.7027241335447214,"{""sqft_living"":2570.0,""bedrooms"":4.0,""bathrooms"":2.5,""floors"":2.0,""grade"":8.0}","{""sqft_living"":2569.0,""bedrooms"":4.0,""bathrooms"":2.5,""floors"":2.0,""grade"":7.0}","[0.05158929814740175,0.0,0.0,0.0,0.03826658208211088]","[-0.0002840909090909091,0.0,0.0,0.0,-0.2]","[0.574133801990819,0.0,0.0,0.0,0.425866198009181,0.0002840909090909091,0.0,0.0,0.0,0.2]",1
housing,train,34,0,Cheap,Expensive,0.056406716645457135,floors | grade,floors: -0.049506 | grade: -0.113760,floors: 1.0 -> 1.5 (+0.3333 normalized) | grade: 7.0 -> 8.0 (+0.2000 normalized),0.5333333333333333,0.9024009152820738,"{""sqft_living"":2060.0,""bedrooms"":4.0,""bathrooms"":2.75,""floors"":1.0,""grade"":7.0}","{""sqft_living"":2060.0,""bedrooms"":4.0,""bathrooms"":2.75,""floors"":1.5,""grade"":8.0}","[0.0,0.0,0.0,-0.04950598825442845,-0.1137599801087503]","[0.0,0.0,0.0,0.3333333333333333,0.2]","[0.0,0.0,0.0,0.3032229481180323,0.6967770518819677,0.0,0.0,0.0,0.3333333333333333,0.2]",2
housing,train,57,1,Expensive,Cheap,0.0069150635041567415,sqft_living | grade,sqft_living: +0.019883 | grade: +0.013126,sqft_living: 2420.0 -> 2419.0 (-0.0003 normalized) | grade: 8.0 -> 7.0 (-0.2000 normalized),0.2002840909090909,0.5260290074030637,"{""sqft_living"":2420.0,""bedrooms"":3.0,""bathrooms"":2.5,""floors"":2.0,""grade"":8.0}","{""sqft_living"":2419.0,""bedrooms"":3.0,""bathrooms"":2.5,""floors"":2.0,""grade"":7.0}","[0.019882919928423868,0.0,0.0,0.0,0.013125950618269346]","[-0.0002840909090909091,0.0,0.0,0.0,-0.2]","[0.6023508105282843,0.0,0.0,0.0,0.39764918947171574,0.0002840909090909091,0.0,0.0,0.0,0.2]",1
housing,train,59,0,Cheap,Expensive,0.01662759660238423,bathrooms | grade,bathrooms: -0.110348 | grade: +0.104303,bathrooms: 3.0 -> 3.25 (+0.0909 normalized) | grade: 8.0 -> 9.0 (+0.2000 normalized),0.2909090909090909,0.9364378090670873,"{""sqft_living"":1850.0,""bedrooms"":4.0,""bathrooms"":3.0,""floors"":2.0,""grade"":8.0}","{""sqft_living"":1850.0,""bedrooms"":4.0,""bathrooms"":3.25,""floors"":2.0,""grade"":9.0}","[0.0,0.0,-0.11034772259279393,0.0,0.104302950176028]","[0.0,0.0,0.09090909090909091,0.0,0.2]","[0.0,0.0,0.5140804879360339,0.0,0.48591951206396605,0.0,0.0,0.09090909090909091,0.0,0.2]",0
housing,train,63,1,Expensive,Cheap,0.03206593300785103,floors | grade,floors: +0.061213 | grade: +0.101388,floors: 3.0 -> 2.5 (-0.3333 normalized) | grade: 8.0 -> 7.0 (-0.2000 normalized),0.5333333333333333,0.5872223399238703,"{""sqft_living"":1540.0,""bedrooms"":3.0,""bathrooms"":1.75,""floors"":3.0,""grade"":8.0}","{""sqft_living"":1540.0,""bedrooms"":3.0,""bathrooms"":1.75,""floors"":2.5,""grade"":7.0}","[0.0,0.0,0.0,0.06121345811993588,0.10138816474311714]","[0.0,0.0,0.0,-0.3333333333333333,-0.2]","[0.0,0.0,0.0,0.37646277473805606,0.6235372252619439,0.0,0.0,0.0,0.3333333333333333,0.2]",2
housing,train,65,1,Expensive,Cheap,0.03378016978989283,sqft_living | floors,sqft_living: +0.015087 | floors: +0.134814,sqft_living: 2770.0 -> 3222.0 (+0.1284 normalized) | floors: 1.5 -> 1.0 (-0.3333 normalized),0.46174242424242423,0.7884562592893234,"{""sqft_living"":2770.0,""bedrooms"":3.0,""bathrooms"":2.75,""floors"":1.5,""grade"":7.0}","{""sqft_living"":3222.0,""bedrooms"":3.0,""bathrooms"":2.75,""floors"":1.0,""grade"":7.0}","[0.015087461414479947,0.0,0.0,0.1348141588128355,0.0]","[0.12840909090909092,0.0,0.0,-0.3333333333333333,0.0]","[0.10064908832606914,0.0,0.0,0.8993509116739309,0.0,0.12840909090909092,0.0,0.0,0.3333333333333333,0.0]",2
